SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
45,20190045,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,61.1,,56.8,,,68.9,79.5,,,,,58.8,,,,,,,,,,,,,,,,,,,,,,1
46,20190046,F,257,NA,IP (Y),SCHOOL Y,,55.9,,45.1,,,48.3,34.8,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,1
47,20190047,M,255,NA,IP (X),SCHOOL X,,59.9,,65.9,,,65.7,69.8,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,1
48,20190048,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,56.4,,49.5,,,60.5,65.6,,,,,38.3,,,,,,,,,,,,,,,,,,,,,,2
49,20190049,M,256,NA,IP (X),SCHOOL X,,53,,44,,,53.5,50.4,,,,,56.8,,,,,,,,,,,,,,,,,,,,,,1
50,20190050,M,255,NA,IP (X),SCHOOL X,,57.3,,57.8,,,,71.1,75.4,,,,61.7,,,,,,,,,,,,,,,,,,,,,,1
51,20190051,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,,48.8,,60.2,,,73.6,70,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,1
52,20190052,M,266,NA,IP (X),SCHOOL X,,66.4,,71.2,,,70.8,76.4,,,,,72.8,,,,,,,,,,,,,,,,,,,,,,2
53,20190053,M,261,NA,IP (X),SCHOOL X,,56.4,,57.8,,,,76.2,70.5,,,,71.1,,,,,,,,,,,,,,,,,,,,,,1
54,20190054,M,266,NA,IP (X),SCHOOL X,,59.4,,78.5,,,,83.3,84.7,,,,71.8,,,,,,,,,,,,,,,,,,,,,,2
55,20190055,M,244,NA,IP (X),SCHOOL X,,52.1,,58.2,,,57,62.3,,,,,56,,,,,,,,,,,,,,,,,,,,,,1
56,20190056,M,257,NA,IP (X),SCHOOL X,,54.5,,20.6,,,,56.5,54.4,57.1,,,,,,,,,,,,,,,,,,,,,,,,,2
57,20190057,M,257,NA,IP (X),SCHOOL X,,59.7,,55.7,,,52,56.4,,,,,62.6,,,,,,,,,,,,,,,,,,,,,,2
58,20190058,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,55.6,,63.2,,,60,67.8,,,,,58,,,,,,,,,,,,,,,,,,,,,,2
59,20190059,M,264,NA,IP (X),SCHOOL X,,61.1,,78.7,,77.4,74.2,,,,,,65.6,,,,,,,,,,,,,,,,,,,,,,2
60,20190060,M,252,NA,IP (X),SCHOOL X,,52.1,,59.1,,,54.8,63,,,,,55,,,,,,,,,,,,,,,,,,,,,,1
61,20190061,M,269,NA,IP (X),SCHOOL X,,65.8,,55.7,,,,77.1,71.3,,,,71.9,,,,,,,,,,,,,,,,,,,,,,1
62,20190062,M,270,NA,IP (X),SCHOOL X,,53.2,,84.8,,,81.3,83.7,,,,,63.4,,,,,,,,,,,,,,,,,,,,,,1
63,20190063,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,54.7,,62.3,,,55,60.5,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,1
64,20190064,M,0,NA,IP (X),SCHOOL X,,59.5,,77.5,,65.7,78.1,,,,,,60.6,,,,,,,,,,,,,,,,,,,,,,2
65,20190065,F,259,NA,IP (Y),SCHOOL Y,,50.6,,,,,,,,56.7,,,53.6,,,,,,,,61.7,,,,,,47.9,,,,,,,,1
66,20190066,F,261,NA,IP (Y),SCHOOL Y,,62,,53.2,,,56.2,58.6,,,,,54.7,,,,,,,,,,,,,,,,,,,,,,1
67,20190067,F,260,NA,IP (Y),SCHOOL Y,,66.2,,53.7,,,,83.5,84.3,,,,64.4,,,,,,,,,,,,,,,,,,,,,,1
68,20190068,M,0,NA,JAE Ordinary Admission,JURONG SECONDARY SCHOOL,,51,,74.6,,,79.3,83.6,,,,,64.6,,,,,,,,,,,,,,,,,,,,,,1
69,20190069,M,0,NA,JAE Ordinary Admission,BROADRICK SECONDARY SCHOOL,,53,,43,,,37.7,,,,,,35.9,,,,,,,,61,,,,,,,,,,,,,,1
70,20190070,M,254,NA,IP (X),SCHOOL X,,46.1,,51.6,,,,75.9,76.9,,,,56,,,,,,,,,,,,,,,,,,,,,,1
