SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
298,20200298,M,0,NA,DSA,NAN CHIAU HIGH SCHOOL,0,67,,,91.2,,90.6,84.5,,,,,,70,,,,,,,,,,,,,,,,,,,,,75,,,,,,,1
299,20200299,M,247,NA,DSA (CCA),NAN HUA HIGH SCHOOL,0,57,,,66.6,,,73.5,69.1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300,20200300,M,0,NA,IP (X),SCHOOL X,0,69,,,30.7,,,,45.1,,,,,57.2,,,,,,,,,58.6,,,,,,,,,,,,,,,,,,,1
301,20200301,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,56,,,45.5,,,63.8,46.2,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
302,20200302,F,0,NA,IP (Y),SCHOOL Y,0,71,,,55.6,,,,70.4,60.9,,,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
303,20200303,F,0,NA,IP (Y),SCHOOL Y,0,66,,,71,,,,64.8,62.9,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,,53,,,1
304,20200304,F,0,NA,IP (Y),SCHOOL Y,0,58,,,47.3,,,,50.5,55,,,,,,,,,,,,,52.9,,,,,,,,,,,,,,,,,,,1
305,20200305,F,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,0,61,,,70,,,67.8,75.1,,,,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
306,20200306,F,0,NA,IP (Y),SCHOOL Y,0,69,,,84.1,,,,84,79.5,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
307,20200307,M,0,NA,IP (X),SCHOOL X,0,59,,,53.3,,,53.2,54.7,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
308,20200308,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,57,,,62.6,,,58.8,50.6,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
309,20200309,F,0,NA,IP (Y),SCHOOL Y,0,63,,,5.2,,,,,,55.3,,,57.3,,45,,,,,,,,,,,,,,,,,,,,,,,,,,1
310,20200310,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,67,,,47.4,,,51.6,62.1,,,,,,,,,73.9,,,,,,,,,,,,,,,,,,,,,,,,1
311,20200311,F,0,NA,IP (Y),SCHOOL Y,0,66,,,79.9,,,76.5,77,,,,,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
312,20200312,F,0,NA,IP (Y),SCHOOL Y,0,60,,,53.9,,,59,51.1,,,,,,,,,,,,,,54.3,,,,,,,,,,,,,,,,,,,1
313,20200313,M,0,NA,IP (X),SCHOOL X,0,65,,,43.5,,,,35.5,36.8,,,,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
314,20200314,M,0,NA,IP (X),SCHOOL X,0,68,,,78.5,,,73.2,82.4,,,,,71.7,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,1
315,20200315,M,0,NA,IP (X),SCHOOL X,0,67,,,43.2,,,,57.7,55.4,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
316,20200316,F,0,NA,IP (Y),SCHOOL Y,0,79.5,,,75.6,,,,,,,78,,,,,70,,,,,,64.3,,,,,,,,,,,,,,,,,,,1
317,20200317,F,0,NA,IP (Y),SCHOOL Y,0,52,,,78.6,,80.3,74.3,,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
318,20200318,F,0,NA,IP (Y),SCHOOL Y,0,68,,,74.7,,,70.4,59.6,,,,,,,,,,,,,,58.6,,,,,,,,,,,,,,,,,,,1
319,20200319,F,0,NA,IP (Y),SCHOOL Y,0,61,,,66.1,,,56.7,56.3,,,,,,,,,,,,,,67.1,,,,,,,,,,,,,,,,,,,2
320,20200320,M,0,NA,IP (X),SCHOOL X,0,70,,,76.1,,,77.3,80.7,,,,,,,,,,,,,,,,,79.9,,,,,,,,,,61,,,,,,1
321,20200321,M,0,NA,IP (X),SCHOOL X,0,75,,,83.8,,,,86.4,73.5,,,,64.7,,,,,,,,,,,,,,,,,,,,,,,61.5,,,,,1
322,20200322,F,0,NA,IP (Y),SCHOOL Y,0,58,,,71.9,,,73.3,64.7,,,,,41.3,,,,,,,,,,,,,,,,,,,,,,50,,,,,,1
323,20200323,M,253,NA,DSA,CATHOLIC HIGH SCHOOL,0,77.5,,,52.1,,,,,,,63.7,,,56.7,,65,,,,,,,,,,,,,,,,,,,,,,,,,2
324,20200324,F,0,NA,IP (Y),SCHOOL Y,0,64,,,54.7,,,,62.3,64.1,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
325,20200325,F,0,NA,IP (Y),SCHOOL Y,0,63,,,34,,,,52.7,58.4,,,,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
326,20200326,F,0,NA,IP (Y),SCHOOL Y,0,60,,,62.9,,,,66.6,70.2,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
327,20200327,F,0,NA,IP (Y),SCHOOL Y,0,66,,,26.9,,,,,,67.3,,,50,,,,55.6,,,,,,,,,,,,,,,,,,,,,,,,1
328,20200328,F,0,NA,IP (Y),SCHOOL Y,0,58,,,78.9,,,67.8,79.3,,,,,,,,,57.1,,,,,,,,,,,,,,,,,,,32.5,,,,,1
329,20200329,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,55,,,,,,,,,,,,40.4,,,,56,,,,57.5,,,,,,,76.1,,,,,,,,,,,,,1
330,20200330,F,0,NA,IP (Y),SCHOOL Y,0,52,,,71.5,,,,65.2,70.3,,,,,,,,,,,,,83.3,,,,,,,,,,,,,,,,,,,1
331,20200331,F,0,NA,IP (Y),SCHOOL Y,0,65,,,70.1,,82.1,,71.7,,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
332,20200332,M,0,NA,IP (X),SCHOOL X,0,76,,,25.4,,,,56.6,48.8,,,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
333,20200333,M,0,NA,IP (X),SCHOOL X,0,67,,,87,,,,83.8,72.3,,,,70.5,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,2
334,20200334,F,0,NA,IP (Y),SCHOOL Y,0,64,,,59.8,,,63.3,62.3,,,,,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
335,20200335,F,0,NA,IP (Y),SCHOOL Y,0,66,,,68,,,73.5,74.8,,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
336,20200336,F,0,NA,IP (Y),SCHOOL Y,0,72,,,73.9,,,71.4,80.2,,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
337,20200337,F,242,NA,DSA,SWISS COTTAGE SECONDARY SCHOOL,0,76,,,59,,,,,,,71.3,,,45.2,,67,,,,,,,,,,,,,,,,,,,,,,,,,2
338,20200338,F,0,NA,IP (Y),SCHOOL Y,0,78,,,91.4,,,,81.8,78.8,,,,69.9,,,,,,,,,,,,,,,,,,,,,,,47,,,,,2
339,20200339,M,0,NA,IP (X),SCHOOL X,0,58,,,32.7,,,,,,,,,53.6,,56,,,,,,,,,,,,,,,,,,,,,,,,,,1
340,20200340,F,0,NA,IP (Y),SCHOOL Y,0,71,,,75.7,,,61.3,55.2,,,,,,,,,,,,,,67.1,,,,,,,,,,,,30,,,,,,,1
341,20200341,F,0,NA,IP (Y),SCHOOL Y,0,50,,,44.7,,,43.2,38.4,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
342,20200342,M,0,NA,IP (X),SCHOOL X,0,61,,,36.7,,,35.8,35.7,,,,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
343,20200343,F,0,NA,IP (Y),SCHOOL Y,0,67,,,72.5,,,,75.9,71,,,,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
344,20200344,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),0,61,,,76.4,,,,68.6,66.1,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
345,20200345,M,0,NA,IP (X),SCHOOL X,0,55,,,28.9,,,30.3,43.8,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
346,20200346,M,254,Repeat Yr2,IP (X),SCHOOL X,0,MC,,,EX,,,MC,EX,,,,,,,,,,,,,,,,,,,,,,,,EX,,,,,,,,,0
347,20200347,F,0,NA,IP (Y),SCHOOL Y,0,67,,,56.8,,,,52,52.7,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
348,20200348,M,0,NA,IP (X),SCHOOL X,0,64,,,40.7,,,,44.5,53,,,,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
349,20200349,M,0,NA,IP (X),SCHOOL X,0,72,,,65.9,,,,65.6,61.8,,,,,,,,66.3,,,,,,,,,,,,,,,,,,,,,,,,1
350,20200350,M,0,NA,IP (X),SCHOOL X,0,66,,,43.5,,,,,,68,,,69.6,,,,,,,,,68.6,,,,,,,,,,,,,,,,,,,1
351,20200351,M,0,NA,IP (X),SCHOOL X,0,65,,,79,,,68.2,76.4,,,,,,,,,,,,,,56.2,,,,,,,,,,,,,37,,,,,,1
352,20200352,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,0,63,,,71.1,,,69.5,68,,,,,,,,,53.1,,,,,,,,,,,,,,,,,,,,,,,,1
353,20200353,M,0,NA,IP (X),SCHOOL X,0,69,,,81.3,,,74.6,85.7,,,,,,,,,,,,,,,,,71.2,,,,,,,,,,,55,,,,,1
354,20200354,M,0,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,0,62,,,70.4,,,,70.9,67.3,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
355,20200355,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,53,,,60.4,,,67,62.1,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,52,,,,,,1
356,20200356,M,0,NA,IP (X),SCHOOL X,0,75,,,79.8,,,84.9,79.2,,,,,57.1,,,,,,,,,,,,,,,,,,,,,49,,,,,,,2
357,20200357,M,259,Repeat Yr1,IP (X),SCHOOL X,,62,,,31.6,,,,,,52.7,,,,,,,45.4,,,,,,,,,,,,,,,41.1,,,,,,,,,1
358,20200358,F,0,NA,IP (Y),SCHOOL Y,0,59,,,80.6,,,79,77.5,,,,,69.6,,,,,,,,,,,,,,,,,,,,,59,,,,,,,1
359,20200359,F,0,NA,IP (Y),SCHOOL Y,0,72,,,79,,,,80.1,71,,,,63.3,,,,,,,,,,,,,,,,,,,,,,,47,,,,,1
360,20200360,F,0,NA,IP (Y),SCHOOL Y,0,63,,,51.2,,,45.2,49.4,,,,,,,,,,,,,,58.1,,,,,,,,,,,,,,,,,,,1
361,20200361,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,0,70,,,80.1,,,,79.5,73.2,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,1
362,20200362,M,0,NA,IP (X),SCHOOL X,0,61,,,49.8,,,,55.5,56.7,,,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
363,20200363,M,0,NA,IP (X),SCHOOL X,0,65,,,63.5,,,,75.3,66.6,,,,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
364,20200364,M,0,NA,IP (X),SCHOOL X,0,71,,,74.3,,,76.7,79.2,,,,,65.7,,,,,,,,,,,,,,,,,,,,,,,,,53,,,1
365,20200365,F,0,NA,IP (Y),SCHOOL Y,0,65,,,72.3,,,61.7,69.9,,,,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
366,20200366,M,0,NA,IP (X),SCHOOL X,0,53,,,49,,,36,51,,,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
367,20200367,F,0,NA,IP (Y),SCHOOL Y,0,65,,,64.3,,,60.1,67.5,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
368,20200368,F,0,NA,IP (Y),SCHOOL Y,0,65,,,69.2,,,,61.7,,,,,64.8,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
369,20200369,F,0,NA,IP (Y),SCHOOL Y,0,60,,,,,,,,,62.7,,,44.7,,,,57.5,,,,,,,,,,,58.7,,,,,,,,,,,,,2
370,20200370,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,0,63,,,47.2,,,,60.8,64.9,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,,1
371,20200371,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,64,,,72.4,,,73.9,69.9,,,,,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
372,20200372,M,0,NA,IP (X),SCHOOL X,0,77,,,60.1,,,,66.3,55.4,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
373,20200373,M,0,NA,IP (X),SCHOOL X,0,55,,,28.8,,,,41.1,49.3,,,,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
374,20200374,M,233,NA,DSA,CLEMENTI TOWN SECONDARY SCHOOL,0,64,,,62.6,,,,77.4,76.7,,,,57.7,,,,,,,,,,,,,,,,,,,,,,,,73.3,,,,1
375,20200375,M,0,NA,IP (X),SCHOOL X,0,,81.7,,54.6,,,,,,,,,64.7,,,,77.1,,,,,,,,,,,,,,,,,,,,,,,,1
376,20200376,M,0,NA,IP (X),SCHOOL X,0,65,,,81.9,,,76.2,70.9,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
377,20200377,M,244,NA,DSA (CCA),SCHOOL X,0,60,,,,,,,,,57.3,,,45.1,,,,49.9,,,,,,,,,,,48.9,,,,,,,,,,,,,1
378,20200378,M,0,NA,IP (X),SCHOOL X,0,89,,,88.4,,,,88.3,85.6,,,,75.1,,,,,,,,,,,,,,,,,,,,,,,,82.7,,,,1
379,20200379,M,0,NA,IP (X),SCHOOL X,0,65,,,88.2,,,,85.2,74.2,,,,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
380,20200380,F,0,NA,IP (Y),SCHOOL Y,0,68,,,62.5,,,,60.9,65.6,,,,,,,,,,,,,68.6,,,,,,,,,,,,,,,,,,,1
381,20200381,F,0,NA,IP (Y),SCHOOL Y,0,74,,,72.1,,,,74.9,77.2,,,,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
382,20200382,F,0,NA,IP (Y),SCHOOL Y,0,80.5,,,72.2,,,,,,,68.7,,,62.9,,66.5,,,,,,,,,,,,,,,,,,,,,,,,,2
383,20200383,M,0,NA,IP (X),SCHOOL X,0,64,,,43.1,,,61.2,47.1,,,,,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
384,20200384,M,0,NA,IP (X),SCHOOL X,0,76,,,56.1,,,60.7,,,,,,,,61,,,,,,,,,,,,,,,,,70,,,,,,,,,1
385,20200385,M,0,NA,IP (X),SCHOOL X,0,,70,,73.4,,,67.6,,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
386,20200386,M,0,NA,IP (X),SCHOOL X,0,63,,,61.2,,,,71.7,70.4,,,,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
387,20200387,M,0,NA,IP (X),SCHOOL X,0,63,,,69.3,,,,77.9,70.2,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,1
388,20200388,M,0,NA,IP (X),SCHOOL X,0,67,,,87,,,88,85.8,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,1
389,20200389,F,0,NA,IP (Y),SCHOOL Y,0,65,,,62.3,,,67,62.9,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
390,20200390,M,0,NA,IP (X),SCHOOL X,0,71,,,60.1,,,59.5,54.5,,,,,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
391,20200391,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,69,,,49.6,,,,51.5,59.7,,,,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
392,20200392,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,0,64,,,42.9,,,,49.1,58.3,,,,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,1
393,20200393,M,0,NA,IP (X),SCHOOL X,0,71,,,71.8,,,,75.3,72.9,,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
394,20200394,M,244,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,0,47,,,27.5,,,36.8,23.2,,,,,,,,,,,,,,,,,,,,,,,,52.2,,,,,,,,,1
395,20200395,F,0,NA,IP (Y),SCHOOL Y,0,69,,,55.8,,65.6,48,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
396,20200396,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,0,56,,,,,,,47.9,52.1,,,,44.7,,,,,,,,,,,,,,,63,,,,,,,,,,,,,1
397,20200397,F,0,NA,IP (Y),SCHOOL Y,0,,,74.2,,,,,,,,71.3,,,51.9,,,,73.3,,,,,,,,,,,,,,,,,,,,,,,2
398,20200398,M,0,NA,IP (X),SCHOOL X,0,62,,,64.7,,,,55.3,48.1,,,,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
399,20200399,M,0,NA,IP (X),SCHOOL X,0,62,,,66.3,,,72.3,71.5,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
400,20200400,M,0,NA,IP (X),SCHOOL X,0,58,,,77.1,,84.9,67.6,,,,,,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
401,20200401,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,57,,,36.6,,,41.5,33.9,,,,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
402,20200402,M,0,NA,IP (X),SCHOOL X,0,MC,,,MC,,,EX,,,,,,EX,,,,,,,,,,,,,,,,,MC,,,,,,,,,,,0
403,20200403,M,0,NA,IP (X),SCHOOL X,0,56,,,64.4,,,52.3,56.5,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
404,20200404,F,0,NA,IP (Y),SCHOOL Y,0,63,,,69,,,63,77.5,,,,,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
405,20200405,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,74,,,56.4,,,,68.8,70.9,,,,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
406,20200406,M,0,NA,IP (X),SCHOOL X,0,60,,,78.8,,87.4,,66.2,,,,,50.4,,,,,,,,,,,,,,,,,,,,,66,,,,,,,1
407,20200407,M,0,NA,IP (X),SCHOOL X,0,64,,,72.3,,81.4,78.4,,,,,,69.6,,,,,,,,,,,,,,,,,,,,,57,,,,,,,1
408,20200408,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,70,,,40.9,,,37.5,37.4,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
409,20200409,F,0,NA,IP (Y),SCHOOL Y,0,60,,,57.3,,,52.4,53.6,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
410,20200410,M,0,NA,IP (X),SCHOOL X,0,71,,,67.8,,,,,,,74.7,63.8,,,,,,71.5,,,,,,,,,,,,,,,,,,,,,,,2
411,20200411,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,67,,,46.7,,,,66.3,68.8,,,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
412,20200412,F,0,NA,IP (Y),SCHOOL Y,0,55,,,36,,,50.2,40.7,,,,,,,,,,,,,,,,,,,,,,,,52.2,,,,,,,,,0
413,20200413,F,0,NA,IP (Y),SCHOOL Y,0,56,,,44.1,,,44.5,40.4,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
414,20200414,M,0,NA,IP (X),SCHOOL X,0,65,,,76.7,,,69.6,76.3,,,,,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
415,20200415,M,0,NA,IP (X),SCHOOL X,0,70,,,96.8,,,94.7,90.1,,,,,69.7,,,,,,,,,,,,,,,,,,,,,,,72,,,,,1
416,20200416,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,73,,,70.4,,,,76.3,69.4,,,,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
417,20200417,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,61,,,,,,,,,52,,,46.3,,50.5,,,,,,,,,,,,,62,,,,,,,,,,,,,1
418,20200418,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,59,,,33,,,,40.8,47.1,,,,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
419,20200419,M,0,NA,IP (X),SCHOOL X,0,69,,,44.1,,,56.4,61.8,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
420,20200420,M,0,NA,IP (X),SCHOOL X,0,69,,,80.7,,,,71.4,64.5,,,,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
421,20200421,M,0,NA,IP (X),SCHOOL X,0,81,,,75.6,,,,,,,76,,,,,78,,,,,,83.8,,,,,,,,,,,,,,,,,,,2
422,20200422,F,0,NA,IP (Y),SCHOOL Y,0,,,77.5,52.9,,,,,,,70.3,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2
423,20200423,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,0,55,,,39.2,,,,54.2,47,,,,,,,,,,,,49.8,,,,,,,,,,,,,,,,,,,,1
424,20200424,F,0,NA,IP (Y),SCHOOL Y,0,,,70.8,64.6,,,,,,,68,,,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
425,20200425,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,53,,,73.2,,,50.6,59.7,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
426,20200426,M,0,NA,IP (X),SCHOOL X,0,77,,,93.3,,,89.4,93.3,,,,,60,,,,,,,,,,,,,,,,,,,,,71,,,,,,,2
427,20200427,F,0,NA,IP (Y),SCHOOL Y,0,59,,,14.4,,,,28.5,33.3,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
428,20200428,M,246,Repeat Yr1,DSA (CCA),RAFFLES INSTITUTION,,56,,,53.5,,,48.8,54.6,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,1
429,20200429,F,0,NA,IP (Y),SCHOOL Y,0,61,,,60.8,,,,65.6,70.3,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
430,20200430,M,0,NA,IP (X),SCHOOL X,0,69,,,60.1,,,,,,,60.3,,,57.1,,65.5,,,,,,,,,,,,,,,,,,,,,,,,,1
431,20200431,F,0,NA,IP (Y),SCHOOL Y,0,60,,,72.7,,,,59,58.6,,,,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
432,20200432,M,0,NA,IP (X),SCHOOL X,0,,,75.8,79.9,,,,,,,72.3,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,1
433,20200433,F,0,NA,IP (Y),SCHOOL Y,0,71,,,85.1,,94.5,74.3,,,,,,66.4,,,,,,,,,,,,,,,,,,,,,,,,,58,,,1
434,20200434,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,57,,,51.3,,,,52,46.7,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
435,20200435,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,58,,,67.5,,,,54,66,,,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
436,20200436,F,0,NA,IP (Y),SCHOOL Y,0,70,,,91.6,,,,91.5,84.7,,,,67.9,,,,,,,,,,,,,,,,,,,,,,,61,,,,,1
437,20200437,F,0,NA,IP (Y),SCHOOL Y,0,,70,,59.6,,,,59.6,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
438,20200438,F,0,NA,IP (Y),SCHOOL Y,0,60,,,77.9,,,65,68.2,,,,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
439,20200439,F,232,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),0,68,,,71.9,,,,,,71.3,,,64.3,,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
440,20200440,M,0,NA,IP (X),SCHOOL X,0,60,,,53.3,,,,46.7,49.1,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
441,20200441,M,0,NA,IP (X),SCHOOL X,0,61,,,70.2,,,70.2,65,,,,,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
442,20200442,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,59,,,52.4,,,,61.3,64.2,,,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
443,20200443,F,0,NA,IP (Y),SCHOOL Y,0,61,,,52.7,,,,35.1,,,,,,,,,,,,,63.8,,62.5,,,,,,,,,,,,,,,,,,1
444,20200444,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,55,,,35.8,,,,60.4,49.5,,,,,,,,,,,,47.5,,,,,,,,,,,,,,,,,,,,1
445,20200445,F,0,NA,IP (Y),SCHOOL Y,0,60,,,81.1,,,,80.3,70.3,,,,,,,,,,,67.8,,,,,,,,,,,,,,,,,,,,,1
446,20200446,F,0,NA,IP (Y),SCHOOL Y,0,74.5,,,50.7,,,,,,,71.7,,,58.4,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,1
447,20200447,F,0,NA,JAE Ordinary Admission,PRESBYTERIAN HIGH SCHOOL,0,63,,,68.1,,,,69.6,74,,,,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
448,20200448,M,0,NA,IP (X),SCHOOL X,0,63,,,26.5,,,,,,,,,53.2,,59,,,,,,,,,,,,,,,,70.7,,,,,,,,,,2
449,20200449,M,0,NA,IP (X),SCHOOL X,0,56,,,41.1,,40.5,,51.7,,,,,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
450,20200450,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),0,53,,,26.4,,,,36.4,39.2,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,1
451,20200451,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,0,60,,,69.6,,,,64.8,66.3,,,,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
452,20200452,F,0,NA,IP (Y),SCHOOL Y,0,81,,,92,,,,85,79.5,,,,,,,,,,,,,72.9,,,,,,,,,,,,,,,74.7,,,,1
453,20200453,F,0,NA,IP (Y),SCHOOL Y,0,70,,,64.8,,,61.4,55.1,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
