SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
123,20200123,M,0,NA,IP (X),SCHOOL X,0,62,,,55.2,,,59.4,56.6,,,,,,,,,,,63.9,,,,,,,,,,,,,,,,,,,,55,,1
124,20200124,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,63,,,70.8,,,,82,80,,,,65.7,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,,2
125,20200125,F,0,NA,IP (Y),SCHOOL Y,0,74,,,67.1,,,,71.5,74.9,,,,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
126,20200126,F,0,NA,IP (Y),SCHOOL Y,0,63,,,51.6,,,47.9,49.8,,,,,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
127,20200127,M,0,NA,IP (X),SCHOOL X,0,52,,,55.4,,43.6,61.8,,,,,,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
128,20200128,M,0,NA,IP (X),SCHOOL X,0,63,,,48.2,,,59.6,49.4,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
129,20200129,F,0,NA,IP (Y),SCHOOL Y,0,79,,,61.3,,,,70.4,62.5,,,,,,,,75.5,,,,,,,,,,,,,,,,,,,,,,,,1
130,20200130,M,0,NA,IP (X),SCHOOL X,0,62,,,74.1,,,73.5,70.2,,,,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
131,20200131,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,,67.5,,56,,,,,,52.7,,,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
132,20200132,F,0,NA,IP (Y),SCHOOL Y,0,77,,,42.7,,,,57.1,62.7,,,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
133,20200133,F,0,NA,IP (Y),SCHOOL Y,0,64,,,72.5,,73.5,65.6,,,,,,,,,,,,,,,61.4,,,,,,,,,,,,,,,,,,,1
