SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
71,20180071,F,264,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,0,,68,,73.5,,,,69.4,64.5,,,,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
72,20180072,M,259,NA,IP (X),SCHOOL X,0,,52,,40,,,,50.4,,,,,,,,,,,,,,59,,,,,,,,,,,62.2,,,,,,,,,1
73,20180073,F,258,NA,IP (Y),SCHOOL Y,0,,64,,64.5,,,,67.2,,,,,62.5,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,1
74,20180074,F,252,NA,IP (Y),SCHOOL Y,0,,56,,67,,,61.6,75.1,,,,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,20180075,F,261,NA,IP (Y),SCHOOL Y,0,,58,,81.5,,,,88.4,79.7,,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,20180076,F,250,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,,51,,68,,,,64.9,66.3,,,,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,20180077,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,,55,,72.5,,,63.8,72.1,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,20180078,F,235,NA,IP (Y),SCHOOL Y,0,,54,,36.5,,,,,,,,,55.7,,,,49.6,,,,,,,,,,,,,55.3,,,,,,,,,,,,1
79,20180079,F,247,NA,IP (Y),SCHOOL Y,0,,57,,,,,,,,58,,,31.7,,38,,,,,,,,,,,,,64,,,,,,,,,,,,,,1
80,20180080,F,238,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,0,,53,,65.5,,,,77.2,69.4,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
81,20180081,F,255,NA,IP (Y),SCHOOL Y,0,,58,,,,,,,,66,,,49.2,,,,56.6,,,,,,,,,,,84,,,,,,,,,,,,,,1
82,20180082,M,261,NA,IP (X),SCHOOL X,0,,71,,76.5,,76.6,62.9,,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,1
83,20180083,M,254,NA,IP (X),SCHOOL X,0,,58,,69.5,,,63.5,65.5,,,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
84,20180084,M,257,NA,IP (X),SCHOOL X,0,,60,,69,,,,72.6,70.1,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
85,20180085,F,256,NA,IP (Y),SCHOOL Y,0,,61,,65,,,,66.7,73.8,,,,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,20180086,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),0,,56,,83,,,,81.5,70.6,,,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
87,20180087,F,259,NA,IP (Y),SCHOOL Y,0,,64,,64,,,,72.3,66.8,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
88,20180088,M,257,NA,IP (X),SCHOOL X,0,,68,,75.5,,,,71.5,67.7,,,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
89,20180089,M,259,NA,IP (X),SCHOOL X,0,84.2,,,68.5,,,84.5,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,,,,1
90,20180090,M,254,NA,IP (X),SCHOOL X,0,,63,,54.5,,,,,,57.3,,,,,59.5,,,,,,,,,,,,,,,,,,63.3,,,,,,,,,1
91,20180091,F,258,NA,IP (Y),SCHOOL Y,0,,59,,62.5,,,,77.2,70.9,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
92,20180092,M,251,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,57,,70,,,54.2,59.5,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
93,20180093,M,244,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,,55,,69.5,,,69.6,68.5,,,,,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
94,20180094,M,252,NA,IP (X),SCHOOL X,0,,50,,51,,,49.7,54.5,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,1
95,20180095,F,258,NA,IP (Y),SCHOOL Y,0,,61,,,,,,,,,,,,,,,75.9,,,,,66.2,65.5,,,,,81,,,,,,,,,,,,,,1
96,20180096,F,249,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,,57,,52,,,,56.8,58.8,,,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
97,20180097,F,260,NA,IP (Y),SCHOOL Y,0,,60,,37,,,,43.5,,,,,,,,,55.4,,,,,,,,,,,,,,,,71.1,,,,,,,,,1
98,20180098,M,256,NA,IP (X),SCHOOL X,0,,65,,66,,,70.5,70.7,,,,,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
99,20180099,M,254,NA,DSA (CCA),SCHOOL X,0,,53,,51.5,,,50.9,53.5,,,,,,,,,,,,,,,,,,,,,,,,,58.9,,,,,,,,,1
100,20180100,M,261,NA,IP (X),SCHOOL X,0,,62,,58.5,,,,66.8,62.4,,,,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
101,20180101,M,261,NA,IP (X),SCHOOL X,0,,51,,61,,,62.2,59,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
102,20180102,M,256,NA,IP (X),SCHOOL X,0,,69,,85.5,,,76.3,90.7,,,,,71.5,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,2
103,20180103,F,255,NA,IP (Y),SCHOOL Y,0,,47,,75.5,60,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,1
104,20180104,M,257,NA,IP (X),SCHOOL X,0,,52,,61.5,,,58.6,72.5,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
105,20180105,F,260,NA,IP (Y),SCHOOL Y,0,,63,,60.5,,,64.4,63.5,,,,,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
106,20180106,F,0,NA,IP (Y),SCHOOL Y,0,,64,,65.5,,,,,,,64.3,,,58.4,,,,,72.7,,,,,,,,,,,,,,,,,,,,,,56.7,1
107,20180107,F,260,NA,IP (Y),SCHOOL Y,0,,53,,,,,,,,,,,49.5,,,,59.6,,73.8,,,,,,,,,80,,,,,,,,,,,,,71.7,1
108,20180108,F,258,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,,59,,64,,,,71.8,66.8,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
109,20180109,F,250,NA,Appeals (Academic),SINGAPORE CHINESE GIRLS' SCHOOL,0,,67.5,,53.5,,,,,,,64.7,,,50.7,,73,,,,,,,,,,,,,,,,,,,,,,,,,,1
110,20180110,F,232,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,0,,55,,54,,,,71.4,55.7,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
111,20180111,M,258,NA,IP (X),SCHOOL X,0,,69,,58,,,,,,,,56.2,50.4,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1
112,20180112,F,257,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,,56,,70,,,,78.2,70.9,,,,,,,,58.5,,,,,,,,,,,,,,,,,,,,,39.5,,,,1
113,20180113,M,262,NA,IP (X),SCHOOL X,0,,60,,57,,,47.4,61.9,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
114,20180114,M,254,NA,IP (X),SCHOOL X,0,,57,,57.5,,,,69.9,58,,,,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
115,20180115,F,0,NA,IP (Y),SCHOOL Y,0,,51,,73.5,,,64.2,67,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,33,,,,2
116,20180116,M,228,NA,JAE Ordinary Admission,BEATTY SECONDARY SCHOOL,0,,61,,70,,,62,73.8,,,,,,,,,,,,,65.8,,,,,,,,,,,,,,,,,,,,,1
117,20180117,F,240,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,,44,,68,,,61.7,,,,,,64.9,,,,,,,,72.5,,,,,,,,,,,,,,,,,,,,,1
118,20180118,M,254,NA,IP (X),SCHOOL X,0,,59,,56.5,,,45.5,65.6,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,,1
119,20180119,M,259,NA,IP (X),SCHOOL X,0,,66,,83,,,81.9,88,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
120,20180120,M,239,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,,53,,55.5,,,,,,,,,,,,,,,,,70.8,64.3,,,,,,,,,,,74.4,,,,,,,,,0
121,20180121,M,265,NA,IP (X),SCHOOL X,0,,75,,68.5,,,,71.7,71.7,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
122,20180122,F,253,NA,IP (Y),SCHOOL Y,0,,55,,52.5,,,,53.1,65.7,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,,,1
123,20180123,M,239,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,0,,48,,60,,,60.2,71.5,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,1
124,20180124,M,262,NA,IP (X),SCHOOL X,0,,67,,86,,,,80.8,76.5,,,,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,1
125,20180125,M,0,NA,IP (X),SCHOOL X,0,,50,,84,74,84.7,,,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,1
126,20180126,M,255,NA,IP (X),SCHOOL X,0,,59,,38.5,,47,,,,,,,48,,,,,,,,,,,,,,,,57.4,,,,,,,,,,,,,1
127,20180127,M,258,NA,IP (X),SCHOOL X,0,,60,,71.5,,,,70.3,65.6,,,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
128,20180128,F,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,49,,54,,,,48.1,57.5,,,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
129,20180129,F,269,NA,IP (Y),SCHOOL Y,0,,62,,,,,,,,62,,,,,53.5,,,,67.3,,,,,,,,,60,,,,,,,,,,,,,55,1
130,20180130,F,259,NA,IP (Y),SCHOOL Y,0,,60,,49.5,,,,,,62.7,,,58.9,,,,64.2,,,,,,,,,,,,,,,,,,,,,,,,,1
131,20180131,M,260,NA,IP (X),SCHOOL X,0,,61,,,,,46.6,,,,,,50,,,,,,,,,56.7,,,,,,84,,,,,,,,,,,,,,1
132,20180132,F,262,NA,IP (Y),SCHOOL Y,0,,65,,65.5,,,,57,64.4,,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
133,20180133,M,257,NA,IP (X),SCHOOL X,0,,53,,42,,,,62.6,,,,,46.1,,,,,,,,,53.8,,,,,,,,,,,,,,,,38.5,,,,1
134,20180134,M,251,NA,IP (X),SCHOOL X,0,,64,,56,,,51,64.4,,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
135,20180135,F,253,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,,79,,46,,,,,,,73,,,,,64,,,,,,,,,84.4,,,,,,,,,,,,,,,,,1
136,20180136,M,250,NA,IP (X),SCHOOL X,0,,54,,56.5,,,,69.6,67.3,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
137,20180137,F,259,NA,IP (Y),SCHOOL Y,0,,59,,56,,,,73.6,70.2,,,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
138,20180138,F,247,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,,61,,74.5,,,,85.2,78.4,,,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
139,20180139,M,256,NA,IP (X),SCHOOL X,0,,55,,37.5,,,38.2,49.3,,,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
140,20180140,M,258,NA,IP (X),SCHOOL X,0,,56,,60,,,,,,66.7,,,61.5,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1
141,20180141,F,259,NA,IP (Y),SCHOOL Y,0,,59,,50.5,,,,52.6,47.6,,,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
142,20180142,M,0,NA,IP (X),SCHOOL X,0,,53,,54,,,65.7,63.8,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,,1
143,20180143,F,0,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,,41,,66.5,,,54.7,66.6,,,,,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
144,20180144,M,248,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,,53,,69,,,55.5,69.4,,,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
145,20180145,M,257,NA,IP (X),SCHOOL X,0,,47,,53,,,52.1,66.8,,,,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
146,20180146,M,267,NA,IP (X),SCHOOL X,0,,64,,78,,,,88,78.9,,,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,3
147,20180147,M,254,NA,IP (X),SCHOOL X,0,,55,,36,,,43.3,51.7,,,,,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
148,20180148,F,194,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,,50,,38.5,,,35,38.9,,,,,,,,,,,,,,,,,,,,,,,,,52.2,,,,,,,,,1
149,20180149,M,263,Repeat Yr1,IP (X),SCHOOL X,0,,60,,42.5,,42.2,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,58.9,,,,,,,,,0
150,20180150,F,234,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,0,,47,,51.5,,,46.2,53.5,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
151,20180151,M,240,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,57,,53.5,,,49.9,,,,,,54.1,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1
152,20180152,M,256,NA,IP (X),SCHOOL X,0,,70,,82,,,,76,76.7,,,,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,2
153,20180153,M,263,NA,IP (X),SCHOOL X,0,,71,,73.5,,,,78.4,82,,,,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
154,20180154,F,258,NA,IP (Y),SCHOOL Y,0,,,62.5,49.5,,,,,,,64.3,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,2
155,20180155,F,262,NA,IP (Y),SCHOOL Y,0,,59,,59,,,,65.9,67.6,,,,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
156,20180156,M,253,NA,IP (X),SCHOOL X,0,,60,,60.5,,,,73.3,63.4,,,,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
157,20180157,F,0,NA,JAE Ordinary Admission,NORTH VISTA SECONDARY SCHOOL,0,,54,,79,61,,61.2,,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
158,20180158,M,254,NA,IP (X),SCHOOL X,0,,59,,69.5,,,69.6,,,,,,58.9,,,,,,,,,73.3,,,,,,,,,,,,,,,,,,,,1
159,20180159,M,267,NA,IP (X),SCHOOL X,0,83.3,,,81.5,,,79.9,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160,20180160,F,253,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,0,,53,,36.5,,,,55.4,48.7,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
161,20180161,M,258,NA,IP (X),SCHOOL X,0,,57,,62.5,,,,69,64.4,,,,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
162,20180162,M,240,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,,61,,55.5,,,,,,56,,,64.3,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,1
163,20180163,F,262,NA,IP (Y),SCHOOL Y,0,,56,,53.5,,,,76.1,66.7,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
164,20180164,F,257,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,,62,,65.5,,,64.7,82.6,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
165,20180165,M,257,NA,IP (X),SCHOOL X,0,,58,,51.5,,,58.9,63.7,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
166,20180166,M,239,NA,Appeals (Academic),CHUNG CHENG HIGH SCHOOL (MAIN),0,,MC,,74,,,,58.8,62.9,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
167,20180167,M,247,NA,IP (X),SCHOOL X,0,,56,,69,,,64.5,62.9,,,,,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
168,20180168,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,53,,57.5,,,,67.7,62.1,,,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
169,20180169,F,261,NA,IP (Y),SCHOOL Y,0,,59,,55,,,,,,60.7,,,49.7,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2
170,20180170,M,260,NA,IP (X),SCHOOL X,0,,61,,63.5,,,,57.6,54.5,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
171,20180171,F,239,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,,48,,54,,,41,49.5,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
172,20180172,F,261,NA,IP (Y),SCHOOL Y,0,,,72.5,,,,,,,,69.3,,,60.5,,,,68,,,,,,,,,,,,,,,,,,,,,,,,3
173,20180173,F,248,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,0,,53,,36.5,,,38.8,43.8,,,,,,,,,,,,,,,,,,,,,,,,,48.9,,,,,,,,,1
174,20180174,M,241,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,,63,,71.5,,,,78.4,70.2,,,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
175,20180175,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,53,,54,,,,53.9,58.1,,,,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
176,20180176,M,255,NA,IP (X),SCHOOL X,0,,57,,62.5,,,45.6,74.3,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,,1
177,20180177,M,252,NA,IP (X),SCHOOL X,0,,57,,77,,,73.1,78.1,,,,,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
178,20180178,M,239,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,0,,59,,41,,,,64.2,71,,,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
179,20180179,M,252,NA,IP (X),SCHOOL X,0,,62,,88.5,,,77.7,88.9,,,,,64.5,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,1
180,20180180,F,254,NA,IP (Y),SCHOOL Y,0,,60,,79,,,,79.9,66.8,,,,,,,,,,,,,64.8,,,,,,,,,,,,,,,,,,,,1
181,20180181,M,261,NA,IP (X),SCHOOL X,0,,66,,,,,,,,,,67.8,MC,,,,64,,,,,,,,,,,57,,,,,,,,,,,,,,1
182,20180182,F,256,NA,IP (Y),SCHOOL Y,0,,56,,MC,,,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
183,20180183,F,246,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,,61,,50,,,,63.4,48.6,,,,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
184,20180184,F,249,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,47,,68.5,,,42.1,59,,,,,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
185,20180185,M,236,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,,57,,64.5,,,63.8,62.1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
186,20180186,F,262,NA,IP (Y),SCHOOL Y,0,,60,,76.5,,,62.7,67.4,,,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
187,20180187,M,259,NA,IP (X),SCHOOL X,0,,64,,60.5,,,58.5,64.1,,,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1
188,20180188,F,253,NA,IP (Y),SCHOOL Y,0,,63,,60,,,,68.5,69.3,,,,,,,,,,,,,,,,MC,,,,,,,,,,,,,,,,,1
189,20180189,M,256,NA,IP (X),SCHOOL X,0,,63,,67.5,,,67.9,72.8,,,,,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
190,20180190,F,250,NA,IP (Y),SCHOOL Y,0,,60,,50,,,,57.9,66,,,,,,,,,,,,,,,,,,,,,,,,71.1,,,,,,,,,2
191,20180191,F,264,NA,IP (Y),SCHOOL Y,0,,57,,65.5,,,53.3,54.7,,,,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
192,20180192,M,256,NA,IP (X),SCHOOL X,0,,78,,67,,,,,,,64,,,58.7,,72,,,,,,,,,,,,,,,,,,,,,,,,51,,1
193,20180193,F,258,NA,IP (Y),SCHOOL Y,0,,58,,87.5,,,69.4,77.2,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,1
194,20180194,F,244,NA,DSA (CCA),ANGLICAN HIGH SCHOOL,0,,60,,40.5,,,,41,60.8,,,,,,,,47.8,,,,,,,,,,,,,,,,,,,,,,,,,1
195,20180195,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,50,,29.5,,,33,38.4,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,1
196,20180196,M,244,NA,IP (X),SCHOOL X,0,,51,,MC,,,55.3,62.2,,,,,,,,,,,,,,,,,,,,,,,,,55.6,,,,,,,,,1
197,20180197,M,257,NA,IP (X),SCHOOL X,0,,64,,71,,,78.9,86.9,,,,,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
198,20180198,M,253,NA,IP (X),SCHOOL X,0,,67,,58,,,,53.5,52.4,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
199,20180199,M,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,,58,,75,,,71.3,81.5,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
200,20180200,M,257,NA,IP (X),SCHOOL X,0,,68,,70,,,55.2,63.8,,,,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,1
201,20180201,F,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,,58,,78,,,67,78,,,,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
202,20180202,F,252,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,,60,,73,,,66.6,76.9,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,1
203,20180203,M,249,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,,63,,72.5,,,62.7,,,,,,55.9,,,,,,81.1,,,,,,,,,,,,,,,,,,,,,,61.7,1
204,20180204,F,262,NA,IP (Y),SCHOOL Y,0,,66,,58,,,,70.8,59.5,,,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
205,20180205,F,255,NA,IP (Y),SCHOOL Y,0,,51,,60,,,54.6,69.6,,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
206,20180206,F,257,NA,IP (Y),SCHOOL Y,0,,55,,62,,,,80.2,66.8,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
207,20180207,F,241,NA,DSA (CCA),NAN HUA HIGH SCHOOL,0,,55,,35,,,,33.1,,,,,,,49.5,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,2
208,20180208,F,251,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,0,,68,,66,,,,72.9,75.2,,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
209,20180209,F,246,NA,IP (Y),SCHOOL Y,0,,53,,56,,,46.5,52.8,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
210,20180210,F,259,NA,IP (Y),SCHOOL Y,0,68.3,,,65.5,,,,71.6,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
211,20180211,F,245,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,,49,,60.5,,,,69.7,60.4,,,,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
212,20180212,F,261,NA,IP (Y),SCHOOL Y,0,,63,,51,,,,,,,,,50,,,,48.1,,,,,,,,,,,,,75.1,,,,,,,,,,,,1
213,20180213,M,269,NA,IP (X),SCHOOL X,0,,73.5,,82,,,,,,,71.7,,,71.2,,76.5,,,,,,,,,,,,,,,,,,,,,,,,61,,2
214,20180214,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,60,,58.5,,,,69,59.2,,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
215,20180215,M,0,NA,JAE Ordinary Admission,QUEENSTOWN SECONDARY SCHOOL,0,,51,,82,75.5,,59.3,,,,,,,,,,,,,,,62.4,,,,,,,,,,,,,,51,,,,,,1
216,20180216,M,249,NA,IP (X),SCHOOL X,0,,56,,66,,,69,70.1,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
217,20180217,F,258,NA,IP (Y),SCHOOL Y,0,,,76.7,64,,,,,,,67,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,54,,1
218,20180218,M,251,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,,61,,71.5,,,,79.5,73.6,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,1
219,20180219,M,268,NA,IP (X),SCHOOL X,0,,64,,71.5,,,,88,81.1,,,,69.6,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,1
220,20180220,M,256,NA,IP (X),SCHOOL X,0,,61,,73,,,,80.3,70.9,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,53.5,,,,2
221,20180221,M,230,NA,DSA (CCA),ST. GABRIEL'S SECONDARY SCHOOL,0,,49,,32,,,,49.4,34.6,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,,,,1
222,20180222,M,258,NA,IP (X),SCHOOL X,0,76.7,,,89.5,,,,90.4,,,,,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,2
223,20180223,F,253,NA,IP (Y),SCHOOL Y,0,,58,,36,,,,,47.3,,,,,,,,,,60.1,,,,,,,,,,,57,,,,,,,,,,,56.7,1
