SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
317,20180317,F,250,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,63,,36,,,,,47.6,57.3,,,,,,,,,,,,,,,,,,,,78.4,,,,,,,,,,,,1
318,20180318,F,242,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,0,,49,,50.5,,,,52.1,59.7,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,1
319,20180319,M,253,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,,52,,73.5,,,,76.5,61.7,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
320,20180320,F,250,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,,66,,72,,,67.2,86.6,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
321,20180321,F,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,0,,60,,60.5,,,65.6,71.8,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,2
322,20180322,F,263,NA,IP (Y),SCHOOL Y,0,,49,,62.5,,,53.5,67.3,,,,,,,,,,,,,,68.6,,,,,,,,,,,,,,,,,,,,1
323,20180323,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,57,,71.5,,,55,63.1,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
324,20180324,F,268,NA,IP (Y),SCHOOL Y,0,,63,,81,,,80.6,79.6,,,,,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
325,20180325,F,270,NA,IP (Y),SCHOOL Y,0,,62,,75,,,,77.9,72.8,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
326,20180326,F,246,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,,53,,40.5,,,,58.2,,,,,45.3,,,,,,,,,,,,,,,,54.1,,,,,,,,,,,,,1
327,20180327,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,,57,,56,,,,65.8,70.2,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
328,20180328,M,237,NA,JAE Ordinary Admission,XINMIN SECONDARY SCHOOL,0,,55,,61,,,,75,66.4,,,,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
329,20180329,M,256,NA,IP (X),SCHOOL X,0,,72,,76.5,,,82.6,84.1,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
330,20180330,F,237,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,,49,,56,,,40.1,59.8,,,,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
331,20180331,M,261,NA,IP (X),SCHOOL X,0,,74,,72.5,,,,,,,64.7,,,55.1,,,,81,,,,,,,,,,,,,,,,,,,,,,,,1
332,20180332,M,258,NA,DSA (CCA),SCHOOL X,0,,63,,19,,,,47.2,57.5,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,1
