NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20180027,F,254,NA,IP (Y),SCHOOL Y,A,C,,,,,,,,,B,,,E,,C,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,A,Passed,792,31,2.8,70,2
20180028,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,D,,,A,A,,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,144,87,1,86.25,1
20180029,F,261,NA,IP (Y),SCHOOL Y,A,C,,,A,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,531,54,2.1,77.5,2
20180030,M,256,NA,IP (X),SCHOOL X,A,B,,,A,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,192,83,1.7,85,2
20180031,M,254,NA,IP (X),SCHOOL X,A,C,,,D,,,E,,,,,,D,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,A,B,Passed,925,19,3.5,62.5,1
20180032,F,246,NA,IP (Y),SCHOOL Y,A,D,,,D,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,638,44,2.3,75,1
20180033,F,256,NA,IP (Y),SCHOOL Y,A,B,,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,361,68,1.9,81.25,2
20180034,F,249,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,D,,,A,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,309,73,1.7,82.5,1
20180035,F,259,NA,IP (Y),SCHOOL Y,A,B,,,A,,,A,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,A,Passed,25,97,1,88.75,2
20180036,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,A,B,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,65,94,1.2,87.5,2
