NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20180126,M,255,NA,IP (X),SCHOOL X,B,C,,,U,,E,,,,,,,E,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,B,B,Passed,1100,4,4.9,43.75,1
20180127,M,258,NA,IP (X),SCHOOL X,A,B,,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,192,83,1.4,85,2
20180128,F,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,E,,,D,,,,E,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,925,19,3.4,62.5,1
20180129,F,269,NA,IP (Y),SCHOOL Y,A,B,,,,,,,,,B,,,,,D,,,,B,,,,,,,,,B,,,,,,,,,,,,,ME,A,A,Passed,638,44,2.4,75,1
20180130,F,259,NA,IP (Y),SCHOOL Y,A,B,,,D,,,,,,B,,,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,638,44,2.6,75,1
20180131,M,260,NA,IP (X),SCHOOL X,B,B,,,,,,E,,,,,,D,,,,,,,,,C,,,,,,A,,,,,,,,,,,,,,B,A,Passed,887,23,3.4,65,1
20180132,F,262,NA,IP (Y),SCHOOL Y,A,B,,,B,,,,C,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,638,44,2.6,75,2
20180133,M,257,NA,IP (X),SCHOOL X,B,D,,,S,,,,B,,,,,E,,,,,,,,,D,,,,,,,,,,,,,,,,UC,,,,B,B,Passed,987,14,4,57.5,1
20180134,M,251,NA,IP (X),SCHOOL X,A,B,,,C,,,D,B,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,531,54,2.3,77.5,1
20180135,F,253,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,A,,,E,,,,,,,A,,,,,B,,,,,,,,,A,,,,,,,,,,,,,,,,,A,A,Passed,309,73,2.1,82.5,1
20180136,M,250,NA,IP (X),SCHOOL X,B,D,,,C,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,531,54,2,77.5,1
20180137,F,259,NA,IP (Y),SCHOOL Y,A,C,,,C,,,,A,A,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,531,54,2.3,77.5,1
20180138,F,247,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,B,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,25,97,1,88.75,1
20180139,M,256,NA,IP (X),SCHOOL X,B,C,,,U,,,U,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,1125,2,5.6,36.25,1
20180140,M,258,NA,IP (X),SCHOOL X,A,C,,,B,,,,,,B,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,470,59,1.9,78.75,1
20180141,F,259,NA,IP (Y),SCHOOL Y,A,C,,,D,,,,D,E,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,925,19,3.7,62.5,1
20180142,M,0,NA,IP (X),SCHOOL X,B,D,,,D,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,B,C,Passed,764,33,2.5,71.25,1
20180143,F,0,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,S,,,B,,,C,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,836,27,2.8,67.5,1
20180144,M,248,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,D,,,B,,,C,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,764,33,2.8,71.25,2
20180145,M,257,NA,IP (X),SCHOOL X,B,E,,,D,,,D,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,887,23,3.1,65,2
20180146,M,267,NA,IP (X),SCHOOL X,A,B,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,A,B,Passed,65,94,1.2,87.5,3
20180147,M,254,NA,IP (X),SCHOOL X,A,C,,,U,,,S,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1093,5,5,45,1
20180148,F,194,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,D,,,U,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,A,D,Failed,1144,0,5.9,22.5,1
20180149,M,263,Repeat Yr1,IP (X),SCHOOL X,B,B,,,S,,S,U,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,B,B,Failed,1127,2,5.4,35,0
20180150,F,234,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,A,E,,,D,,,E,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,987,14,3.9,57.5,1
20180151,M,240,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,C,,,D,,,D,,,,,,D,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,960,16,3.8,60,1
20180152,M,256,NA,IP (X),SCHOOL X,A,A,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,B,Passed,25,97,1.2,88.75,2
20180153,M,263,NA,IP (X),SCHOOL X,A,A,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,2
20180154,F,258,NA,IP (Y),SCHOOL Y,A,,,B,D,,,,,,,B,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,792,31,2.8,70,2
20180155,F,262,NA,IP (Y),SCHOOL Y,A,C,,,C,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,728,37,2.8,72.5,1
20180156,M,253,NA,IP (X),SCHOOL X,A,B,,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,309,73,1.7,82.5,1
20180157,F,0,NA,JAE Ordinary Admission,NORTH VISTA SECONDARY SCHOOL,A,D,,,A,B,,B,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,470,59,1.9,78.75,1
20180158,M,254,NA,IP (X),SCHOOL X,A,C,,,A,,,A,,,,,,C,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,A,Passed,192,83,1.4,85,1
20180159,M,267,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20180160,F,253,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,A,D,,,U,,,,C,E,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1003,13,4.1,56.25,1
20180161,M,258,NA,IP (X),SCHOOL X,A,C,,,B,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,638,44,2.6,75,1
20180162,M,240,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,B,,,C,,,,,,C,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,594,48,2.3,76.25,1
20180163,F,262,NA,IP (Y),SCHOOL Y,A,C,,,D,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,688,40,2.6,73.75,1
20180164,F,257,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,B,,,B,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,420,63,2.1,80,1
20180165,M,257,NA,IP (X),SCHOOL X,A,C,,,D,,,C,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,836,27,3.2,67.5,2
20180166,M,239,NA,Appeals (Academic),CHUNG CHENG HIGH SCHOOL (MAIN),A,MC,,,A,,,,C,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,814,29,2.3,68.75,1
20180167,M,247,NA,IP (X),SCHOOL X,A,C,,,B,,,B,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,638,44,2.6,75,1
20180168,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,D,,,C,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,728,37,2.4,72.5,1
20180169,F,261,NA,IP (Y),SCHOOL Y,A,C,,,C,,,,,,B,,,D,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,688,40,2.6,73.75,2
20180170,M,260,NA,IP (X),SCHOOL X,A,B,,,B,,,,C,C,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,764,33,3,71.25,1
20180171,F,239,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,E,,,D,,,S,D,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1077,6,4.6,47.5,1
20180172,F,261,NA,IP (Y),SCHOOL Y,A,,,A,,,,,,,,B,,,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,309,73,1.7,82.5,3
20180173,F,248,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,A,D,,,U,,,U,S,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,A,B,Failed,1142,1,5.8,26.25,1
20180174,M,241,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),B,B,,,A,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,192,83,1.6,85,1
20180175,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,D,,,D,,,,D,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,925,19,3.4,62.5,1
20180176,M,255,NA,IP (X),SCHOOL X,A,C,,,B,,,E,A,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,A,Passed,688,40,2.4,73.75,1
20180177,M,252,NA,IP (X),SCHOOL X,A,C,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,65,94,1,87.5,1
20180178,M,239,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,A,C,,,S,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,728,37,2.8,72.5,1
20180179,M,252,NA,IP (X),SCHOOL X,A,B,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,A,A,Passed,65,94,1.2,87.5,1
20180180,F,254,NA,IP (Y),SCHOOL Y,A,B,,,A,,,,A,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,192,83,1.4,85,1
20180181,M,261,NA,IP (X),SCHOOL X,A,B,,,,,,,,,,,B,MC,,,,B,,,,,,,,,,,C,,,,,,,,,,,,,,A,A,Passed,944,18,2,61.25,1
20180182,F,256,NA,IP (Y),SCHOOL Y,A,C,,,MC,,,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Failed,1151,0,1,17.5,1
20180183,F,246,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,B,B,,,D,,,,B,E,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,836,27,3.3,67.5,1
20180184,F,249,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,E,,,B,,,S,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,944,18,3.6,61.25,1
20180185,M,236,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,A,C,,,B,,,B,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,594,48,2.3,76.25,2
20180186,F,262,NA,IP (Y),SCHOOL Y,A,B,,,A,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,309,73,1.7,82.5,1
20180187,M,259,NA,IP (X),SCHOOL X,A,B,,,B,,,C,B,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,470,59,2.1,78.75,1
20180188,F,253,NA,IP (Y),SCHOOL Y,A,B,,,B,,,,B,B,,,,,,,,,,,,,,,,MC,,,,,,,,,,,,,,,,,A,A,Passed,764,33,1.9,71.25,1
20180189,M,256,NA,IP (X),SCHOOL X,A,B,,,B,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,420,63,2.1,80,1
20180190,F,250,NA,IP (Y),SCHOOL Y,A,B,,,D,,,,C,B,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,B,Passed,688,40,2.5,73.75,2
20180191,F,264,NA,IP (Y),SCHOOL Y,A,C,,,B,,,D,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,814,29,3,68.75,2
20180192,M,256,NA,IP (X),SCHOOL X,B,A,,,B,,,,,,,B,,,C,,A,,,,,,,,,,,,,,,,,,,,,,,,PA,,B,B,Passed,361,68,2,81.25,1
20180193,F,258,NA,IP (Y),SCHOOL Y,A,C,,,A,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,A,Passed,192,83,1.3,85,1
20180194,F,244,NA,DSA (CCA),ANGLICAN HIGH SCHOOL,A,B,,,S,,,,S,B,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1025,11,4.3,53.75,1
20180195,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,D,,,U,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,B,B,Failed,1151,0,6.3,17.5,1
20180196,M,244,NA,IP (X),SCHOOL X,B,D,,,MC,,,C,B,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,B,D,Passed,1016,12,2.5,55,1
20180197,M,257,NA,IP (X),SCHOOL X,B,B,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,144,87,1.3,86.25,1
20180198,M,253,NA,IP (X),SCHOOL X,A,B,,,C,,,,D,D,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,972,15,4.1,58.75,1
20180199,M,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,C,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,144,87,1.2,86.25,1
20180200,M,257,NA,IP (X),SCHOOL X,B,B,,,A,,,C,B,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,B,A,Passed,470,59,2,78.75,1
20180201,F,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,C,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,267,76,1.4,83.75,1
20180202,F,252,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,B,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,UC,,,,A,E,Passed,192,83,1.4,85,1
20180203,M,249,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,B,,,A,,,B,,,,,,C,,,,,,A,,,,,,,,,,,,,,,,,,,,,,ME,A,A,Passed,267,76,1.7,83.75,1
20180204,F,262,NA,IP (Y),SCHOOL Y,A,B,,,C,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,361,68,1.9,81.25,1
20180205,F,255,NA,IP (Y),SCHOOL Y,A,D,,,B,,,C,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,594,48,2.1,76.25,1
20180206,F,257,NA,IP (Y),SCHOOL Y,A,C,,,B,,,,A,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,531,54,2.3,77.5,1
20180207,F,241,NA,DSA (CCA),NAN HUA HIGH SCHOOL,A,C,,,U,,,,U,,,,,,,D,,,,,,,,,,,,,,,,B,,,,,,,,,,,A,A,Passed,1122,2,4.9,38.75,2
20180208,F,251,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,A,B,,,B,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,267,76,1.7,83.75,1
20180209,F,246,NA,IP (Y),SCHOOL Y,A,D,,,C,,,E,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,944,18,3.7,61.25,1
20180210,F,259,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,192,83,1.4,85,1
20180211,F,245,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,E,,,B,,,,A,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,638,44,2.3,75,1
20180212,F,261,NA,IP (Y),SCHOOL Y,A,B,,,D,,,,,,,,,D,,,,E,,,,,,,,,,,,,A,,,,,,,,,,,,A,A,Passed,905,21,3.5,63.75,1
20180213,M,269,NA,IP (X),SCHOOL X,A,A,,,A,,,,,,,A,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,DI,,A,A,Passed,1,100,1,90,2
20180214,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,B,,,C,,,,B,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,728,37,2.8,72.5,1
20180215,M,0,NA,JAE Ordinary Admission,QUEENSTOWN SECONDARY SCHOOL,A,D,,,A,A,,C,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,PA,,,,,,A,A,Passed,361,68,1.7,81.25,1
20180216,M,249,NA,IP (X),SCHOOL X,B,C,,,B,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,531,54,2.2,77.5,1
20180217,F,258,NA,IP (Y),SCHOOL Y,A,,,A,B,,,,,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,A,A,Passed,309,73,1.7,82.5,1
20180218,M,251,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,B,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,65,94,1.2,87.5,1
20180219,M,268,NA,IP (X),SCHOOL X,A,B,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,A,A,Passed,25,97,1,88.75,1
20180220,M,256,NA,IP (X),SCHOOL X,A,B,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,A,B,Passed,65,94,1.2,87.5,2
20180221,M,230,NA,DSA (CCA),ST. GABRIEL'S SECONDARY SCHOOL,B,E,,,U,,,,E,U,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,B,A,Passed,1139,1,5.6,28.75,1
20180222,M,258,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,DI,,A,A,Passed,65,94,1.2,87.5,2
20180223,F,253,NA,IP (Y),SCHOOL Y,A,C,,,U,,,,,E,,,,,,,,,,B,,,,,,,,,,,C,,,,,,,,,,,ME,A,A,Passed,1038,10,4,52.5,1
20180224,F,263,NA,IP (Y),SCHOOL Y,A,A,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,DI,,A,A,Passed,25,97,1.2,88.75,1
20180225,M,239,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,A,C,,,E,,,,,,,,,E,,D,,,,,,,,,,,,,,,,,C,,,,,,,,,,A,C,Passed,987,14,4,57.5,2
20180226,F,247,NA,DSA,CRESCENT GIRLS' SCHOOL,A,B,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,A,A,Passed,65,94,1.2,87.5,1
20180227,M,254,NA,IP (X),SCHOOL X,A,B,,,B,,,,B,,,,,E,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,594,48,2.6,76.25,1
20180228,M,261,NA,IP (X),SCHOOL X,A,E,,,B,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,638,44,2.1,75,1
20180229,F,263,NA,IP (Y),SCHOOL Y,A,B,,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,267,76,1.7,83.75,1
20180230,M,259,NA,IP (X),SCHOOL X,A,D,,,,,,,,,C,,,C,,B,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,D,Passed,688,40,2.3,73.75,1
20180231,M,255,NA,IP (X),SCHOOL X,A,B,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,25,97,1,88.75,1
20180232,M,248,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,A,C,,,E,,,U,E,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1038,10,4.6,52.5,1
20180233,F,257,NA,IP (Y),SCHOOL Y,A,C,,,C,,,E,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,887,23,3.4,65,2
20180234,M,239,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,A,E,,,E,,,,,,,,,,,,,,,,,B,C,,,,,,,,A,,,,,,,,,,,,A,A,Passed,836,27,2.8,67.5,1
20180235,M,247,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,B,,,A,,,,A,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,361,68,1.9,81.25,1
20180236,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,D,,,B,,,E,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,764,33,2.8,71.25,1
20180237,F,259,NA,IP (Y),SCHOOL Y,A,C,,,C,,,,E,D,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,836,27,3.2,67.5,1
20180238,M,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,C,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,267,76,1.4,83.75,1
20180239,F,265,NA,IP (Y),SCHOOL Y,A,B,,,C,,,,D,B,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,A,Passed,531,54,2.3,77.5,1
20180240,F,242,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),A,,,A,,,,,,,,B,,,D,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,531,54,2.1,77.5,1
20180241,F,249,NA,IP (Y),SCHOOL Y,A,D,,,B,,,U,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1025,11,4.3,53.75,2
20180242,M,252,NA,IP (X),SCHOOL X,A,C,,,C,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,531,54,2.1,77.5,1
20180243,F,243,NA,IP (Y),SCHOOL Y,A,B,,,D,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,A,A,Passed,1069,7,4.5,48.75,1
20180244,M,256,NA,IP (X),SCHOOL X,A,C,,,D,,,C,D,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,866,25,3.2,66.25,1
20180245,F,247,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,A,D,,,A,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,470,59,1.9,78.75,1
20180246,M,264,NA,IP (X),SCHOOL X,A,C,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,144,87,1.2,86.25,1
20180247,F,239,NA,IP (Y),SCHOOL Y,A,D,,,U,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,A,D,Passed,1069,7,4.3,48.75,1
20180248,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,A,B,,,C,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,B,Passed,531,54,2.1,77.5,1
20180249,F,251,NA,IP (Y),SCHOOL Y,B,C,,,C,,D,U,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,B,C,Passed,1069,7,4.4,48.75,1
20180250,F,239,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,A,E,,,B,,,E,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,836,27,3,67.5,1
20180251,F,262,NA,IP (Y),SCHOOL Y,A,B,,,B,,,,A,A,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,192,83,1.4,85,1
20180252,M,259,NA,IP (X),SCHOOL X,A,C,,,B,,,D,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,688,40,2.6,73.75,2
20180253,M,239,NA,IP (X),SCHOOL X,B,C,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,192,83,1.3,85,2
20180254,M,249,NA,IP (X),SCHOOL X,A,B,,,C,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,594,48,2.3,76.25,1
20180255,M,257,NA,IP (X),SCHOOL X,A,C,,,E,,,E,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1016,12,4.3,55,1
20180256,F,262,NA,IP (Y),SCHOOL Y,A,C,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,65,94,1,87.5,1
20180257,F,247,NA,IP (Y),SCHOOL Y,A,C,,,B,,,,A,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,420,63,1.9,80,1
20180258,F,260,NA,IP (Y),SCHOOL Y,A,,A,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,A,A,Passed,1,100,1,90,1
20180259,F,251,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,C,,,D,,,E,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,887,23,3.4,65,1
20180260,F,246,NA,IP (Y),SCHOOL Y,A,C,,,C,,,,B,,,,,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,638,44,2.3,75,1
