SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
310,20190310,F,0,NA,IP (Y),SCHOOL Y,,0.22,,0.41,,,,0.25,0.28,,,,0.57,,,,,,,,,,,,,,,,,,,,,,1
311,20190311,M,257,NA,IP (X),SCHOOL X,,0.9,,0.96,,,0.94,0.99,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,2
312,20190312,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.15,,0.13,,,,0.15,,0.45,,,0.5,,,,,,,,,,,,,,,,,,,,,,2
313,20190313,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.31,,0.05,,,,0.09,0.2,,,,0.4,,,,,,,,,,,,,,,,,,,,,,1
314,20190314,M,254,NA,IP (X),SCHOOL X,,0.54,,0.86,,,0.84,,,0.86,,,0.82,,,,,,,,,,,,,,,,,,,,,,1
315,20190315,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.49,,0.35,,,,0.18,0.19,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
316,20190316,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.41,,0.63,,,0.5,0.28,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
317,20190317,M,255,NA,IP (X),SCHOOL X,,0.75,,0.72,,,0.88,0.73,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,2
318,20190318,M,262,NA,IP (X),SCHOOL X,,0.78,,0.79,,,0.87,0.8,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,1
319,20190319,M,262,NA,IP (X),SCHOOL X,,0.83,,0.58,,,0.7,0.71,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,2
320,20190320,M,0,NA,JAE Ordinary Admission,FAIRFIELD METHODIST SCHOOL (SECONDARY),,0.7,,0.94,,,,0.99,,,,,0.99,,,,0.94,,,,,,,,,,,,,,,,,,1
321,20190321,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,,0.71,,0.36,,,0.78,0.65,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,1
322,20190322,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.83,,0.78,,,0.74,0.55,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
323,20190323,M,254,NA,IP (X),SCHOOL X,,0.92,,0.55,,,0.47,0.19,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
324,20190324,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.51,,0.62,,0.19,0.57,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,2
325,20190325,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.56,,0.49,,,0.52,0.28,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,1
326,20190326,F,244,NA,Appeals (Academic),CRESCENT GIRLS' SCHOOL,,0.11,,0.19,,,,0.26,0.07,,,,0.11,,,,,,,,,,,,,,,,,,,,,,1
327,20190327,F,262,NA,IP (Y),SCHOOL Y,,0.5,,0.09,,,,0.31,0.47,,,,,,,,,,,,,,,,,,,,,,0.82,,,,1
328,20190328,F,256,NA,IP (Y),SCHOOL Y,,0.74,,0.82,,,0.73,0.93,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
329,20190329,M,256,NA,IP (X),SCHOOL X,,0.91,,0.57,,,0.45,0.59,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,1
330,20190330,M,255,NA,IP (X),SCHOOL X,,0.61,,0.33,,,,0.42,,0.62,,,0.56,,,,,,,,,,,,,,,,,,,,,,1
331,20190331,F,264,NA,IP (Y),SCHOOL Y,,0.91,,,,,,,,0.87,,,0.07,,,,,,0.25,,,,,,,,0.05,,,,,,,,1
332,20190332,M,0,NA,IP (X),SCHOOL X,0.07,,,0.82,,0.56,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
333,20190333,F,261,NA,IP (Y),SCHOOL Y,,0.59,,0.09,,,,,,,,,0.78,,0.73,,,,,,,0.79,,,,,,,,,,,,,1
334,20190334,M,256,NA,IP (X),SCHOOL X,,0.23,,0.55,,,0.7,0.75,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,2
335,20190335,M,0,NA,IP (X),SCHOOL X,0.1,,,0.99,,,0.88,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,2
336,20190336,M,261,NA,IP (X),SCHOOL X,,0.59,,,,,,,,0.18,,,0.51,,,,0.21,,,,,,,,,,0.44,,,,,,,,1
337,20190337,M,0,NA,JAE Ordinary Admission,YUYING SECONDARY SCHOOL,,0.62,,0.87,,,0.8,0.75,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
338,20190338,F,269,NA,IP (Y),SCHOOL Y,,0.38,,0.38,,0.15,0.17,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,2
339,20190339,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.05,,0.12,,,,0.07,0.06,,,,0.09,,,,,,,,,,,,,,,,,,,,,,2
340,20190340,M,257,NA,IP (X),SCHOOL X,,0.24,,0.66,,,,0.54,0.4,,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
341,20190341,M,259,NA,IP (X),SCHOOL X,,0.69,,0.94,,0.84,,0.93,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,1
342,20190342,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.22,,0.29,,,0.24,0.16,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
343,20190343,M,0,NA,DSA,ST. JOSEPH'S INSTITUTION,,0.14,,0.95,0.86,,0.77,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,2
344,20190344,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.39,,0.4,,,0.39,0.25,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,1
345,20190345,M,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,,0.08,,0.61,,,,0.69,0.52,,,,0.19,,,,,,,,,,,,,,,,,,,,,,1
346,20190346,M,255,NA,IP (X),SCHOOL X,,0.81,,0.91,,,0.83,0.96,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,1
347,20190347,F,231,NA,IP (Y),SCHOOL Y,,0.5,,0.13,,,,,,,,,0.45,,0.79,,,,,,,,,,,,,,0.1,,,,,,1
348,20190348,F,244,NA,IP (Y),SCHOOL Y,,0.81,,0.32,,,,0.15,0.5,,,,0.46,,,,,,,,,,,,,,,,,,,,,,1
349,20190349,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.15,,0.24,,,0.12,0.38,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,0
350,20190350,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.42,,0.45,,,,0.76,0.55,,,,,,,,,,,,0.26,,,,,,,,,,,,,,1
351,20190351,M,241,NA,IP (X),SCHOOL X,,0.33,,0.6,,,0.37,0.37,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
352,20190352,M,232,NA,IP (X),SCHOOL X,,0.61,,0.4,,,0.22,0.2,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,1
353,20190353,M,251,NA,IP (X),SCHOOL X,,0.15,,0.7,,,0.22,0.4,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,1
354,20190354,F,0,NA,IP (Y),SCHOOL Y,,0.63,,,,,,,,,,0.33,0.3,,,,,,0.5,,,,,,,,0.83,,,,,,,,1
355,20190355,F,272,NA,IP (Y),SCHOOL Y,,0.96,,0.9,,,0.77,0.87,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,1
356,20190356,M,261,NA,IP (X),SCHOOL X,,0.86,,0.13,,,,0.5,0.53,,,,,,,,,,,,,,,,,,,,,,0.87,,,,1
357,20190357,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,,0.1,,0.09,,,,0.01,0.42,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1
358,20190358,M,256,NA,IP (X),SCHOOL X,,0.24,,0.54,,,0.22,0.41,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,1
359,20190359,F,260,NA,IP (Y),SCHOOL Y,,0.63,,0.49,,,0.43,0.29,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
360,20190360,F,256,NA,IP (Y),SCHOOL Y,,0.4,,0.07,,,,0.49,0.07,,,,,,,,,,,,,,,,,,,,,,0.22,,,,1
361,20190361,M,254,NA,IP (X),SCHOOL X,,0.94,,0.95,,,,0.95,0.92,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
362,20190362,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.29,,0.87,,,0.71,0.7,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,2
363,20190363,M,257,NA,IP (X),SCHOOL X,,0.21,,0.32,,,,0.26,0.34,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
364,20190364,M,257,NA,IP (X),SCHOOL X,,,0.53,,,,,,,,0.76,,,0.34,,0.71,,,,,,,,,,,,,,,,,,,1
365,20190365,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.52,,0.84,,,0.55,0.36,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,2
366,20190366,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,0.25,,0.36,,,0.45,0.62,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,1
367,20190367,F,253,NA,IP (Y),SCHOOL Y,,0.96,,0.81,,,,0.9,0.67,,,,0.78,,,,,,,,,,,,,,,,,,,,,,1
368,20190368,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.29,,0.24,,,0.16,0.18,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,1
369,20190369,M,253,NA,IP (X),SCHOOL X,,0.12,,0.29,,,0.39,0.19,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,1
370,20190370,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,,0.74,,0.08,,,0.49,0.09,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
371,20190371,M,257,NA,IP (X),SCHOOL X,,0.83,,,,,,,,0.64,,,0.04,,0.19,,,,,,,,,,,,0.33,,,,,,,,0
372,20190372,F,265,NA,IP (Y),SCHOOL Y,,0.06,,0.45,,,,0.17,0.13,,,,0.05,,,,,,,,,,,,,,,,,,,,,,1
373,20190373,F,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.23,,0.06,,,,0.05,0.09,,,,0.26,,,,,,,,,,,,,,,,,,,,,,1
374,20190374,F,254,NA,IP (Y),SCHOOL Y,,0.78,,0.88,,,0.9,0.9,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,2
375,20190375,F,0,NA,JAE Ordinary Admission,WOODLANDS SECONDARY SCHOOL,,0.07,,0.26,,,,0.15,,,,,0.67,,,,,,,,,0.88,,,,,,,,,,,,,1
376,20190376,M,0,NA,JAE Ordinary Admission,BEATTY SECONDARY SCHOOL,,0.01,,0.15,,,0.2,0.19,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,1
377,20190377,M,262,NA,IP (X),SCHOOL X,,0.75,,0.61,,,0.43,0.5,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,1
378,20190378,F,266,NA,IP (Y),SCHOOL Y,,0.82,,0.69,,,,,,,0.4,,,0.81,,0.39,,,,,,,,,,,,,,,,,,,2
379,20190379,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.77,,0.22,,,0.52,0.42,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,1
380,20190380,F,0,NA,JAE Ordinary Admission,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,,0.23,,0.33,,,,0.23,0.5,,,,0.32,,,,,,,,,,,,,,,,,,,,,,0
381,20190381,F,259,NA,IP (Y),SCHOOL Y,,0.78,,0.86,,,0.76,0.85,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,2
382,20190382,F,258,NA,IP (Y),SCHOOL Y,,0.13,,0.5,,,,,,,0.64,,,0.68,,0.53,,,,,,,,,,,,,,,,,,,1
383,20190383,M,260,NA,IP (X),SCHOOL X,,0.99,,0.99,,,1,0.99,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,1
384,20190384,F,265,NA,IP (Y),SCHOOL Y,,0.25,,0.8,,,,0.89,0.8,,,,0.79,,,,,,,,,,,,,,,,,,,,,,1
385,20190385,F,249,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.73,,0.22,,,,0.15,0.04,,,,0.36,,,,,,,,,,,,,,,,,,,,,,2
386,20190386,F,268,NA,IP (Y),SCHOOL Y,,0.51,,0.45,,,0.23,0.32,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,1
387,20190387,M,0,NA,JAE Ordinary Admission,ANGLO-CHINESE SCHOOL (INDEPENDENT),,0.72,,0.24,,,0.41,0.41,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,1
388,20190388,M,240,NA,IP (X),SCHOOL X,,0.15,,0.86,,,,0.92,0.92,,,,0.8,,,,,,,,,,,,,,,,,,,,,,2
389,20190389,M,256,NA,IP (X),SCHOOL X,,0.84,,0.03,,,0.09,0.37,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
390,20190390,M,264,NA,IP (X),SCHOOL X,,0.92,,0.5,,,,,,0.25,,,0.93,,,,,,,,,0.25,,,,,,,,,,,,,1
391,20190391,M,245,NA,DSA,CATHOLIC HIGH SCHOOL,,0.78,,0.52,,,,,,,0.48,,,0.55,,0.78,,,,,,,,,,,,,,,,,,,1
392,20190392,M,259,NA,IP (X),SCHOOL X,,0.77,,0.89,,,0.91,0.97,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,2
393,20190393,M,241,NA,IP (X),SCHOOL X,,0.23,,0.67,,,0.3,0.29,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,1
394,20190394,M,253,NA,IP (X),SCHOOL X,,0.38,,0.82,,,0.8,0.58,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,1
395,20190395,M,258,NA,IP (X),SCHOOL X,,0.99,,0.86,,,0.96,0.95,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
396,20190396,F,258,NA,IP (Y),SCHOOL Y,,0.8,,0.48,,,,0.66,0.23,,,,,,,,,,,,,0.64,,,,,,,,,,,,,1
397,20190397,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.08,,0.45,,,,0.36,0.17,,,,0.34,,,,,,,,,,,,,,,,,,,,,,1
398,20190398,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.71,,0.71,,,,0.44,,,,,0.89,,0.84,,,,,,,,,,,,,,,,,,,,2
399,20190399,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.24,,0.15,,,,0.03,0.13,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
400,20190400,F,244,NA,IP (Y),SCHOOL Y,,0.47,,0.74,,,,0.67,0.7,,,,0.61,,,,,,,,,,,,,,,,,,,,,,2
401,20190401,M,256,NA,IP (X),SCHOOL X,,0.92,,0.31,,,0.19,0.07,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,1
402,20190402,M,251,NA,IP (X),SCHOOL X,,0.26,,0.55,,,0.32,0.53,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
403,20190403,M,260,NA,IP (X),SCHOOL X,,0.65,,0.52,,,0.09,0.23,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
404,20190404,F,267,NA,IP (Y),SCHOOL Y,,0.91,,0.34,,,,0.53,0.63,,,,,,,,,,,,,0.44,,,,,,,,,,,,,1
405,20190405,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.61,,0.64,,,,0.73,0.6,,,,0.53,,,,,,,,,,,,,,,,,,,,,,2
406,20190406,M,257,NA,IP (X),SCHOOL X,,0.14,,0.1,,,0,,,,,,0.02,,,,,,,,,,,,,,,,0.2,,,,,,1
407,20190407,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.51,,0.22,,,0.13,0.26,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,1
408,20190408,F,228,NA,Appeals (Academic),CHIJ KATONG CONVENT,,0.33,,0.5,,,0.47,0.53,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,1
409,20190409,F,265,NA,IP (Y),SCHOOL Y,,0.56,,0.19,,,,0.48,0.31,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
410,20190410,F,247,NA,IP (Y),SCHOOL Y,,0.84,,MC,,,,0.52,0.41,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
411,20190411,F,238,NA,IP (Y),SCHOOL Y,,0.43,,0.13,,,,0.33,0.04,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
412,20190412,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,0.72,,0.08,,,0.21,0.22,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,1
413,20190413,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),,0.16,,0.42,,,0.27,MC,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,1
414,20190414,F,259,NA,IP (Y),SCHOOL Y,,0.72,,0.43,,,0.16,0.41,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
415,20190415,M,259,NA,IP (X),SCHOOL X,,0.9,,0.08,,,0.11,,,,,,0.58,,,,0.24,,,,,,,,,,,,,,,,,,1
416,20190416,F,261,NA,IP (Y),SCHOOL Y,,0.74,,0.38,,,,,,,,,0.74,,,,,,,,0.59,,0.72,,,,,,,,,,,,1
417,20190417,M,257,NA,IP (X),SCHOOL X,,0.94,,0.73,,,0.44,0.33,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
418,20190418,M,250,NA,IP (X),SCHOOL X,,0.25,,0.44,,,,0.13,0.31,,,,0.36,,,,,,,,,,,,,,,,,,,,,,1
419,20190419,M,257,NA,IP (X),SCHOOL X,,0.85,,0.81,,,0.96,0.87,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,1
420,20190420,F,250,NA,IP (Y),SCHOOL Y,,MC,,0.23,,,,0.08,,MC,,,,,,,,,,,,,,,,,,,,,0.88,,,,1
421,20190421,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.01,,0.47,,,,0.46,0.23,,,,0.18,,,,,,,,,,,,,,,,,,,,,,1
422,20190422,F,248,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,0.97,,0.8,,,,0.71,0.86,,,,,,,,0.97,,,,,,,,,,,,,,,,,,1
423,20190423,F,216,NA,IP (Y),SCHOOL Y,,0.02,,0.12,,,0.05,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.3,,1
424,20190424,M,262,NA,IP (X),SCHOOL X,,0.42,,0.33,,,0.48,0.68,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,2
425,20190425,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.82,,0.29,,,0.36,0.51,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,2
426,20190426,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.89,,0.92,,,0.85,0.88,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
427,20190427,F,272,NA,IP (Y),SCHOOL Y,,0.33,,0.51,,,0.58,0.73,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,1
428,20190428,F,247,NA,IP (Y),SCHOOL Y,,0.56,,0.1,,,,0.06,,0.11,,,0.25,,,,,,,,,,,,,,,,,,,,,,0
429,20190429,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.68,,0.57,,,0.57,0.44,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
430,20190430,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.44,,0.53,,,,0.75,0.11,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
431,20190431,F,0,NA,IP (Y),SCHOOL Y,0.46,,,0.99,,0.96,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
432,20190432,M,0,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,,0.45,,0.27,,,0.27,0.08,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,1
433,20190433,F,256,NA,IP (Y),SCHOOL Y,,0.6,,0.35,,,,0.65,0.6,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
434,20190434,F,254,NA,IP (Y),SCHOOL Y,,0.48,,0.06,,,0.18,0.11,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1
435,20190435,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,,0.18,,0.46,,,0.2,0.12,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
436,20190436,F,262,NA,IP (Y),SCHOOL Y,,0.63,,0.88,,,,0.96,0.89,,,,0.84,,,,,,,,,,,,,,,,,,,,,,1
437,20190437,F,262,NA,IP (Y),SCHOOL Y,,0.88,,0.41,,,0.06,0.15,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,1
438,20190438,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.93,,0.89,,,0.95,0.96,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,1
439,20190439,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.39,,0.72,,,,0.59,0.98,,,,0.81,,,,,,,,,,,,,,,,,,,,,,1
440,20190440,F,258,NA,IP (Y),SCHOOL Y,,0.49,,0.04,,,,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,0.71,,,,1
441,20190441,M,251,NA,IP (X),SCHOOL X,,0.18,,0.14,,,,0.11,,,,,0.17,,,,0.37,,,,,,,,,,,,,,,,,,1
442,20190442,F,249,NA,IP (Y),SCHOOL Y,,0.85,,0.19,,,,0.64,0.12,,,,,,0.88,,,,,,,,,,,,,,,,,,,,1
443,20190443,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.49,,0.12,,,,0.56,0.27,,,,,,0.68,,,,,,,,,,,,,,,,,,,,1
444,20190444,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.12,,0.49,,,,0.26,0.21,,,,0.13,,,,,,,,,,,,,,,,,,,,,,1
445,20190445,F,260,NA,IP (Y),SCHOOL Y,,0.47,,0.08,,,,0.26,0.1,,,,0.14,,,,,,,,,,,,,,,,,,,,,,1
446,20190446,F,259,NA,IP (Y),SCHOOL Y,,0.76,,0.67,,,,0.74,0.76,,,,,,,,,,1,,,,,,,,,,,,,,,,1
447,20190447,M,0,NA,IP (X),SCHOOL X,,0.43,,0.44,,,0.19,0.11,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
448,20190448,M,250,NA,IP (X),SCHOOL X,,0.38,,0.66,,,0.61,0.57,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
449,20190449,F,226,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,0.23,,0.02,,,0.16,0.16,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,1
450,20190450,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.36,,0.39,,,0.4,0.64,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
451,20190451,M,255,NA,IP (X),SCHOOL X,,0.76,,0.79,,,0.52,0.56,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,2
452,20190452,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.56,,0.59,,,,0.09,,,,,0.57,,0.62,,,,,,,,,,,,,,,,,,,,1
453,20190453,F,242,NA,IP (Y),SCHOOL Y,,0.49,,0.18,,,0.08,0.47,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
454,20190454,M,257,NA,IP (X),SCHOOL X,,0.15,,0.49,,,0.81,0.56,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,1
455,20190455,M,267,NA,IP (X),SCHOOL X,,0.93,,0.75,,,0.88,0.77,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,1
456,20190456,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.08,,0.65,,,,0.56,,,,,0.84,,,,,,,,0.66,,,,,,,,,,,,,,1
457,20190457,M,0,NA,JAE Ordinary Admission,NGEE ANN SECONDARY SCHOOL,,0.54,,0.23,,0.66,,0.61,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,1
458,20190458,M,254,NA,IP (X),SCHOOL X,,0.77,,0.48,,,0.2,0.27,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
459,20190459,M,254,NA,IP (X),SCHOOL X,,0.41,,0.13,,,,0.17,0.07,,,,0.21,,,,,,,,,,,,,,,,,,,,,,2
460,20190460,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.56,,0.11,,,,,,0.74,,,0.27,,0.5,,,,,,,,,,,,,,,,,,,,1
461,20190461,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,0.11,,0.79,,,0.73,0.6,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1
462,20190462,M,254,NA,IP (X),SCHOOL X,,0.8,,0.96,,,0.61,0.93,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,1
463,20190463,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.49,,0.56,,,,0.45,0.39,,,,0.27,,,,,,,,,,,,,,,,,,,,,,1
464,20190464,F,260,NA,IP (Y),SCHOOL Y,,0.87,,0.78,,,0.81,,,,,0.5,0.55,,,,,,,,,,,,,,,,,,,,,,1
465,20190465,F,220,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,,0.08,,0.22,,,,0,0.08,,,,,,,,,,,,,,,,,,,,,,0.79,,,,1
466,20190466,M,257,NA,IP (X),SCHOOL X,,0.51,,0.63,,,,,,,0.08,,,0.1,,,,0.33,,,,,,,,,,,,,,,,,1
467,20190467,M,243,NA,DSA (CCA),RAFFLES INSTITUTION,,0.04,,0.07,,,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,1
468,20190468,M,253,NA,IP (X),SCHOOL X,0.35,,,0.5,,,0.05,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,2
469,20190469,M,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.42,,0.96,,,0.87,0.94,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,2
470,20190470,F,248,NA,IP (Y),SCHOOL Y,,0.01,,0.25,,,0.4,0.48,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,2
471,20190471,F,254,NA,IP (Y),SCHOOL Y,,0.5,,0.07,,,,0.13,0.17,,,,0.12,,,,,,,,,,,,,,,,,,,,,,1
