SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
100,20190100,F,265,NA,IP (Y),SCHOOL Y,,0.54,,,,,,,,,,,0.23,,,,,,,,0.88,,0.9,,,,0.38,,,,,,,,1
101,20190101,F,0,NA,JAE Ordinary Admission,BOON LAY SECONDARY SCHOOL,,0.38,,0.51,,,0.28,,,,,,0.12,,,,0.54,,,,,,,,,,,,,,,,,,1
102,20190102,F,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.22,,0.42,,,,0.72,0.39,,,,0.81,,,,,,,,,,,,,,,,,,,,,,1
103,20190103,M,256,NA,IP (X),SCHOOL X,,0.27,,0.83,,,0.47,0.74,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
104,20190104,F,254,NA,IP (Y),SCHOOL Y,,0.54,,0.02,,,,,,,,,0.35,,0.68,,,,,,,,,,,,,,,1,,,,,1
105,20190105,M,256,NA,IP (X),SCHOOL X,,0.49,,0.45,,,,0.43,0.71,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
106,20190106,M,263,NA,IP (X),SCHOOL X,,0.87,,0.75,,,0.79,0.85,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,1
107,20190107,M,255,Repeat Yr1,IP (X),SCHOOL X,,0.2,,0.24,,0.08,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,1
108,20190108,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.39,,0.83,,,,0.67,0.72,,,,0.81,,,,,,,,,,,,,,,,,,,,,,1
109,20190109,M,258,NA,IP (X),SCHOOL X,,0.07,,0.52,,,0.51,0.79,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,1
