SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
46,20180046,F,246,NA,IP (Y),SCHOOL Y,,54,,36.5,,,,,,,,,,,52,,,,52.5,,,,,,,,,,,,50.5,,,,1
47,20180047,M,266,NA,IP (X),SCHOOL X,,61.8,,72.9,,,74.5,76.5,,,,,,,,,,,,,,,,,,,,,,,72.5,,,,1
48,20180048,M,258,NA,IP (X),SCHOOL X,,59.4,,,,,,,,61.3,,49.5,,,52.3,,,,,,,,,,,,,72.2,,,,,,,1
49,20180049,M,262,NA,IP (X),SCHOOL X,,54.2,,72.5,,,75.5,77.7,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,1
50,20180050,M,249,NA,IP (X),SCHOOL X,,43.8,,54.3,,,48.4,43.9,,,,,,,,,,,,,,,,,,,,,,,45.6,,,,1
51,20180051,F,263,NA,IP (Y),SCHOOL Y,,59.3,,53,,,,60.3,54.8,,,,,,,,,,,,,68.2,,,,,,,,,,,,,2
52,20180052,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,52,,43.1,,,,63.3,64.9,,,,53,,,,,,,,,,,,,,,,,,,,,,1
53,20180053,M,257,NA,IP (X),SCHOOL X,,47.5,,60,,,65.3,62,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,2
54,20180054,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,,46.8,,41,,48.2,45.1,,,,,,46.6,,,,,,,,,,,,,,,,,,,,,,0
55,20180055,M,236,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,,47.9,,79.1,,,75.7,74.8,,,,,57.3,,,,,,,,,,,,,,,,,,,,,,1
56,20180056,M,258,NA,IP (X),SCHOOL X,,49.7,,48.3,,,55.2,49.9,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20180057,M,0,NA,IP (X),SCHOOL X,,50.7,,51.3,,,,,,,,,59.6,,54.1,,,,,,,75.2,,,,,,,,,,,,,2
