NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,PE,COM,PA,CH,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,FN,AL,MSP,HH,HG,HL,IH,HZ,HP,IHC,IHE,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,CLO,SP
20180059,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.83,6,B3,B3,,,,A2,B4,B4,A2,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180060,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,HINDUISM,SINGAPORE PR (OTHER ASIAN),,0,8,B3,A1,A1,,,A1,A1,A2,B3,A2,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180061,M,IP (X),Arts,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.38,6,A2,A1,,,,A1,A1,A2,A1,,,,,,,,,,,,A1,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180062,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.6,6,A1,A2,,,,A1,A1,B3,A1,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,B3,,,,,,,,,
20180063,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.63,6,B4,A2,,,,A1,A2,B4,A2,,,,,,,,,,,,A2,,,,,,,,,,,,B4,,,,,,,,,,,,,
20180064,M,DSA (CCA),Science,MARIS STELLA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,7,A2,C6,A2,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180065,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.6,6,A2,B3,,,,A1,A2,A1,A2,,,,,,,,,A1,,,,,,,,,,,,,,A1,F9,,,,,,,,,,,,,
20180066,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.38,6,A2,A2,,,,A1,B3,B3,B3,,,,,,,,,,,A2,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180067,M,DSA (CCA),Science,ST. JOSEPH'S INSTITUTION,NO RELIGION,SINGAPORE CITIZEN,,,10,B3,F9,A2,,,A2,A1,A2,A1,C6,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180068,M,IP (X),Science,SCHOOL X,NO RELIGION,CHINESE,,3.11,6,B4,A1,,,,A2,C5,C5,B4,,,,,,,,,,A1,,B3,,,,,,,,,,,,B3,,,,,,A1,,,,,,,
20180069,M,IP (X),Science,SCHOOL X,NO RELIGION,CHINESE,,1.45,6,B3,A2,,,,A1,A1,A2,A1,A1,,,,,,,,,A1,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180070,F,JAE Ordinary Admission,Science,ANGLICAN HIGH SCHOOL,BUDDHIST,SINGAPORE PR (CHINESE),,0,8,C6,A2,A1,,,A1,A1,A2,A2,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180071,F,JAE Ordinary Admission,Science,SINGAPORE CHINESE GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,6,A1,A2,A1,,,A1,A1,A1,A1,A1,,,,,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180072,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE PR (CHINESE),,1.83,6,B4,A1,,,,A1,A1,B3,A2,,,,,,,,,,A1,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180073,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE PR (CHINESE),,1.8,6,A1,B3,,,,A1,B3,B3,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180074,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2.61,6,A2,C5,,,,A1,A1,A2,A2,,,,,,,,,,,,B3,,,,,,,,,B4,,,,,,,,,,,,,,,,
20180075,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.44,6,A2,A1,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180076,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,8,B3,A2,A1,,,A1,A1,A2,A2,A1,,,,,,,,,,,,,,,A1,,,,A2,,,,,,,,,,,,,,,,,
20180077,F,JAE Ordinary Admission,Science,NAN CHIAU HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,7,B3,A2,A1,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180078,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3.56,6,B4,C6,,,,A2,B4,,B3,,,,,,,,,,,,B3,,,,,,,,,B3,,,,,,,,A2,B3,,,,B4,,,
