SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
287,20200287,F,0,NA,IP (Y),SCHOOL Y,1,,0.44,,0.17,,,,0.39,,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,1
288,20200288,F,252,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.44,,0.27,,,,0.3,0.58,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
289,20200289,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.81,,0.44,,,,0.3,0.14,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
290,20200290,M,0,NA,IP (X),SCHOOL X,1,,0.84,,0.81,,0.93,0.91,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
291,20200291,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.79,,,0.67,0.69,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,1
292,20200292,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.51,,,,0.42,0.58,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
293,20200293,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.39,,0.25,,,,0.82,0.72,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
294,20200294,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.09,,0.16,,0.23,0.22,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
295,20200295,F,0,NA,IP (Y),SCHOOL Y,1,,0.22,,0.23,,0.22,0.05,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
296,20200296,F,0,NA,IP (Y),SCHOOL Y,1,,0.34,,0.17,,,,0.17,0.16,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
297,20200297,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.91,,,0.69,0.88,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.55,,,,,1
298,20200298,M,0,NA,DSA,NAN CHIAU HIGH SCHOOL,1,,0.72,,0.98,,0.96,0.96,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,1
299,20200299,M,247,NA,DSA (CCA),NAN HUA HIGH SCHOOL,1,,0.18,,0.58,,,0.8,0.63,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300,20200300,M,0,NA,IP (X),SCHOOL X,1,,0.81,,0.04,,,,0.11,,,,,0.5,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,1
301,20200301,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,1,,0.14,,0.18,,,0.54,0.12,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
302,20200302,F,0,NA,IP (Y),SCHOOL Y,1,,0.87,,0.36,,,,0.67,0.43,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
303,20200303,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.69,,,,0.51,0.48,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,1
304,20200304,F,0,NA,IP (Y),SCHOOL Y,1,,0.22,,0.2,,,,0.18,0.2,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,1
305,20200305,F,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,1,,0.39,,0.67,,,0.67,0.79,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
306,20200306,F,0,NA,IP (Y),SCHOOL Y,1,,0.81,,0.92,,,,0.95,0.96,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
307,20200307,M,0,NA,IP (X),SCHOOL X,1,,0.28,,0.31,,,0.28,0.26,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
308,20200308,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.18,,0.49,,,0.41,0.19,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
309,20200309,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0,,,,,,0.18,,,0.51,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,1
310,20200310,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.72,,0.2,,,0.25,0.43,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,1
311,20200311,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.88,,,0.86,0.85,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
312,20200312,F,0,NA,IP (Y),SCHOOL Y,1,,0.34,,0.32,,,0.41,0.19,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1
313,20200313,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.15,,,,0.03,0.01,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
314,20200314,M,0,NA,IP (X),SCHOOL X,1,,0.76,,0.85,,,0.78,0.93,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,1
315,20200315,M,0,NA,IP (X),SCHOOL X,1,,0.72,,0.15,,,,0.32,0.22,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
316,20200316,F,0,NA,IP (Y),SCHOOL Y,1,,0.99,,0.8,,,,,,,1,,,,,0.61,,,,,,0.45,,,,,,,,,,,,,,,,,,,1
317,20200317,F,0,NA,IP (Y),SCHOOL Y,1,,0.05,,0.85,,0.59,0.83,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
318,20200318,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.78,,,0.72,0.37,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,1
319,20200319,F,0,NA,IP (Y),SCHOOL Y,1,,0.39,,0.57,,,0.34,0.29,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,2
320,20200320,M,0,NA,IP (X),SCHOOL X,1,,0.84,,0.8,,,0.88,0.91,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,0.6,,,,,,1
321,20200321,M,0,NA,IP (X),SCHOOL X,1,,0.94,,0.92,,,,0.97,0.85,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,1
322,20200322,F,0,NA,IP (Y),SCHOOL Y,1,,0.22,,0.72,,,0.79,0.51,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,1
323,20200323,M,253,NA,DSA,CATHOLIC HIGH SCHOOL,1,,0.97,,0.27,,,,,,,0.18,,,0.36,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,2
324,20200324,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.34,,,,0.44,0.54,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
325,20200325,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.05,,,,0.22,0.3,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
326,20200326,F,0,NA,IP (Y),SCHOOL Y,1,,0.34,,0.5,,,,0.56,0.78,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
327,20200327,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.02,,,,,,0.79,,,0.2,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,1
328,20200328,F,0,NA,IP (Y),SCHOOL Y,1,,0.22,,0.86,,,0.67,0.88,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,0.13,,,,,1
329,20200329,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.11,,,,,,,,,,,0.04,,,,0.4,,,,0.36,,,,,,,0.88,,,,,,,,,,,,,1
330,20200330,F,0,NA,IP (Y),SCHOOL Y,1,,0.05,,0.71,,,,0.52,0.79,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,1
331,20200331,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.67,,0.67,,0.7,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
332,20200332,M,0,NA,IP (X),SCHOOL X,1,,0.96,,0.02,,,,0.3,0.1,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
333,20200333,M,0,NA,IP (X),SCHOOL X,1,,0.72,,0.96,,,,0.94,0.83,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,2
334,20200334,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.44,,,0.53,0.44,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
335,20200335,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.63,,,0.8,0.78,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
336,20200336,F,0,NA,IP (Y),SCHOOL Y,1,,0.89,,0.76,,,0.75,0.89,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
337,20200337,F,242,NA,DSA,SWISS COTTAGE SECONDARY SCHOOL,1,,0.96,,0.42,,,,,,,0.75,,,0.07,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,2
338,20200338,F,0,NA,IP (Y),SCHOOL Y,1,,0.98,,0.98,,,,0.92,0.95,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,2
339,20200339,M,0,NA,IP (X),SCHOOL X,1,,0.22,,0.05,,,,,,,,,0.33,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,1
340,20200340,F,0,NA,IP (Y),SCHOOL Y,1,,0.87,,0.8,,,0.47,0.27,,,,,,,,,,,,,,0.64,,,,,,,,,,,,0.03,,,,,,,1
341,20200341,F,0,NA,IP (Y),SCHOOL Y,1,,0.03,,0.17,,,0.13,0.05,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
342,20200342,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.08,,,0.04,0.03,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
343,20200343,F,0,NA,IP (Y),SCHOOL Y,1,,0.72,,0.74,,,,0.82,0.81,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
344,20200344,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.39,,0.81,,,,0.61,0.62,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
345,20200345,M,0,NA,IP (X),SCHOOL X,1,,0.11,,0.03,,,0.02,0.1,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
346,20200346,M,254,Repeat Yr2,IP (X),SCHOOL X,1,,MC,,EX,,,MC,EX,,,,,,,,,,,,,,,,,,,,,,,,EX,,,,,,,,,0
347,20200347,F,0,NA,IP (Y),SCHOOL Y,1,,0.72,,0.38,,,,0.21,0.16,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
348,20200348,M,0,NA,IP (X),SCHOOL X,1,,0.55,,0.11,,,,0.1,0.16,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
349,20200349,M,0,NA,IP (X),SCHOOL X,1,,0.89,,0.56,,,,0.53,0.45,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,1
350,20200350,M,0,NA,IP (X),SCHOOL X,1,,0.67,,0.15,,,,,,0.82,,,0.93,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,1
351,20200351,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.86,,,0.67,0.84,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,0.11,,,,,,1
352,20200352,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,1,,0.5,,0.7,,,0.7,0.6,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,1
353,20200353,M,0,NA,IP (X),SCHOOL X,1,,0.81,,0.9,,,0.83,0.96,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,0.83,,,,,1
354,20200354,M,0,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.44,,0.68,,,,0.68,0.67,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
355,20200355,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.07,,0.45,,,0.63,0.43,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,1
356,20200356,M,0,NA,IP (X),SCHOOL X,1,,0.94,,0.87,,,0.97,0.88,,,,,0.49,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,2
357,20200357,M,259,Repeat Yr1,IP (X),SCHOOL X,,,0.44,,0.04,,,,,,0.1,,,,,,,0.09,,,,,,,,,,,,,,,0.13,,,,,,,,,1
358,20200358,F,0,NA,IP (Y),SCHOOL Y,1,,0.28,,0.89,,,0.91,0.86,,,,,0.93,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,1
359,20200359,F,0,NA,IP (Y),SCHOOL Y,1,,0.89,,0.86,,,,0.89,0.81,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,1
360,20200360,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.25,,,0.17,0.17,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,1
361,20200361,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,1,,0.84,,0.88,,,,0.88,0.85,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,1
362,20200362,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.24,,,,0.28,0.25,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
363,20200363,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.51,,,,0.8,0.64,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
364,20200364,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.78,,,0.87,0.88,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,1
365,20200365,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.73,,,0.49,0.65,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
366,20200366,M,0,NA,IP (X),SCHOOL X,1,,0.07,,0.22,,,0.04,0.19,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
367,20200367,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.54,,,0.45,0.58,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
368,20200368,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.65,,,,0.42,,,,,0.83,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,1
369,20200369,F,0,NA,IP (Y),SCHOOL Y,1,,0.34,,,,,,,,0.54,,,0.07,,,,0.5,,,,,,,,,,,0.37,,,,,,,,,,,,,2
370,20200370,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,1,,0.5,,0.2,,,,0.4,0.57,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,1
371,20200371,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.55,,0.73,,,0.81,0.65,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
372,20200372,M,0,NA,IP (X),SCHOOL X,1,,0.97,,0.44,,,,0.55,0.22,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
373,20200373,M,0,NA,IP (X),SCHOOL X,1,,0.11,,0.03,,,,0.07,0.11,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
374,20200374,M,233,NA,DSA,CLEMENTI TOWN SECONDARY SCHOOL,1,,0.55,,0.49,,,,0.85,0.92,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,1
375,20200375,M,0,NA,IP (X),SCHOOL X,1,1,,,0.33,,,,,,,,,0.82,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
376,20200376,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.9,,,0.86,0.68,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
377,20200377,M,244,NA,DSA (CCA),SCHOOL X,1,,0.34,,,,,,,,0.24,,,0.08,,,,0.18,,,,,,,,,,,0.25,,,,,,,,,,,,,1
378,20200378,M,0,NA,IP (X),SCHOOL X,1,,1,,0.97,,,,0.98,0.99,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,1
379,20200379,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.97,,,,0.96,0.88,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
380,20200380,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.49,,,,0.41,0.61,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,1
381,20200381,F,0,NA,IP (Y),SCHOOL Y,1,,0.92,,0.72,,,,0.79,0.94,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
382,20200382,F,0,NA,IP (Y),SCHOOL Y,1,,0.99,,0.72,,,,,,,0.53,,,0.73,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,2
383,20200383,M,0,NA,IP (X),SCHOOL X,1,,0.55,,0.15,,,0.46,0.14,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
384,20200384,M,0,NA,IP (X),SCHOOL X,1,,0.96,,0.36,,,0.46,,,,,,,,0.67,,,,,,,,,,,,,,,,,0.96,,,,,,,,,1
385,20200385,M,0,NA,IP (X),SCHOOL X,1,0.38,,,0.75,,,0.65,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
386,20200386,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.46,,,,0.7,0.8,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
387,20200387,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.65,,,,0.86,0.78,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,1
388,20200388,M,0,NA,IP (X),SCHOOL X,1,,0.72,,0.96,,,0.98,0.96,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,1
389,20200389,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.49,,,0.63,0.47,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
390,20200390,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.44,,,0.42,0.25,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
391,20200391,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.81,,0.23,,,,0.2,0.36,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
392,20200392,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,1,,0.55,,0.14,,,,0.16,0.3,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,1
393,20200393,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.71,,,,0.8,0.84,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
394,20200394,M,244,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,1,,0.01,,0.02,,,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,1
395,20200395,F,0,NA,IP (Y),SCHOOL Y,1,,0.81,,0.36,,0.35,0.2,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
396,20200396,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,1,,0.14,,,,,,0.15,0.14,,,,0.07,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,1
397,20200397,F,0,NA,IP (Y),SCHOOL Y,1,,,0.5,,,,,,,,0.75,,,0.24,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,2
398,20200398,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.54,,,,0.27,0.09,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
399,20200399,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.57,,,0.77,0.7,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
400,20200400,M,0,NA,IP (X),SCHOOL X,1,,0.22,,0.82,,0.77,0.65,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
401,20200401,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.18,,0.08,,,0.1,0.02,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
402,20200402,M,0,NA,IP (X),SCHOOL X,1,,MC,,MC,,,EX,,,,,,EX,,,,,,,,,,,,,,,,,MC,,,,,,,,,,,0
403,20200403,M,0,NA,IP (X),SCHOOL X,1,,0.14,,0.54,,,0.26,0.29,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
404,20200404,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.64,,,0.52,0.86,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
405,20200405,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.92,,0.37,,,,0.62,0.8,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
406,20200406,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.86,,0.88,,0.55,,,,,0.21,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,1
407,20200407,M,0,NA,IP (X),SCHOOL X,1,,0.55,,0.73,,0.64,0.9,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1
408,20200408,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.84,,0.12,,,0.05,0.04,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
409,20200409,F,0,NA,IP (Y),SCHOOL Y,1,,0.34,,0.39,,,0.26,0.23,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
410,20200410,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.62,,,,,,,0.87,0.81,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,2
411,20200411,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.72,,0.19,,,,0.55,0.73,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
412,20200412,F,0,NA,IP (Y),SCHOOL Y,1,,0.11,,0.07,,,0.23,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,0
413,20200413,F,0,NA,IP (Y),SCHOOL Y,1,,0.14,,0.16,,,0.15,0.06,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
414,20200414,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.82,,,0.71,0.83,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
415,20200415,M,0,NA,IP (X),SCHOOL X,1,,0.84,,0.99,,,1,0.98,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,1
416,20200416,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.91,,0.68,,,,0.83,0.74,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
417,20200417,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.39,,,,,,,,0.06,,,0.11,,0.18,,,,,,,,,,,,,0.4,,,,,,,,,,,,,1
418,20200418,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.28,,0.05,,,,0.07,0.07,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
419,20200419,M,0,NA,IP (X),SCHOOL X,1,,0.81,,0.16,,,0.34,0.43,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
420,20200420,M,0,NA,IP (X),SCHOOL X,1,,0.81,,0.89,,,,0.69,0.55,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
421,20200421,M,0,NA,IP (X),SCHOOL X,1,,0.99,,0.8,,,,,,,0.91,,,,,0.96,,,,,,1,,,,,,,,,,,,,,,,,,,2
422,20200422,F,0,NA,IP (Y),SCHOOL Y,1,,,0.87,0.3,,,,,,,0.71,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,2
423,20200423,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,1,,0.11,,0.1,,,,0.24,0.07,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,1
424,20200424,F,0,NA,IP (Y),SCHOOL Y,1,,,0.12,0.54,,,,,,,0.46,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,1
425,20200425,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.07,,0.75,,,0.23,0.37,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
426,20200426,M,0,NA,IP (X),SCHOOL X,1,,0.97,,0.99,,,0.98,1,,,,,0.63,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,2
427,20200427,F,0,NA,IP (Y),SCHOOL Y,1,,0.28,,0,,,,0.01,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
428,20200428,M,246,Repeat Yr1,DSA (CCA),RAFFLES INSTITUTION,,,0.14,,0.31,,,0.21,0.26,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,1
429,20200429,F,0,NA,IP (Y),SCHOOL Y,1,,0.39,,0.46,,,,0.53,0.79,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
430,20200430,M,0,NA,IP (X),SCHOOL X,1,,0.81,,0.44,,,,,,,0.02,,,0.39,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,1
431,20200431,F,0,NA,IP (Y),SCHOOL Y,1,,0.34,,0.74,,,,0.36,0.31,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
432,20200432,M,0,NA,IP (X),SCHOOL X,1,,,0.62,0.88,,,,,,,0.79,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
433,20200433,F,0,NA,IP (Y),SCHOOL Y,1,,0.87,,0.94,,1,0.83,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,1
434,20200434,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.18,,0.25,,,,0.21,0.07,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
435,20200435,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.22,,0.6,,,,0.23,0.62,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
436,20200436,F,0,NA,IP (Y),SCHOOL Y,1,,0.84,,0.99,,,,0.99,0.99,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,1
437,20200437,F,0,NA,IP (Y),SCHOOL Y,1,0.38,,,0.43,,,,0.37,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
