NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190256,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,310,72,1.7,82.5,1
20190257,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,U,,,,S,C,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,1040,5,5,42.5,2
20190258,M,260,NA,IP (X),SCHOOL X,B,,B,,A,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,219,80,1.6,85,1
20190259,F,261,NA,IP (Y),SCHOOL Y,A,,B,,S,,,,,,C,,,D,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,865,21,3.7,63.75,1
20190260,M,0,NA,IP (X),SCHOOL X,A,,,A,,,,,,,,C,,,,,B,,,,,,,,,,B,,,,,,,,,,,,,,,A,A,Passed,416,62,1.9,80,2
20190261,M,250,NA,IP (X),SCHOOL X,B,,C,,E,,,S,U,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,B,C,Passed,1076,2,5.6,31.25,1
20190262,F,242,NA,IP (Y),SCHOOL Y,A,,C,,,,,,,,B,,,D,,B,,,,,,,,,,,,E,,,,,,,,,,,,,,A,A,Passed,737,33,2.8,70,1
20190263,F,261,NA,IP (Y),SCHOOL Y,A,,C,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,1
20190264,F,262,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,C,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,364,67,1.9,81.25,1
20190265,F,259,NA,IP (Y),SCHOOL Y,A,,B,,E,,C,E,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,929,15,4.1,58.75,1
20190266,F,265,NA,IP (Y),SCHOOL Y,A,,B,,A,C,,B,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.3,77.5,2
20190267,M,266,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,43,96,1.2,88.75,2
20190268,M,255,NA,IP (X),SCHOOL X,A,,D,,B,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.1,77.5,0
20190269,F,0,NA,JAE Ordinary Admission,PRESBYTERIAN HIGH SCHOOL,A,,E,,B,,,B,C,,,,,,,,,,,,,A,,,,,,,,,,,,,UC,,,,,,,A,A,Passed,527,52,1.9,77.5,1
20190270,M,241,NA,DSA,ANGLICAN HIGH SCHOOL,A,,,A,U,,,,,,,B,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,952,13,3.4,57.5,2
20190271,F,261,NA,IP (Y),SCHOOL Y,A,,C,,D,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,793,28,3.2,67.5,1
20190272,M,254,NA,IP (X),SCHOOL X,A,,C,,B,,,B,,,,,,B,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,1.9,78.75,1
20190273,F,268,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20190274,F,249,NA,IP (Y),SCHOOL Y,A,,C,,A,,,,C,B,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,B,Passed,310,72,1.7,82.5,1
20190275,F,267,NA,IP (Y),SCHOOL Y,B,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,179,83,1.3,86.25,2
20190276,F,261,NA,IP (Y),SCHOOL Y,A,,A,,B,,E,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,737,33,3.2,70,1
20190277,M,0,NA,JAE Ordinary Admission,SCHOOL X,A,,C,,D,,,C,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,822,25,3.2,66.25,1
20190278,M,254,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190279,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,D,,,,C,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,756,31,3,68.75,1
20190280,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,S,,,,C,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,894,19,3.9,61.25,1
20190281,M,260,NA,IP (X),SCHOOL X,A,,C,,E,,,C,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,884,20,3.7,62.5,1
20190282,M,256,NA,IP (X),SCHOOL X,A,,B,,A,A,,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190283,F,258,NA,IP (Y),SCHOOL Y,A,,B,,E,,S,D,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,929,15,4.1,58.75,1
20190284,F,264,NA,IP (Y),SCHOOL Y,A,,C,,C,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,A,B,Passed,737,33,2.8,70,1
20190285,M,256,NA,IP (X),SCHOOL X,A,,C,,C,,,,,,,,,D,,,,,,,,B,B,,,,,,,,,,,,,,,,,,,A,A,Passed,646,41,2.6,73.75,0
20190286,F,247,NA,IP (Y),SCHOOL Y,B,,B,,C,,,,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,610,44,2.4,75,1
20190287,F,257,NA,IP (Y),SCHOOL Y,A,,B,,S,,E,E,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,929,15,4.1,58.75,1
20190288,F,264,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,,,,C,,,D,,,,,,,,C,,,,,,,,,,,,,,,,,,,A,A,Passed,673,39,2.8,72.5,1
20190289,F,257,NA,IP (Y),SCHOOL Y,A,,A,,C,,,,,,,A,,,D,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,2.1,81.25,1
20190290,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,B,,C,,B,,,A,E,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,710,35,2.9,71.25,1
20190291,F,260,NA,IP (Y),SCHOOL Y,A,B,,,B,,,B,D,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,A,A,Passed,472,57,2.2,78.75,1
20190292,M,255,NA,IP (X),SCHOOL X,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,219,80,1.4,85,1
20190293,M,0,NA,IP (X),SCHOOL X,A,,D,,D,,,D,E,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,894,19,3.7,61.25,0
20190294,F,267,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,A,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,A,A,Passed,43,96,1,88.75,1
20190295,F,267,NA,IP (Y),SCHOOL Y,A,,C,,A,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,416,62,1.9,80,2
20190296,F,260,NA,IP (Y),SCHOOL Y,A,,B,,S,,B,C,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,756,31,3.2,68.75,1
20190297,M,265,NA,IP (X),SCHOOL X,A,,B,,A,,A,,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,100,91,1.2,87.5,1
20190298,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,E,,,,,,C,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,850,23,3.4,65,1
20190299,F,262,NA,IP (Y),SCHOOL Y,A,,A,,D,,,,,,,A,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,2.1,81.25,1
20190300,F,260,NA,IP (Y),SCHOOL Y,A,,D,,C,,,A,B,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.7,81.25,1
20190301,F,264,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190302,F,262,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,100,91,1.2,87.5,1
20190303,M,257,NA,IP (X),SCHOOL X,A,,C,,E,,,,S,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,993,10,4.6,52.5,1
20190304,M,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,A,,C,,B,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,A,A,Passed,472,57,2.1,78.75,1
20190305,M,264,NA,IP (X),SCHOOL X,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,219,80,1.4,85,1
20190306,M,256,NA,IP (X),SCHOOL X,A,,B,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,219,80,1.4,85,1
20190307,F,266,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,,,,,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,2
20190308,F,266,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,B,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,2
20190309,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,A,,B,,B,,,C,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,2.1,78.75,1
20190310,F,0,NA,IP (Y),SCHOOL Y,A,,C,,C,,,,B,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,673,39,2.6,72.5,1
20190311,M,257,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,2
20190312,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,E,,,,D,,C,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,756,31,3.2,68.75,2
20190313,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,C,,D,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,576,47,2.3,76.25,1
20190314,M,254,NA,IP (X),SCHOOL X,A,,B,,B,,,B,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,416,62,1.9,80,1
20190315,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,B,,C,,B,,,,,C,,,,C,,,,,,,,,,,,,,,,A,,,,,,,,,,,,B,B,Passed,710,35,2.6,71.25,1
20190316,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,416,62,1.9,80,1
20190317,M,255,NA,IP (X),SCHOOL X,A,,D,,B,,,A,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,A,B,Passed,527,52,2.1,77.5,2
20190318,M,262,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190319,M,262,NA,IP (X),SCHOOL X,A,,B,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,219,80,1.4,85,2
20190320,M,0,NA,JAE Ordinary Admission,FAIRFIELD METHODIST SCHOOL (SECONDARY),A,,A,,A,,,,A,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20190321,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,A,,B,,B,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,310,72,1.7,82.5,1
20190322,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,Passed,100,91,1.2,87.5,1
20190323,M,254,NA,IP (X),SCHOOL X,A,,C,,A,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,416,62,1.9,80,1
20190324,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,,B,,B,,A,B,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,364,67,1.9,81.25,2
20190325,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,D,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,610,44,2.3,75,1
20190326,F,244,NA,Appeals (Academic),CRESCENT GIRLS' SCHOOL,A,,C,,E,,,,E,D,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,952,13,4.1,57.5,1
20190327,F,262,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,C,C,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,A,A,Passed,793,28,3.1,67.5,1
20190328,F,256,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,100,91,1.2,87.5,1
20190329,M,256,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,179,83,1.4,86.25,1
20190330,M,255,NA,IP (X),SCHOOL X,A,,B,,A,,,,C,,B,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.3,77.5,1
20190331,F,264,NA,IP (Y),SCHOOL Y,B,,B,,,,,,,,B,,,E,,,,,,A,,,,,,,,U,,,,,,,,,,,,ME,,B,B,Passed,850,23,3.1,65,1
20190332,M,0,NA,IP (X),SCHOOL X,A,A,,,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,,,A,A,Passed,1,100,1,90,2
20190333,F,261,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,,,,,,B,,B,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,2.3,78.75,1
20190334,M,256,NA,IP (X),SCHOOL X,A,,B,,B,,,A,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,,PA,,,,,A,A,Passed,100,91,1.2,87.5,2
20190335,M,0,NA,IP (X),SCHOOL X,A,A,,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,,,A,A,Passed,1,100,1,90,2
20190336,M,261,NA,IP (X),SCHOOL X,A,,B,,,,,,,,C,,,D,,,,S,,,,,,,,,,E,,,,,,,,,,,,,,A,A,Passed,985,10,4.3,53.75,1
20190337,M,0,NA,JAE Ordinary Admission,YUYING SECONDARY SCHOOL,A,,D,,A,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,A,Passed,416,62,1.9,80,1
20190338,F,269,NA,IP (Y),SCHOOL Y,A,,B,,B,,D,B,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,710,35,3,71.25,2
20190339,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,D,,S,,,,D,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,969,12,4.1,56.25,2
20190340,M,257,NA,IP (X),SCHOOL X,A,,D,,A,,,,C,C,,,,S,,,,,,,,,,,,,,,,,,,,,UC,,,,,,,A,A,Passed,756,31,3,68.75,1
20190341,M,259,NA,IP (X),SCHOOL X,A,,B,,A,,A,,A,,,,,,,,,,,,,,B,,,,,,,,,,,,,,PA,,,,,A,A,Passed,100,91,1.2,87.5,1
20190342,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,D,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,310,72,1.4,82.5,1
20190343,M,0,NA,DSA,ST. JOSEPH'S INSTITUTION,A,,B,,A,D,,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,ME,,A,A,Passed,219,80,1.7,85,2
20190344,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,A,,B,,D,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,610,44,2.6,75,1
20190345,M,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,A,,D,,C,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,646,41,2.3,73.75,1
20190346,M,255,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,100,91,1.2,87.5,1
20190347,F,231,NA,IP (Y),SCHOOL Y,A,,C,,D,,,,,,,,,B,,B,,,,,,,,,,,,,,C,,,,,,,,,,,,A,A,Passed,673,39,2.5,72.5,1
20190348,F,244,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,576,47,2.3,76.25,1
20190349,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,A,,B,,C,,,B,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,756,31,3.2,68.75,0
20190350,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,A,,B,,A,,,,A,B,,,,,,,,,,,,C,,,,,,,,,,,,,,,UC,,,,,A,B,Passed,270,75,1.7,83.75,1
20190351,M,241,NA,IP (X),SCHOOL X,A,,C,,B,,,D,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,850,23,3.4,65,1
20190352,M,232,NA,IP (X),SCHOOL X,A,,C,,C,,,C,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,756,31,3,68.75,1
20190353,M,251,NA,IP (X),SCHOOL X,A,,C,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,576,47,2.3,76.25,1
20190354,F,0,NA,IP (Y),SCHOOL Y,A,,B,,,,,,,,,,B,C,,,,,,A,,,,,,,,C,,,,,,,,,,,,ME,,A,A,Passed,472,57,2,78.75,1
20190355,F,272,NA,IP (Y),SCHOOL Y,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20190356,M,261,NA,IP (X),SCHOOL X,A,,B,,E,,,,D,B,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,A,B,Passed,850,23,3.4,65,1
20190357,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,A,,D,,S,,,,C,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,894,19,3.7,61.25,1
20190358,M,256,NA,IP (X),SCHOOL X,B,,C,,D,,,C,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,850,23,3.3,65,1
20190359,F,260,NA,IP (Y),SCHOOL Y,B,,C,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,527,52,2,77.5,1
20190360,F,256,NA,IP (Y),SCHOOL Y,A,,C,,U,,,,E,U,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,A,B,Passed,1065,3,5.3,35,1
20190361,M,254,NA,IP (X),SCHOOL X,B,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,B,B,Passed,100,91,1.1,87.5,1
20190362,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,,C,,A,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,364,67,1.8,81.25,2
20190363,M,257,NA,IP (X),SCHOOL X,B,,B,,C,,,,C,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,673,39,2.7,72.5,1
20190364,M,257,NA,IP (X),SCHOOL X,A,,,B,,,,,,,,A,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,310,72,1.7,82.5,1
20190365,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,B,,,C,S,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,756,31,3.2,68.75,2
20190366,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",B,,B,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,E,Passed,576,47,2.4,76.25,1
20190367,F,253,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190368,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,B,,D,,E,,,,D,,D,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,B,B,Passed,952,13,3.9,57.5,1
20190369,M,253,NA,IP (X),SCHOOL X,B,,D,,D,,,C,E,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,B,B,Passed,952,13,3.9,57.5,1
20190370,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,A,,B,,C,,,D,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,737,33,3,70,1
20190371,M,257,NA,IP (X),SCHOOL X,A,,C,,,,,,,,C,,,D,,C,,,,,,,,,,,,D,,,,,,,,,,,,,,A,A,Passed,822,25,3.1,66.25,0
20190372,F,265,NA,IP (Y),SCHOOL Y,A,,D,,B,,,,S,E,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,929,15,3.9,58.75,1
20190373,F,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,A,,C,,E,,,,D,D,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,3.9,60,1
20190374,F,254,NA,IP (Y),SCHOOL Y,A,,C,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,179,83,1.2,86.25,2
20190375,F,0,NA,JAE Ordinary Admission,WOODLANDS SECONDARY SCHOOL,A,,E,,E,,,,D,,,,,B,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,737,33,2.8,70,1
20190376,M,0,NA,JAE Ordinary Admission,BEATTY SECONDARY SCHOOL,B,,U,,U,,,D,U,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,B,A,Passed,1061,3,4.9,36.25,1
20190377,M,262,NA,IP (X),SCHOOL X,A,,B,,A,,,B,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,527,52,2.3,77.5,1
20190378,F,266,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,,,,B,,,B,,B,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,416,62,1.9,80,2
20190379,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,A,,B,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,416,62,2.1,80,1
20190380,F,0,NA,JAE Ordinary Admission,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,A,,B,,C,,,,D,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,822,25,3.4,66.25,0
20190381,F,259,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,219,80,1.4,85,2
20190382,F,258,NA,IP (Y),SCHOOL Y,B,,A,,B,,,,,,,B,,,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,310,72,1.8,82.5,1
20190383,M,260,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,A,Passed,1,100,1,90,1
20190384,F,265,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,B,Passed,219,80,1.4,85,1
20190385,F,249,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,S,,,,C,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,894,19,3.9,61.25,2
20190386,F,268,NA,IP (Y),SCHOOL Y,A,,B,,B,,,C,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,610,44,2.6,75,1
20190387,M,0,NA,JAE Ordinary Admission,ANGLO-CHINESE SCHOOL (INDEPENDENT),A,,B,,B,,,B,B,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,416,62,1.9,80,1
20190388,M,240,NA,IP (X),SCHOOL X,A,,D,,A,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,D,Passed,416,62,1.9,80,2
20190389,M,256,NA,IP (X),SCHOOL X,A,,C,,U,,,,E,,,,,MC,,,,,,,,,,,,,,,U,,,,,,,,,,,,,A,B,Failed,1083,1,5.3,27.5,1
20190390,M,264,NA,IP (X),SCHOOL X,A,,B,,C,,,,,,B,,,B,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,2.1,78.75,1
20190391,M,245,NA,DSA,CATHOLIC HIGH SCHOOL,A,,A,,B,,,,,,,B,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,S,Passed,179,83,1.4,86.25,1
20190392,M,259,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,100,91,1.2,87.5,2
20190393,M,241,NA,IP (X),SCHOOL X,A,,D,,B,,,D,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,673,39,2.6,72.5,1
