NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190040,F,229,NA,IP (Y),SCHOOL Y,A,,D,,C,,,,E,D,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,A,B,Passed,894,19,3.5,61.25,1
20190041,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,A,,B,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,1
20190042,M,250,NA,IP (X),SCHOOL X,A,,A,,A,,EX,EX,,,,,,EX,,,,,,,,,,,,,,,,,,,,,DI,,,,,,,A,B,Failed,1046,5,1,40,2
20190043,F,267,NA,IP (Y),SCHOOL Y,A,,C,,B,,,B,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,610,44,2.6,75,1
20190044,F,266,NA,IP (Y),SCHOOL Y,B,,B,,A,,,,A,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,B,A,Passed,310,72,1.8,82.5,1
20190045,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,B,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,B,Passed,219,80,1.4,85,1
20190046,F,257,NA,IP (Y),SCHOOL Y,B,,B,,S,,,U,E,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,1073,2,5.8,32.5,1
20190047,M,255,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,A,Passed,100,91,1.2,87.5,1
20190048,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,A,,B,,E,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,646,41,2.8,73.75,2
20190049,M,256,NA,IP (X),SCHOOL X,A,,B,,B,,,B,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,576,47,2.3,76.25,1
20190050,M,255,NA,IP (X),SCHOOL X,B,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,B,A,Passed,100,91,1.1,87.5,1
20190051,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,A,,B,,B,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,B,Passed,364,67,1.9,81.25,1
20190052,M,266,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,DI,,,A,A,Passed,100,91,1.2,87.5,2
20190053,M,261,NA,IP (X),SCHOOL X,A,,B,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,310,72,1.7,82.5,1
20190054,M,266,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,1,100,1,90,2
20190055,M,244,NA,IP (X),SCHOOL X,A,,C,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,472,57,1.9,78.75,1
20190056,M,257,NA,IP (X),SCHOOL X,B,,B,,,,,,E,B,A,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,B,A,Passed,610,44,2.4,75,2
20190057,M,257,NA,IP (X),SCHOOL X,A,,B,,B,,,C,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,576,47,2.3,76.25,2
20190058,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),B,,C,,A,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,472,57,2,78.75,2
20190059,M,264,NA,IP (X),SCHOOL X,A,,C,,B,,A,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,PA,,,,,,,A,A,Passed,270,75,1.4,83.75,2
20190060,M,252,NA,IP (X),SCHOOL X,A,,C,,B,,,B,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,710,35,2.8,71.25,1
20190061,M,269,NA,IP (X),SCHOOL X,A,,A,,D,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,2.1,81.25,1
20190062,M,270,NA,IP (X),SCHOOL X,A,,B,,B,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,B,Passed,416,62,2.1,80,1
20190063,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,B,,,C,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,756,31,3.2,68.75,1
20190064,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,B,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,ME,,,,,,A,A,Passed,179,83,1.4,86.25,2
20190065,F,259,NA,IP (Y),SCHOOL Y,A,,B,,,,,,,,D,,,C,,,,,,,,A,,,,,,S,,,,,,,,,,,,,,A,A,Passed,756,31,2.9,68.75,1
20190066,F,261,NA,IP (Y),SCHOOL Y,A,,B,,C,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,472,57,2.1,78.75,1
20190067,F,260,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,219,80,1.4,85,1
20190068,M,0,NA,JAE Ordinary Admission,JURONG SECONDARY SCHOOL,B,,D,,A,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,PA,,,,,,,B,A,Passed,416,62,1.8,80,1
20190069,M,0,NA,JAE Ordinary Admission,BROADRICK SECONDARY SCHOOL,A,,B,,E,,,D,,,,,,,,,,,,,,B,,,,,,,,,,C,,,,,,,,,,A,A,Passed,822,25,3.3,66.25,1
20190070,M,254,NA,IP (X),SCHOOL X,A,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,219,80,1.4,85,1
20190071,M,258,NA,IP (X),SCHOOL X,A,,B,,A,,,B,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,A,Passed,219,80,1.4,85,1
20190072,M,260,NA,IP (X),SCHOOL X,A,,C,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,PA,,,,,,,A,A,Passed,527,52,2.1,77.5,1
20190073,M,259,NA,IP (X),SCHOOL X,A,,C,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,DI,,,A,A,Passed,100,91,1,87.5,1
20190074,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,A,,,,B,C,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,364,67,1.9,81.25,1
20190075,F,262,NA,IP (Y),SCHOOL Y,A,,A,,C,,,A,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,ME,,,,,,A,A,Passed,576,47,2.6,76.25,2
20190076,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,D,,C,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,1.9,78.75,1
20190077,M,255,NA,IP (X),SCHOOL X,A,,B,,B,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,ME,,,,,,A,C,Passed,310,72,1.9,82.5,1
20190078,M,258,NA,IP (X),SCHOOL X,A,,B,,B,,,,A,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,472,57,2.1,78.75,1
