SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
132,20180132,F,262,NA,IP (Y),SCHOOL Y,1,,0.84,,0.55,,,,0.22,0.47,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
133,20180133,M,257,NA,IP (X),SCHOOL X,1,,0.21,,0.08,,,,0.34,,,,,0.11,,,,,,,,,0.11,,,,,,,,,,,,,,,,0.24,,,,1
134,20180134,M,251,NA,IP (X),SCHOOL X,1,,0.81,,0.31,,,0.27,0.4,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
135,20180135,F,253,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.99,,0.13,,,,,,,0.89,,,,,0.44,,,,,,,,,0.83,,,,,,,,,,,,,,,,,1
136,20180136,M,250,NA,IP (X),SCHOOL X,1,,0.24,,0.32,,,,0.56,0.6,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
137,20180137,F,259,NA,IP (Y),SCHOOL Y,1,,0.55,,0.31,,,,0.69,0.72,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
138,20180138,F,247,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.67,,0.8,,,,0.94,0.93,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
139,20180139,M,256,NA,IP (X),SCHOOL X,1,,0.29,,0.05,,,0.04,0.09,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
140,20180140,M,258,NA,IP (X),SCHOOL X,1,,0.36,,0.41,,,,,,0.8,,,0.75,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1
141,20180141,F,259,NA,IP (Y),SCHOOL Y,1,,0.55,,0.21,,,,0.13,0.06,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
142,20180142,M,0,NA,IP (X),SCHOOL X,1,,0.21,,0.26,,,0.7,0.38,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,1
143,20180143,F,0,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0,,0.58,,,0.36,0.47,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
144,20180144,M,248,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.21,,0.65,,,0.39,0.55,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
145,20180145,M,257,NA,IP (X),SCHOOL X,1,,0.02,,0.24,,,0.29,0.48,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
146,20180146,M,267,NA,IP (X),SCHOOL X,1,,0.81,,0.88,,,,0.97,0.94,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,3
147,20180147,M,254,NA,IP (X),SCHOOL X,1,,0.29,,0.03,,,0.11,0.11,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
148,20180148,F,194,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.08,,0.05,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,1
149,20180149,M,263,Repeat Yr1,IP (X),SCHOOL X,1,,0.61,,0.09,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,0
150,20180150,F,234,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,1,,0.02,,0.22,,,0.16,0.15,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
151,20180151,M,240,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.43,,0.26,,,0.24,,,,,,0.39,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,1
152,20180152,M,256,NA,IP (X),SCHOOL X,1,,0.94,,0.93,,,,0.76,0.88,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,2
153,20180153,M,263,NA,IP (X),SCHOOL X,1,,0.95,,0.78,,,,0.82,0.97,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
154,20180154,F,258,NA,IP (Y),SCHOOL Y,1,,,0.07,0.19,,,,,,,0.38,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,2
155,20180155,F,262,NA,IP (Y),SCHOOL Y,1,,0.55,,0.39,,,,0.44,0.6,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
156,20180156,M,253,NA,IP (X),SCHOOL X,1,,0.61,,0.42,,,,0.69,0.43,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
157,20180157,F,0,NA,JAE Ordinary Admission,NORTH VISTA SECONDARY SCHOOL,1,,0.24,,0.89,0.33,,0.54,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
158,20180158,M,254,NA,IP (X),SCHOOL X,1,,0.55,,0.66,,,0.78,,,,,,0.64,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,1
159,20180159,M,267,NA,IP (X),SCHOOL X,1,0.93,,,0.92,,,0.95,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160,20180160,F,253,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.21,,0.04,,,,0.19,0.07,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
161,20180161,M,258,NA,IP (X),SCHOOL X,1,,0.43,,0.48,,,,0.54,0.47,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
162,20180162,M,240,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.67,,0.29,,,,,,0.13,,,0.86,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,1
163,20180163,F,262,NA,IP (Y),SCHOOL Y,1,,0.36,,0.26,,,,0.76,0.57,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
164,20180164,F,257,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.73,,0.55,,,0.66,0.91,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
165,20180165,M,257,NA,IP (X),SCHOOL X,1,,0.49,,0.22,,,0.48,0.37,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
166,20180166,M,239,NA,Appeals (Academic),CHUNG CHENG HIGH SCHOOL (MAIN),1,,MC,,0.79,,,,0.26,0.42,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
167,20180167,M,247,NA,IP (X),SCHOOL X,1,,0.36,,0.65,,,0.65,0.35,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
168,20180168,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.21,,0.35,,,,0.5,0.39,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
169,20180169,F,261,NA,IP (Y),SCHOOL Y,1,,0.55,,0.28,,,,,,0.37,,,0.22,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,2
170,20180170,M,260,NA,IP (X),SCHOOL X,1,,0.67,,0.5,,,,0.24,0.16,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
171,20180171,F,239,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.04,,0.26,,,0.07,0.09,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
172,20180172,F,261,NA,IP (Y),SCHOOL Y,1,,,0.46,,,,,,,,0.77,,,0.74,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,3
173,20180173,F,248,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,1,,0.21,,0.04,,,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,1
174,20180174,M,241,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.78,,0.73,,,,0.82,0.72,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
175,20180175,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.21,,0.26,,,,0.16,0.25,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
176,20180176,M,255,NA,IP (X),SCHOOL X,1,,0.43,,0.48,,,0.14,0.71,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,1
177,20180177,M,252,NA,IP (X),SCHOOL X,1,,0.43,,0.86,,,0.85,0.81,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
178,20180178,M,239,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,1,,0.55,,0.07,,,,0.38,0.75,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
179,20180179,M,252,NA,IP (X),SCHOOL X,1,,0.73,,0.98,,,0.92,0.98,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,1
180,20180180,F,254,NA,IP (Y),SCHOOL Y,1,,0.61,,0.89,,,,0.85,0.59,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,1
181,20180181,M,261,NA,IP (X),SCHOOL X,1,,0.87,,,,,,,,,,1,MC,,,,0.75,,,,,,,,,,,0.12,,,,,,,,,,,,,,1
182,20180182,F,256,NA,IP (Y),SCHOOL Y,1,,0.36,,MC,,,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
183,20180183,F,246,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.67,,0.2,,,,0.37,0.07,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
184,20180184,F,249,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.02,,0.64,,,0.09,0.27,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
185,20180185,M,236,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,1,,0.43,,0.52,,,0.62,0.33,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
186,20180186,F,262,NA,IP (Y),SCHOOL Y,1,,0.61,,0.85,,,0.59,0.49,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
187,20180187,M,259,NA,IP (X),SCHOOL X,1,,0.81,,0.42,,,0.47,0.38,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,1
188,20180188,F,253,NA,IP (Y),SCHOOL Y,1,,0.78,,0.41,,,,0.52,0.67,,,,,,,,,,,,,,,,MC,,,,,,,,,,,,,,,,,1
189,20180189,M,256,NA,IP (X),SCHOOL X,1,,0.78,,0.61,,,0.75,0.67,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
190,20180190,F,250,NA,IP (Y),SCHOOL Y,1,,0.61,,0.2,,,,0.24,0.54,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,2
191,20180191,F,264,NA,IP (Y),SCHOOL Y,1,,0.43,,0.55,,,0.33,0.17,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
192,20180192,M,256,NA,IP (X),SCHOOL X,1,,0.99,,0.59,,,,,,,0.33,,,0.65,,0.86,,,,,,,,,,,,,,,,,,,,,,,,0.26,,1
193,20180193,F,258,NA,IP (Y),SCHOOL Y,1,,0.49,,0.98,,,0.78,0.78,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,1
194,20180194,F,244,NA,DSA (CCA),ANGLICAN HIGH SCHOOL,1,,0.61,,0.06,,,,0.02,0.35,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,1
195,20180195,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.08,,0.01,,,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1
196,20180196,M,244,NA,IP (X),SCHOOL X,1,,0.12,,MC,,,0.38,0.33,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,1
197,20180197,M,257,NA,IP (X),SCHOOL X,1,,0.81,,0.71,,,0.93,0.96,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
198,20180198,M,253,NA,IP (X),SCHOOL X,1,,0.89,,0.36,,,,0.15,0.12,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
199,20180199,M,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.49,,0.81,,,0.82,0.89,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
200,20180200,M,257,NA,IP (X),SCHOOL X,1,,0.91,,0.68,,,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,1
201,20180201,F,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.49,,0.88,,,0.73,0.81,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
202,20180202,F,252,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,1,,0.61,,0.77,,,0.72,0.77,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,1
203,20180203,M,249,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.78,,0.76,,,0.59,,,,,,0.48,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,0.62,1
204,20180204,F,262,NA,IP (Y),SCHOOL Y,1,,0.87,,0.36,,,,0.6,0.3,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
205,20180205,F,255,NA,IP (Y),SCHOOL Y,1,,0.12,,0.41,,,0.36,0.56,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
206,20180206,F,257,NA,IP (Y),SCHOOL Y,1,,0.29,,0.46,,,,0.86,0.59,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
207,20180207,F,241,NA,DSA (CCA),NAN HUA HIGH SCHOOL,1,,0.29,,0.03,,,,0,,,,,,,0.11,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,2
208,20180208,F,251,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.91,,0.57,,,,0.67,0.85,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
209,20180209,F,246,NA,IP (Y),SCHOOL Y,1,,0.21,,0.31,,,0.17,0.13,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
210,20180210,F,259,NA,IP (Y),SCHOOL Y,1,0.16,,,0.55,,,,0.63,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
211,20180211,F,245,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.06,,0.42,,,,0.56,0.34,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
212,20180212,F,261,NA,IP (Y),SCHOOL Y,1,,0.78,,0.21,,,,,,,,,0.24,,,,0.13,,,,,,,,,,,,,0.73,,,,,,,,,,,,1
213,20180213,M,269,NA,IP (X),SCHOOL X,1,,0.97,,0.93,,,,,,,0.85,,,0.95,,1,,,,,,,,,,,,,,,,,,,,,,,,0.95,,2
214,20180214,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.61,,0.38,,,,0.54,0.28,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
215,20180215,M,0,NA,JAE Ordinary Admission,QUEENSTOWN SECONDARY SCHOOL,1,,0.12,,0.93,0.75,,0.49,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,0.23,,,,,,1
216,20180216,M,249,NA,IP (X),SCHOOL X,1,,0.36,,0.57,,,0.77,0.58,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
217,20180217,F,258,NA,IP (Y),SCHOOL Y,1,,,0.75,0.51,,,,,,,0.59,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,1
218,20180218,M,251,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.67,,0.73,,,,0.84,0.82,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,1
219,20180219,M,268,NA,IP (X),SCHOOL X,1,,0.81,,0.73,,,,0.97,0.96,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,1
220,20180220,M,256,NA,IP (X),SCHOOL X,1,,0.67,,0.77,,,,0.86,0.74,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,2
221,20180221,M,230,NA,DSA (CCA),ST. GABRIEL'S SECONDARY SCHOOL,1,,0.06,,0.02,,,,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,1
222,20180222,M,258,NA,IP (X),SCHOOL X,1,0.6,,,0.98,,,,0.99,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,2
223,20180223,F,253,NA,IP (Y),SCHOOL Y,1,,0.49,,0.03,,,,,0.05,,,,,,,,,,0.12,,,,,,,,,,,0.3,,,,,,,,,,,0.37,1
224,20180224,F,263,NA,IP (Y),SCHOOL Y,1,,0.98,,0.79,,,0.84,0.72,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,1
225,20180225,M,239,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,1,,0.29,,0.12,,,,,,,,,0.09,,0.19,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,2
226,20180226,F,247,NA,DSA,CRESCENT GIRLS' SCHOOL,1,,0.93,,0.78,,,,0.96,0.79,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,1
227,20180227,M,254,NA,IP (X),SCHOOL X,1,,0.61,,0.55,,,,0.4,,,,,0.14,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,1
228,20180228,M,261,NA,IP (X),SCHOOL X,1,,0.02,,0.42,,,,0.41,0.31,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
229,20180229,F,263,NA,IP (Y),SCHOOL Y,1,,0.67,,0.71,,,,0.58,0.45,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
230,20180230,M,259,NA,IP (X),SCHOOL X,1,,0.08,,,,,,,,0.2,,,0.42,,0.56,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,1
231,20180231,M,255,NA,IP (X),SCHOOL X,1,,0.67,,0.76,,,0.88,0.88,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
232,20180232,M,248,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,1,,0.43,,0.13,,,0.01,0.06,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
233,20180233,F,257,NA,IP (Y),SCHOOL Y,1,,0.55,,0.28,,,0.2,0.17,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
234,20180234,M,239,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,1,,0.06,,0.13,,,,,,,,,,,,,,,,,0.62,0.31,,,,,,,,0.65,,,,,,,,,,,,1
235,20180235,M,247,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.81,,0.73,,,,0.58,0.25,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
236,20180236,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.08,,0.61,,,0.18,0.22,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
237,20180237,F,259,NA,IP (Y),SCHOOL Y,1,,0.49,,0.32,,,,0.07,0.14,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1
238,20180238,M,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.29,,0.45,,,,0.77,0.67,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
239,20180239,F,265,NA,IP (Y),SCHOOL Y,1,,0.84,,0.34,,,,0.15,0.33,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,1
240,20180240,F,242,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),1,,,0.75,,,,,,,,0.33,,,0.31,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,1
241,20180241,F,249,NA,IP (Y),SCHOOL Y,1,,0.21,,0.39,,,0.02,0.09,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
242,20180242,M,252,NA,IP (X),SCHOOL X,1,,0.29,,0.27,,,,0.4,0.49,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
243,20180243,F,243,NA,IP (Y),SCHOOL Y,1,,0.73,,0.21,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,1
244,20180244,M,256,NA,IP (X),SCHOOL X,1,,0.36,,0.22,,,0.38,0.13,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
245,20180245,F,247,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,1,,0.16,,0.66,,,0.7,0.33,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
246,20180246,M,264,NA,IP (X),SCHOOL X,1,,0.55,,0.87,,,,0.73,0.72,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
247,20180247,F,239,NA,IP (Y),SCHOOL Y,1,,0.24,,0.03,,,,0.09,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,1
248,20180248,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,1,,0.84,,0.34,,,,0.31,0.34,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,1
249,20180249,F,251,NA,IP (Y),SCHOOL Y,1,,0.49,,0.38,,0.09,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,1
250,20180250,F,239,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.06,,0.5,,,0.13,0.4,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251,20180251,F,262,NA,IP (Y),SCHOOL Y,1,,0.87,,0.64,,,,0.82,0.95,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,1
252,20180252,M,259,NA,IP (X),SCHOOL X,1,,0.36,,0.55,,,0.27,0.41,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
253,20180253,M,239,NA,IP (X),SCHOOL X,1,,0.43,,0.95,,,0.87,0.76,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
254,20180254,M,249,NA,IP (X),SCHOOL X,1,,0.91,,0.35,,,,0.31,0.34,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
255,20180255,M,257,NA,IP (X),SCHOOL X,1,,0.49,,0.14,,,0.12,0.14,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
256,20180256,F,262,NA,IP (Y),SCHOOL Y,1,,0.43,,0.86,,,0.79,0.95,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
257,20180257,F,247,NA,IP (Y),SCHOOL Y,1,,0.29,,0.45,,,,0.7,0.2,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
258,20180258,F,260,NA,IP (Y),SCHOOL Y,1,0.86,,,0.99,,,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,1
259,20180259,F,251,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.55,,0.23,,,0.14,0.21,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
260,20180260,F,246,NA,IP (Y),SCHOOL Y,1,,0.49,,0.28,,,,0.53,,,,,0.66,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,1
261,20180261,F,259,NA,IP (Y),SCHOOL Y,1,,0.21,,0.15,,,,0.28,0.19,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,1
262,20180262,M,263,NA,DSA (CCA),SCHOOL X,1,,0.16,,0.34,,,0.01,0,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
263,20180263,M,257,NA,IP (X),SCHOOL X,1,,0.55,,0.09,,,,,,,,,0.07,,0.41,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,1
264,20180264,F,0,NA,IP (Y),SCHOOL Y,1,,,0.75,0.8,,,,,,,0.66,,,0.93,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,1
265,20180265,F,0,NA,IP (Y),SCHOOL Y,1,,0.12,,1,,0.96,0.93,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,1
266,20180266,F,247,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,1,,0.67,,0.2,,,0.13,0.02,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,1
267,20180267,F,268,NA,DSA (CCA),SCHOOL Y,1,,0.08,,0.02,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,1
268,20180268,F,258,NA,IP (Y),SCHOOL Y,1,,0.73,,0.42,,,,0.5,0.39,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
269,20180269,M,256,NA,IP (X),SCHOOL X,1,,0,,0.68,,,0.53,0.34,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
270,20180270,M,245,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.43,,0.49,,,0.44,0.43,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
271,20180271,M,256,NA,IP (X),SCHOOL X,1,,0.99,,0.73,,,,,,,0.66,,,0.68,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,1
272,20180272,M,256,NA,IP (X),SCHOOL X,1,,0.67,,0.36,,,,0.71,0.39,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
273,20180273,M,241,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.78,,0.9,,,0.88,0.91,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
274,20180274,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.84,,0.59,,,,0.54,0.82,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
275,20180275,M,245,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.06,,0.52,,,0.28,0.71,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
276,20180276,M,260,NA,IP (X),SCHOOL X,1,,0.67,,0.5,,,,0.81,0.63,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
277,20180277,F,251,NA,IP (Y),SCHOOL Y,1,,0.43,,0.81,,,0.54,0.79,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
278,20180278,F,246,NA,IP (Y),SCHOOL Y,1,,0.49,,0.49,,,,0.4,0.56,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
