SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
28,20180028,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.16,,0.97,1,,0.91,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,1
29,20180029,F,261,NA,IP (Y),SCHOOL Y,1,,0.36,,0.7,,,0.38,0.41,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
30,20180030,M,256,NA,IP (X),SCHOOL X,1,,0.84,,0.89,,,0.9,0.65,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
31,20180031,M,254,NA,IP (X),SCHOOL X,1,,0.49,,0.19,,,0.2,,,,,,0.22,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,1
32,20180032,F,246,NA,IP (Y),SCHOOL Y,1,,0.21,,0.2,,,,0.46,0.39,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
33,20180033,F,256,NA,IP (Y),SCHOOL Y,1,,0.89,,0.46,,,0.65,0.72,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
34,20180034,F,249,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.21,,0.81,,,0.8,0.71,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
35,20180035,F,259,NA,IP (Y),SCHOOL Y,1,,0.91,,0.97,,,0.78,0.95,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,2
36,20180036,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.89,,0.88,,,,0.8,0.72,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
37,20180037,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,1,,0.78,,0.26,,,0.41,0.07,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,1
38,20180038,M,264,NA,IP (X),SCHOOL X,1,,0.89,,0.22,,,,0.05,0.04,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
39,20180039,F,259,NA,Appeals (Academic),NATIONAL JUNIOR COLLEGE (IP),1,,0.94,,0.35,,,0.15,0.38,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,2
40,20180040,F,259,NA,IP (Y),SCHOOL Y,1,,0.49,,0.77,,,0.7,0.52,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
41,20180041,F,249,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.87,,0.15,,,,0.21,0.63,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,20180042,F,258,Repeat Yr2,IP (Y),SCHOOL Y,1,,0.36,,0.16,,,,0.06,0.32,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,1
43,20180043,F,231,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),1,,0.67,,0.5,,,,0.64,0.65,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,20180044,F,247,NA,IP (Y),SCHOOL Y,1,,0.43,,0.53,,0.26,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,1
45,20180045,M,252,NA,IP (X),SCHOOL X,1,,0.43,,0.68,,,,0.84,0.52,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
46,20180046,F,246,NA,IP (Y),SCHOOL Y,1,,0.67,,0.04,,,,,,,,,,,0.05,,,,0.06,,,,,,,,,,,,,,0.49,,,,,,,,0.06,1
47,20180047,M,266,NA,IP (X),SCHOOL X,1,,0.55,,0.45,,,0.54,0.48,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,1
48,20180048,M,258,NA,IP (X),SCHOOL X,1,,0.73,,,,,,,,0.8,,0.46,,,0.47,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,1
