NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,CB,SSL,PE,COM,EC,PA,CH,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,IN,MSP,HH,HG,HL,IH,HZ,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,LA2,SP
20200086,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),BUDDHIST,SINGAPORE CITIZEN,Repeat Yr2,,6,A1,B3,A1,,,A1,A1,,A1,B3,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200087,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,3.56,6,B4,B3,B4,,,B3,B3,B3,C5,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,,,A2,,C5,,,,,
20200088,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2,6,B3,A1,,,,A1,A2,B3,A2,A2,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,
20200089,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.6,6,A2,B3,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,
20200090,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.43,6,A2,B3,,,,A1,A1,A1,A2,A1,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,B3,,,,,,,,,,,
20200091,F,JAE Ordinary Admission,Science,NAN CHIAU HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,B3,A1,,,A1,A1,,A2,B3,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200092,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,FREE THINKER,SINGAPORE CITIZEN,,,7,A1,C6,B3,,,A1,A1,A1,A1,A1,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200093,F,IP (Y),Science,SCHOOL Y,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,2.14,6,A2,A2,,,,A2,B4,,B4,A2,,,,,,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,
20200094,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.14,6,A2,A1,,,,A1,A1,A1,A1,A2,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200095,F,JAE Ordinary Admission,Science,ZHONGHUA SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,6,A1,B4,A1,,,A1,A1,A2,A1,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200096,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3,6,B4,A2,,,,A2,,B4,C5,B4,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,A1,,,B4,,,B3,
20200097,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE PR (OTHERS),,1.57,6,B3,A2,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,
20200098,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,7,A1,,B3,,,A1,A1,A2,A1,,,,,,,,,,B3,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200099,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1,6,A1,A1,,,,A1,A1,,A1,A1,,,,,,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,
20200100,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.3,6,A1,A1,,,,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
