SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
325,20200325,F,0,NA,IP (Y),SCHOOL Y,,57.9,,44.6,,,,59.4,49.2,,,,46.1,,,,,,,,,,,,,,,,,,,,,,1
326,20200326,F,0,NA,IP (Y),SCHOOL Y,,55.5,,70,,,,73.2,47,,,,48,,,,,,,,,,,,,,,,,,,,,,1
327,20200327,F,0,NA,IP (Y),SCHOOL Y,,70.6,,55.3,,,,,,56.8,,,57.3,,,,69.8,,,,,,,,,,,,,,,,,,1
328,20200328,F,0,NA,IP (Y),SCHOOL Y,,39.9,,74.9,,,69.7,86.8,,,,,,,,,59.4,,,,,,,,,,,,,,,,,,1
329,20200329,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,52.9,,26.3,,,,,,,,,49.7,,,,55.9,,,,EX,,,,,,,,,,,,,,1
330,20200330,F,0,NA,IP (Y),SCHOOL Y,,48.5,,89.8,,,,79,61.1,,,,,,,,,,,,,82.9,,,,,,,,,,,,,1
331,20200331,F,0,NA,IP (Y),SCHOOL Y,,60.7,,65.8,,78,,67.4,,,,,60.6,,,,,,,,,,,,,,,,,,,,,,1
332,20200332,M,0,NA,IP (X),SCHOOL X,,54.4,,47.1,,,,63.9,38.6,,,,50.4,,,,,,,,,,,,,,,,,,,,,,1
333,20200333,M,0,NA,IP (X),SCHOOL X,,67.1,,89.3,,,,77.3,77.3,,,,73.3,,,,,,,,,,,,,,,,,,,,,,2
334,20200334,F,0,NA,IP (Y),SCHOOL Y,,53.3,,52.6,,,57.1,61.7,,,,,62.6,,,,,,,,,,,,,,,,,,,,,,1
335,20200335,F,0,NA,IP (Y),SCHOOL Y,,64.6,,76.3,,,78.1,79.9,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,1
336,20200336,F,0,NA,IP (Y),SCHOOL Y,,66.4,,75.5,,,72.1,75.8,,61.7,,,,,,,,,,,,,,,,,,,,,,,,,1
337,20200337,F,242,NA,DSA,SWISS COTTAGE SECONDARY SCHOOL,,66.5,,51.1,,,,,,,67,,,59.8,,64.3,,,,,,,,,,,,,,,,,,,2
338,20200338,F,0,NA,IP (Y),SCHOOL Y,,62.5,,79.9,,,,91,73,,,,48.1,,,,,,,,,,,,,,,,,,,,,,2
339,20200339,M,0,NA,IP (X),SCHOOL X,,61.4,,45.5,,,,,,,,,57.2,,57.5,,,,,,,,,,,,,,,,,,,61.5,1
340,20200340,F,0,NA,IP (Y),SCHOOL Y,,58.7,,79.5,,,72,68,,,,,,,,,,,,,,69.7,,,,,,,,,,,,,1
341,20200341,F,0,NA,IP (Y),SCHOOL Y,,52.6,,57.1,,,41.3,50.6,,,,,56.2,,,,,,,,,,,,,,,,,,,,,,2
342,20200342,M,0,NA,IP (X),SCHOOL X,,59.8,,34.5,,,58,51.7,,,,,48.4,,,,,,,,,,,,,,,,,,,,,,1
343,20200343,F,0,NA,IP (Y),SCHOOL Y,,63.3,,75.6,,,,82.6,74.7,,,,49.7,,,,,,,,,,,,,,,,,,,,,,2
344,20200344,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,52.1,,70.7,,,,77.4,66.5,,,,57.2,,,,,,,,,,,,,,,,,,,,,,2
345,20200345,M,0,NA,IP (X),SCHOOL X,,54.7,,26.3,,,34.9,42.3,,,,,44.4,,,,,,,,,,,,,,,,,,,,,,1
346,20200346,M,254,Repeat Yr2,IP (X),SCHOOL X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
347,20200347,F,0,NA,IP (Y),SCHOOL Y,,52.7,,57,,,,42,52.4,,,,53.6,,,,,,,,,,,,,,,,,,,,,,1
348,20200348,M,0,NA,IP (X),SCHOOL X,,56.1,,46.7,,,,46.6,58.8,,,,47.4,,,,,,,,,,,,,,,,,,,,,,1
349,20200349,M,0,NA,IP (X),SCHOOL X,,61.8,,55.3,,,,74.3,63.5,,,,,,,,74.2,,,,,,,,,,,,,,,,,,1
350,20200350,M,0,NA,IP (X),SCHOOL X,,56.3,,53.9,,,,,,59.3,,,53.4,,,,,,,,,60.7,,,,,,,,,,,,,1
351,20200351,M,0,NA,IP (X),SCHOOL X,,65,,83.5,,,76.5,77.7,,,,,,,,,,,,,,55.4,,,,,,,,,,,,,1
352,20200352,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,,50.3,,74.9,,,76.2,79.5,,,,,,,,,59.1,,,,,,,,,,,,,,,,,,1
353,20200353,M,0,NA,IP (X),SCHOOL X,,76.3,,83.4,,,76.5,89.9,,,,,,,,,,,,,,,,,71.3,,,,,,,,,,1
354,20200354,M,0,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,,53.3,,83,,,,87.2,72.2,,,,63.3,,,,,,,,,,,,,,,,,,,,,,1
355,20200355,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,54.1,,63.3,,,68.9,74.6,,,,,49.7,,,,,,,,,,,,,,,,,,,,,,1
356,20200356,M,0,NA,IP (X),SCHOOL X,,68.8,,87.7,,,86.3,88.8,,,,,72.5,,,,,,,,,,,,,,,,,,,,,,2
357,20200357,M,259,Repeat Yr1,IP (X),SCHOOL X,,60.7,,39.6,,,,,,56.4,,,,,,,47.4,,,,,,,,,,,,,,,60.3,,,1
358,20200358,F,0,NA,IP (Y),SCHOOL Y,,54,,89.4,,,81.9,81.5,,,,,65.9,,,,,,,,,,,,,,,,,,,,,,1
359,20200359,F,0,NA,IP (Y),SCHOOL Y,,64.6,,71.7,,,,82.4,75.3,,,,62.9,,,,,,,,,,,,,,,,,,,,,,1
360,20200360,F,0,NA,IP (Y),SCHOOL Y,,61,,60.2,,,55.8,59.2,,,,,,,,,,,,,,61.1,,,,,,,,,,,,,1
361,20200361,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,57.8,,74.6,,,,84.5,82.2,,,,71.7,,,,,,,,,,,,,,,,,,,,,,1
362,20200362,M,0,NA,IP (X),SCHOOL X,,51.6,,43,,,,69.2,42,,,,47.3,,,,,,,,,,,,,,,,,,,,,,1
363,20200363,M,0,NA,IP (X),SCHOOL X,,59.7,,57.3,,,,87.4,75.5,,,,60.5,,,,,,,,,,,,,,,,,,,,,,1
364,20200364,M,0,NA,IP (X),SCHOOL X,,70.8,,74.3,,,71.8,79.6,,,,,72.6,,,,,,,,,,,,,,,,,,,,,,1
365,20200365,F,0,NA,IP (Y),SCHOOL Y,,56.6,,76.3,,,62.2,84.3,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,1
366,20200366,M,0,NA,IP (X),SCHOOL X,,57.8,,49.2,,,59.7,53.6,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,0
367,20200367,F,0,NA,IP (Y),SCHOOL Y,,63.3,,77.8,,,65.7,75,,,,,66,,,,,,,,,,,,,,,,,,,,,,1
368,20200368,F,0,NA,IP (Y),SCHOOL Y,,65,,51.4,,,,50.1,,,,,62.5,,55.3,,,,,,,,,,,,,,,,,,,,1
369,20200369,F,0,NA,IP (Y),SCHOOL Y,,57,,,,,,,,56.3,,,50,,,,62.2,,,,,,,,,,,67.4,,,,,,,2
370,20200370,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,61.7,,53.3,,,,76.1,73.9,66.9,,,,,,,,,,,,,,,,,,,,,,,,,1
371,20200371,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,58,,70.1,,,78.9,82.6,,,,,56.6,,,,,,,,,,,,,,,,,,,,,,1
372,20200372,M,0,NA,IP (X),SCHOOL X,,55.6,,62.2,,,,69.9,71.6,,,,51,,,,,,,,,,,,,,,,,,,,,,1
373,20200373,M,0,NA,IP (X),SCHOOL X,,57.3,,37,,,,50.6,49.8,,,,48.8,,,,,,,,,,,,,,,,,,,,,,1
374,20200374,M,233,NA,DSA,CLEMENTI TOWN SECONDARY SCHOOL,,59.3,,65.4,,,,79.3,85.9,,,,58.2,,,,,,,,,,,,,,,,,,,,,,1
375,20200375,M,0,NA,IP (X),SCHOOL X,70.7,,,83.2,,,,,,,,,59.5,,,,82.2,,,,,,,,,,,,,,,,,,1
376,20200376,M,0,NA,IP (X),SCHOOL X,,56,,80.9,,,75.4,77.5,,,,,62.6,,,,,,,,,,,,,,,,,,,,,,1
377,20200377,M,244,NA,DSA (CCA),SCHOOL X,,53.4,,,,,,,,58.5,,,45.5,,,,59.7,,,,,,,,,,,47.5,,,,,,,1
378,20200378,M,0,NA,IP (X),SCHOOL X,,68.9,,87.2,,,,89.3,89,,,,80.6,,,,,,,,,,,,,,,,,,,,,,1
379,20200379,M,0,NA,IP (X),SCHOOL X,,62.9,,82.9,,,,85.4,75.4,,,,65.2,,,,,,,,,,,,,,,,,,,,,,1
380,20200380,F,0,NA,IP (Y),SCHOOL Y,,55.4,,75.6,,,,71.1,74.8,,,,,,,,,,,,,66.6,,,,,,,,,,,,,1
381,20200381,F,0,NA,IP (Y),SCHOOL Y,,70.8,,82.4,,,,81.5,73.3,,,,72.6,,,,,,,,,,,,,,,,,,,,,,1
382,20200382,F,0,NA,IP (Y),SCHOOL Y,,64.8,,71.3,,,,,,,67,,,63.5,,60,,,,,,,,,,,,,,,,,,,2
383,20200383,M,0,NA,IP (X),SCHOOL X,,55.8,,48.7,,,59.2,56.6,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,1
384,20200384,M,0,NA,IP (X),SCHOOL X,,70.3,,47.2,,,51,,,,,,,,62.1,,,,,,,,,,,,,,,,,59.9,,,1
385,20200385,M,0,NA,IP (X),SCHOOL X,68.7,,,74.2,,,71.3,,,,,,62.1,,,,,,,,,,,,,,,,,,,,,,2
386,20200386,M,0,NA,IP (X),SCHOOL X,,48.9,,65.1,,,,71.3,64.4,,,,56.9,,,,,,,,,,,,,,,,,,,,,,1
387,20200387,M,0,NA,IP (X),SCHOOL X,,58.7,,76.3,,,,87.1,81.4,,,,64.8,,,,,,,,,,,,,,,,,,,,,,1
388,20200388,M,0,NA,IP (X),SCHOOL X,,59.3,,82.3,,,79.8,88,,,,,59.4,,,,,,,,,,,,,,,,,,,,,,1
389,20200389,F,0,NA,IP (Y),SCHOOL Y,,60.5,,67.9,,,60.9,64.7,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,1
390,20200390,M,0,NA,IP (X),SCHOOL X,,60,,67.1,,,66.9,66.8,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,1
391,20200391,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,56.1,,57.7,,,,64.5,65.6,,,,56.7,,,,,,,,,,,,,,,,,,,,,,1
392,20200392,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,56.3,,54.5,,,,71.3,74.2,,,,,,,,67.7,,,,,,,,,,,,,,,,,,1
393,20200393,M,0,NA,IP (X),SCHOOL X,,58.3,,66.2,,,,81.5,67.5,,,,56.5,,,,,,,,,,,,,,,,,,,,,,1
394,20200394,M,244,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,43.7,,33.4,,,35.2,33.4,,,,,,,,,,,,,,,,,,,,,,,,50.9,,,1
395,20200395,F,0,NA,IP (Y),SCHOOL Y,,55.4,,62,,67.5,59.7,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,1
396,20200396,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,,54.9,,27.2,,,,48.5,52.6,,,,45.4,,,,,,,,,,,,,,,,,,,,,,1
397,20200397,F,0,NA,IP (Y),SCHOOL Y,,,76,,,,,,,,66,,,56.1,,,,69,,,,,,,,,,,,,,,,,2
398,20200398,M,0,NA,IP (X),SCHOOL X,,62.7,,58.7,,,,56.1,52.6,,,,52.2,,,,,,,,,,,,,,,,,,,,,,1
399,20200399,M,0,NA,IP (X),SCHOOL X,,57.9,,70.8,,,71.3,73.7,,,,,47,,,,,,,,,,,,,,,,,,,,,,1
400,20200400,M,0,NA,IP (X),SCHOOL X,,56.7,,73,,78.4,70.2,,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,1
401,20200401,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,52,,51.9,,,54.6,51.2,,,,,63.4,,,,,,,,,,,,,,,,,,,,,,1
402,20200402,M,0,NA,IP (X),SCHOOL X,,54,,MC,,,56.4,38.1,,,,,45.9,,,,,,,,,,,,,,,,,,,,,,0
403,20200403,M,0,NA,IP (X),SCHOOL X,,53,,56.9,,,58.5,70.5,,,,,54,,,,,,,,,,,,,,,,,,,,,,1
404,20200404,F,0,NA,IP (Y),SCHOOL Y,,61.3,,73.4,,,71.9,70,,,,,56.4,,,,,,,,,,,,,,,,,,,,,,1
405,20200405,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,63.3,,60.8,,,,71.3,69.2,,,,55.8,,,,,,,,,,,,,,,,,,,,,,1
406,20200406,M,0,NA,IP (X),SCHOOL X,,57.9,,88.9,,86.2,,84.1,,,,,49.2,,,,,,,,,,,,,,,,,,,,,,1
407,20200407,M,0,NA,IP (X),SCHOOL X,,59.5,,82.3,,89.1,76.9,,,,,,68.8,,,,,,,,,,,,,,,,,,,,,,1
408,20200408,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,54.4,,54.6,,,52.2,60.8,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,1
409,20200409,F,0,NA,IP (Y),SCHOOL Y,,58.1,,60.9,,,59.3,53.4,,,,,48.8,,,,,,,,,,,,,,,,,,,,,,1
410,20200410,M,0,NA,IP (X),SCHOOL X,,59.9,,80.7,,,,,,,70,65.5,,,,,,77,,,,,,,,,,,,,,,,,2
411,20200411,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,57.6,,51.6,,,,59.7,66.4,,,,53.3,,,,,,,,,,,,,,,,,,,,,,1
412,20200412,F,0,NA,IP (Y),SCHOOL Y,,41.7,,44.6,,,56,11.7,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,0
413,20200413,F,0,NA,IP (Y),SCHOOL Y,,53.6,,42,,,41.4,50,,,,,45,,,,,,,,,,,,,,,,,,,,,,1
414,20200414,M,0,NA,IP (X),SCHOOL X,,57,,83.6,,,65.7,78.2,,,,,52.2,,,,,,,,,,,,,,,,,,,,,,1
415,20200415,M,0,NA,IP (X),SCHOOL X,,64.3,,95.7,,,92.6,93.8,,,,,67.6,,,,,,,,,,,,,,,,,,,,,,1
416,20200416,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,57.9,,76.3,,,,78,75.6,,,,70.2,,,,,,,,,,,,,,,,,,,,,,1
417,20200417,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,54.7,,,,,,,,59.9,,,56.3,,43.6,,,,,,,,,,,,,55.8,,,,,,,1
418,20200418,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,52.5,,32.9,,,,59.1,47.7,,,,42.2,,,,,,,,,,,,,,,,,,,,,,1
419,20200419,M,0,NA,IP (X),SCHOOL X,,62.8,,51.3,,,57.7,53.4,,,,,60,,,,,,,,,,,,,,,,,,,,,,1
420,20200420,M,0,NA,IP (X),SCHOOL X,,62.3,,82.6,,,,76.8,67.4,,,,58.5,,,,,,,,,,,,,,,,,,,,,,3
421,20200421,M,0,NA,IP (X),SCHOOL X,,76.7,,83,,,,,,,74,,,,,78.6,,,,,,75.9,,,,,,,,,,,,,2
422,20200422,F,0,NA,IP (Y),SCHOOL Y,,,61.6,60.4,,,,,,,60,,,55.8,,,,,,,,,,,,,,,,,,,,,2
423,20200423,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,,47.8,,35.2,,,,58.2,43.5,,,,,,,,,,,,49.3,,,,,,,,,,,,,,1
424,20200424,F,0,NA,IP (Y),SCHOOL Y,,,61,65.9,,,,,,,67,,,62,,,,,,,,,,,,,,,,,,,,,1
425,20200425,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,49.3,,61.9,,,66.8,73,,,,,50.7,,,,,,,,,,,,,,,,,,,,,,1
426,20200426,M,0,NA,IP (X),SCHOOL X,,67.6,,94.3,,,87.9,97.5,,,,,68.9,,,,,,,,,,,,,,,,,,,,,,2
427,20200427,F,0,NA,IP (Y),SCHOOL Y,,60.8,,24.5,,,,48.6,33.8,,,,49.2,,,,,,,,,,,,,,,,,,,,,,1
428,20200428,M,246,Repeat Yr1,DSA (CCA),RAFFLES INSTITUTION,,49.7,,65.6,,,41.4,61.4,,,,,,,,,,,,,,,,,,,,,,,,67.3,,,1
429,20200429,F,0,NA,IP (Y),SCHOOL Y,,56.7,,53.2,,,,75.9,52.3,,,,48.1,,,,,,,,,,,,,,,,,,,,,,1
430,20200430,M,0,NA,IP (X),SCHOOL X,,55.4,,59.9,,,,,,,55,,,49.8,,54.3,,,,,,,,,,,,,,,,,,,1
431,20200431,F,0,NA,IP (Y),SCHOOL Y,,59,,55.4,,,,71.2,61.6,,,,57.7,,,,,,,,,,,,,,,,,,,,,,1
432,20200432,M,0,NA,IP (X),SCHOOL X,,,72.6,70.4,,,,,,,63,,,74.6,,,,,,,,,,,,,,,,,,,,,1
433,20200433,F,0,NA,IP (Y),SCHOOL Y,,65.6,,68.5,,73.7,77.7,,,,,,72.3,,,,,,,,,,,,,,,,,,,,,,1
434,20200434,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,49.8,,47.6,,,,55.2,49.6,,,,48.6,,,,,,,,,,,,,,,,,,,,,,1
435,20200435,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,52.5,,73,,,,62.1,71.8,,,,57.5,,,,,,,,,,,,,,,,,,,,,,1
436,20200436,F,0,NA,IP (Y),SCHOOL Y,,68.6,,91.9,,,,87.9,84.2,,,,64.9,,,,,,,,,,,,,,,,,,,,,,1
437,20200437,F,0,NA,IP (Y),SCHOOL Y,70.2,,,MC,,,,62.1,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,1
438,20200438,F,0,NA,IP (Y),SCHOOL Y,,66.7,,66.7,,,64,69.2,,,,,62.2,,,,,,,,,,,,,,,,,,,,,,1
439,20200439,F,232,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,68.4,,81.3,,,,,,74.6,,,64.4,,73.5,,,,,,,,,,,,,,,,,,,,1
440,20200440,M,0,NA,IP (X),SCHOOL X,,55.2,,52.7,,,,64.3,61.1,59.1,,,,,,,,,,,,,,,,,,,,,,,,,1
441,20200441,M,0,NA,IP (X),SCHOOL X,,61.8,,65.2,,,54.4,70.2,,,,,60.2,,,,,,,,,,,,,,,,,,,,,,1
442,20200442,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,56.1,,69.1,,,,69.1,61.7,,,67.1,,,,,,,,,,,,,,,,,,,,,,,1
443,20200443,F,0,NA,IP (Y),SCHOOL Y,,57.3,,59.3,,,,56.2,,,,,,,,,,,,,54.2,,70.7,,,,,,,,,,,,1
444,20200444,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,54.1,,58.5,,,,79.3,55.9,,,,,,,,,,,,51.3,,,,,,,,,,,,,,1
445,20200445,F,0,NA,IP (Y),SCHOOL Y,,55.1,,82.2,,,,78.1,69.8,,,,,,,,,,,72.4,,,,,,,,,,,,,,,1
446,20200446,F,0,NA,IP (Y),SCHOOL Y,,66.7,,66,,,,,,,70,,,61.6,,58.6,,,,,,,,,,,,,,,,,,,1
447,20200447,F,0,NA,JAE Ordinary Admission,PRESBYTERIAN HIGH SCHOOL,,51.5,,69.8,,,,67,82.7,,,,58.9,,,,,,,,,,,,,,,,,,,,,,1
448,20200448,M,0,NA,IP (X),SCHOOL X,,50.2,,16.7,,,,,,,,,47.7,,56.1,,,,,,,,,,,,,,,,55.1,,,,2
449,20200449,M,0,NA,IP (X),SCHOOL X,,57.6,,49.9,,58.9,,76.9,,,,,32.9,,,,,,,,,,,,,,,,,,,,,,1
450,20200450,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,54.4,,25.9,,,,53.7,47.3,,,,,,,,47,,,,,,,,,,,,,,,,,,1
451,20200451,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,,55.8,,60.8,,,,72.8,70.3,,,,53.9,,,,,,,,,,,,,,,,,,,,,,1
452,20200452,F,0,NA,IP (Y),SCHOOL Y,,74.7,,97,,,,87.3,80.3,,,,,,,,,,,,,74.9,,,,,,,,,,,,,1
453,20200453,F,0,NA,IP (Y),SCHOOL Y,,58.8,,51.4,,,54.4,54,,,,,45.1,,,,,,,,,,,,,,,,,,,,,,1
454,20200454,M,0,NA,IP (X),SCHOOL X,,61.8,,62.6,,,63.3,,,,,,,,,,,,71.1,,,,65.5,,,,,,,,,,,,1
455,20200455,F,0,NA,IP (Y),SCHOOL Y,,58.8,,50,,45.7,41.2,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,,1
456,20200456,M,0,NA,IP (X),SCHOOL X,,67.9,,81.3,,,,,,,64,,,66,,64.3,,,,,,,,,,,,,,,,,,,2
457,20200457,F,0,NA,IP (Y),SCHOOL Y,,61,,56.4,,,,,,,59,50.5,,42.1,,,,,,,,,,,,,,,,,,,,,1
458,20200458,M,0,NA,IP (X),SCHOOL X,,56.4,,,,,,,,60.4,,,,,,,51.3,,,,47.3,,,,,,,79.5,,,,,,,1
459,20200459,F,0,NA,IP (Y),SCHOOL Y,,53.1,,63.3,,,55.7,68.8,,,,,47.8,,,,,,,,,,,,,,,,,,,,,,1
460,20200460,F,0,NA,IP (Y),SCHOOL Y,,62.3,,72.6,,,66,71.2,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,1
461,20200461,M,0,NA,IP (X),SCHOOL X,,55.1,,76.1,,,82.7,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,66,1
462,20200462,M,0,NA,IP (X),SCHOOL X,,52.5,,72.8,,,50.3,63.8,,,,,42.2,,,,,,,,,,,,,,,,,,,,,,1
463,20200463,M,0,NA,IP (X),SCHOOL X,,62.3,,92.3,,,88.5,84.2,,,,,69.9,,,,,,,,,,,,,,,,,,,,,,1
464,20200464,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,53.7,,24.5,,,59.2,31.6,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,1
465,20200465,M,0,NA,IP (X),SCHOOL X,,56.4,,76.2,,,80.3,88.1,,,,,52.7,,,,,,,,,,,,,,,,,,,,,,1
466,20200466,F,0,NA,IP (Y),SCHOOL Y,,56.6,,67.4,,,58.4,60.3,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,2
467,20200467,M,0,NA,IP (X),SCHOOL X,,48.2,,74.5,,,58,71.1,,,,,62.3,,,,,,,,,,,,,,,,,,,,,,1
468,20200468,F,0,NA,IP (Y),SCHOOL Y,,68.6,,60.3,,,,63.1,55.1,,,,62.6,,,,,,,,,,,,,,,,,,,,,,1
469,20200469,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,51.7,,77,,,,81.2,80.8,,,,53.8,,,,,,,,,,,,,,,,,,,,,,2
470,20200470,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,63.3,,76.7,,,67.2,76.2,,,,,66.1,,,,,,,,,,,,,,,,,,,,,,1
471,20200471,F,0,NA,IP (Y),SCHOOL Y,,54,,87.5,,,65.7,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,1
472,20200472,F,0,NA,IP (Y),SCHOOL Y,,62.3,,,,,,,,55.9,,,58.1,,,,59.4,,,,,,,,,,,79.2,,,,,,,1
473,20200473,F,263,NA,DSA (CCA),CEDAR GIRLS' SECONDARY SCHOOL,,55.1,,44.4,,,,60.5,65.4,,,,54.9,,,,,,,,,,,,,,,,,,,,,,1
474,20200474,M,0,NA,JAE Ordinary Admission,VICTORIA SCHOOL,,54.7,,93.9,,,73.6,83.1,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,1
475,20200475,F,0,NA,IP (Y),SCHOOL Y,,62.1,,68.2,,,68.3,68.3,,,,,,,,,,,,,,60.1,,,,,,,,,,,,,1
476,20200476,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,56.5,,55.2,,,,80.7,79.5,,,,60,,,,,,,,,,,,,,,,,,,,,,1
477,20200477,M,0,NA,IP (X),SCHOOL X,,59.6,,74.7,,,79.3,78.4,,,,,,,,,,,70.7,,,,,,,,,,,,,,,,1
478,20200478,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,60.2,,60.6,,,,MC,,,,,63.5,,MC,,,,,,,,,,,,,,,,,,,,1
479,20200479,M,0,NA,IP (X),SCHOOL X,,52,,60.1,,,55,71.8,,,,,52.3,,,,,,,,,,,,,,,,,,,,,,1
480,20200480,M,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,64.3,,87.9,,,80.7,85.5,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,1
481,20200481,F,0,NA,IP (Y),SCHOOL Y,,62.3,,40.3,,,,61.4,68.7,,,,53.2,,,,,,,,,,,,,,,,,,,,,,1
482,20200482,M,0,NA,IP (X),SCHOOL X,,54.6,,75,,,,85.2,79.5,,,,61.9,,,,,,,,,,,,,,,,,,,,,,1
483,20200483,F,0,NA,IP (Y),SCHOOL Y,,52.5,,81.1,,,,72.2,74.5,,,,58,,,,,,,,,,,,,,,,,,,,,,1
484,20200484,M,0,NA,IP (X),SCHOOL X,,54.7,,32.3,,,,62.6,60.2,,,,50.7,,,,,,,,,,,,,,,,,,,,,,2
485,20200485,M,0,Repeat Yr2,JAE Ordinary Admission,LOYANG VIEW SECONDARY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
486,20200486,F,0,NA,JAE Ordinary Admission,BUKIT MERAH SECONDARY SCHOOL,,53.5,,53,,,,,,,,51,53.6,,50,,,,,,,,,,,,,,,,,,,,1
487,20200487,F,0,NA,IP (Y),SCHOOL Y,,52,,72.3,,,,89.3,84.1,,,,67.4,,,,,,,,,,,,,,,,,,,,,,1
488,20200488,F,0,NA,IP (Y),SCHOOL Y,69.5,,,90.3,92.3,,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
489,20200489,M,0,NA,IP (X),SCHOOL X,,48.7,,43.3,,,42.9,,,,,,63.4,,,,,,58.3,,,,,,,,,,,,,,,,1
490,20200490,M,0,NA,JAE Ordinary Admission,MONTFORT SECONDARY SCHOOL,,40.9,,70.2,,80.5,58.7,,,,,,,,,,,,,,,56.6,,,,,,,,,,,,,1
491,20200491,F,0,NA,JAE Ordinary Admission,JUNYUAN SECONDARY SCHOOL,,58.2,,73.2,,,,83.5,67.7,,,,,,,,,,,,74.8,,,,,,,,,,,,,,1
492,20200492,M,0,NA,IP (X),SCHOOL X,,57.1,,22.7,,33.1,39.5,,,,,,,,,,,,,,56,,,,,,,,,,,,,,1
493,20200493,M,0,NA,IP (X),SCHOOL X,,67.9,,71,,,,86.7,79.4,,,,79.5,,,,,,,,,,,,,,,,,,,,,,1
