SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
155,20180155,F,262,NA,IP (Y),SCHOOL Y,,0.76,,0.35,,,,0.36,0.58,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
156,20180156,M,253,NA,IP (X),SCHOOL X,,0.37,,0.74,,,,0.64,0.53,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
157,20180157,F,0,NA,JAE Ordinary Admission,NORTH VISTA SECONDARY SCHOOL,,0.35,,0.76,0.41,,0.6,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
158,20180158,M,254,NA,IP (X),SCHOOL X,,0.79,,0.69,,,0.44,,,,,,0.33,,,,,,,,,0.79,,,,,,,,,,,,,1
159,20180159,M,267,NA,IP (X),SCHOOL X,0.93,,,0.89,,,0.98,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160,20180160,F,253,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,0.61,,0.13,,,,0.44,0.62,0.67,,,,,,,,,,,,,,,,,,,,,,,,,1
161,20180161,M,258,NA,IP (X),SCHOOL X,,0.53,,0.59,,,,0.49,0.4,,,,0.14,,,,,,,,,,,,,,,,,,,,,,1
162,20180162,M,240,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.38,,0.13,,,,,,0.75,,,0.81,,0.56,,,,,,,,,,,,,,,,,,,,1
163,20180163,F,262,NA,IP (Y),SCHOOL Y,,0.62,,0.24,,,,0.36,0.25,,,,0.23,,,,,,,,,,,,,,,,,,,,,,1
164,20180164,F,257,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.87,,0.62,,,0.76,0.96,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,1
165,20180165,M,257,NA,IP (X),SCHOOL X,,0.79,,0.26,,,0.47,0.15,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,2
166,20180166,M,239,NA,Appeals (Academic),CHUNG CHENG HIGH SCHOOL (MAIN),,0.36,,0.88,,,,0.51,0.55,,,,0.55,,,,,,,,,,,,,,,,,,,,,,1
167,20180167,M,247,NA,IP (X),SCHOOL X,,0.29,,0.46,,,0.25,0.61,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
168,20180168,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.54,,0.34,,,,0.46,0.74,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
169,20180169,F,261,NA,IP (Y),SCHOOL Y,,0.75,,0.63,,,,,,0.79,,,0.77,,0.84,,,,,,,,,,,,,,,,,,,,2
170,20180170,M,260,NA,IP (X),SCHOOL X,,0.47,,0.65,,,,0.63,0.14,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
171,20180171,F,239,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.12,,0.52,,,0.05,0.13,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
172,20180172,F,261,NA,IP (Y),SCHOOL Y,,,0.6,,,,,,,,0.66,,,0.68,,,,0.71,,,,,,,,,,,,,,,,,3
173,20180173,F,248,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,0.02,,0.02,,,0.07,0.01,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,1
174,20180174,M,241,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.36,,0.48,,,,0.39,0.52,,,,0.43,,,,,,,,,,,,,,,,,,,,,,1
175,20180175,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.61,,0.38,,,,0.24,0.51,,,,0.3,,,,,,,,,,,,,,,,,,,,,,1
176,20180176,M,255,NA,IP (X),SCHOOL X,,0.38,,0.87,,,0.08,0.85,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,1
177,20180177,M,252,NA,IP (X),SCHOOL X,,0.56,,0.56,,,0.89,0.8,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,1
178,20180178,M,239,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,0.34,,0.36,,,,0.69,0.84,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
179,20180179,M,252,NA,IP (X),SCHOOL X,,0.4,,0.96,,,0.9,0.97,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,1
180,20180180,F,254,NA,IP (Y),SCHOOL Y,,0.74,,0.79,,,,0.79,0.76,,,,,,,,,,,,,0.28,,,,,,,,,,,,,1
181,20180181,M,261,NA,IP (X),SCHOOL X,,0.82,,,,,,,,,,0.86,0.56,,,,0.79,,,,,,,,,,,0.4,,,,,,,1
182,20180182,F,256,NA,IP (Y),SCHOOL Y,,0.27,,0.27,,,,0.16,0.12,,,,,,,,,,,,,,,,,,,,,,0.18,,,,1
183,20180183,F,246,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.87,,0.1,,,,0.12,0.2,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
184,20180184,F,249,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.09,,0.6,,,0.44,0.35,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,1
185,20180185,M,236,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.49,,0.32,,,0.33,0.39,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,2
186,20180186,F,262,NA,IP (Y),SCHOOL Y,,0.56,,0.71,,,0.46,0.61,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,1
187,20180187,M,259,NA,IP (X),SCHOOL X,,0.6,,0.53,,,0.42,0.41,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,1
188,20180188,F,253,NA,IP (Y),SCHOOL Y,,0.98,,0.75,,,,0.72,0.72,,,,,,,,,,,,,,,,1,,,,,,,,,,1
189,20180189,M,256,NA,IP (X),SCHOOL X,,0.51,,0.51,,,0.93,0.81,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,1
190,20180190,F,250,NA,IP (Y),SCHOOL Y,,0.47,,0.23,,,,0.36,0.43,,,,,,,,,,,,,,,,,,,,,,0.93,,,,2
191,20180191,F,264,NA,IP (Y),SCHOOL Y,,0.52,,0.31,,,0.26,0.15,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,2
192,20180192,M,256,NA,IP (X),SCHOOL X,,0.95,,0.48,,,,,,,0.53,,,0.82,,0.46,,,,,,,,,,,,,,,,,,,1
193,20180193,F,258,NA,IP (Y),SCHOOL Y,,0.6,,0.86,,,0.6,0.74,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
194,20180194,F,244,NA,DSA (CCA),ANGLICAN HIGH SCHOOL,,0.66,,0.05,,,,0.16,0.22,,,,,,,,0.07,,,,,,,,,,,,,,,,,,1
195,20180195,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.03,,0.03,,,0.25,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,1
196,20180196,M,244,NA,IP (X),SCHOOL X,,0.31,,0.14,,,0.4,0.18,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,1
197,20180197,M,257,NA,IP (X),SCHOOL X,,0.88,,0.61,,,0.99,0.94,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
198,20180198,M,253,NA,IP (X),SCHOOL X,,0.65,,0.49,,,,0.58,0.2,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
199,20180199,M,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.3,,0.78,,,0.74,0.87,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
200,20180200,M,257,NA,IP (X),SCHOOL X,,0.49,,0.42,,,0.16,0.24,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,1
201,20180201,F,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.2,,0.86,,,0.67,0.7,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
202,20180202,F,252,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.5,,0.75,,,0.81,0.86,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
203,20180203,M,249,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.52,,0.56,,,0.44,,,,,,0.61,,,,,,0.68,,,,,,,,,,,,,,,,1
