NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200063,F,0,NA,IP (Y),SCHOOL Y,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,23,97,1.3,78.75,1
20200064,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,D,,C,,,S,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,885,17,4,51.25,1
20200065,M,0,NA,IP (X),SCHOOL X,,B,,A,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,151,85,1.5,76.25,1
20200066,M,0,NA,IP (X),SCHOOL X,,D,,U,,,E,C,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,964,10,5,41.25,1
20200067,M,0,NA,IP (X),SCHOOL X,,D,,B,,,,A,,,,,E,,,,,,,,,C,,,,,,,,,,,,,B,A,Passed,656,38,2.8,63.75,1
20200068,M,0,NA,IP (X),SCHOOL X,,B,,A,,,A,A,,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,1
20200069,M,0,NA,IP (X),SCHOOL X,,C,,A,,,D,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,389,63,2,71.25,1
20200070,M,0,NA,IP (X),SCHOOL X,,C,,B,,,,D,D,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,772,27,3.3,58.75,1
20200071,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200072,M,0,NA,IP (X),SCHOOL X,,B,,S,,,,C,C,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,860,19,4,53.75,1
20200073,M,0,NA,IP (X),SCHOOL X,,,A,A,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,A,B,Passed,1,100,1,80,2
20200074,F,0,NA,IP (Y),SCHOOL Y,,B,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,492,54,2.3,68.75,1
20200075,M,0,NA,JAE Ordinary Admission,DAMAI SECONDARY SCHOOL,,S,,B,,,B,A,,,,,,,,,,,,,B,,,,,,,,,,,,,,A,A,Passed,580,45,1.8,66.25,1
20200076,F,0,NA,IP (Y),SCHOOL Y,,C,,B,,,,D,B,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,745,30,3.3,60,1
20200077,F,0,NA,IP (Y),SCHOOL Y,,B,,C,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,492,54,2.3,68.75,1
20200078,F,0,NA,IP (Y),SCHOOL Y,,D,,S,,,,C,C,,,,E,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,910,15,4.3,48.75,1
20200079,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,C,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,D,Passed,389,63,1.8,71.25,1
20200080,F,0,NA,IP (Y),SCHOOL Y,,D,,E,,,,C,E,,,,,,,,,,,,D,,,,,,,,,,,,,,B,A,Passed,910,15,4.3,48.75,1
20200081,M,0,NA,IP (X),SCHOOL X,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,23,97,1,78.75,1
20200082,M,0,NA,IP (X),SCHOOL X,,C,,D,,,D,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,772,27,3.3,58.75,1
20200083,F,0,NA,IP (Y),SCHOOL Y,,C,,U,,,,,,C,,,S,,D,,,,,,,,,,,,,,,,,,,,B,B,Passed,970,9,5,40,1
20200084,M,0,NA,IP (X),SCHOOL X,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,1
20200085,F,0,NA,IP (Y),SCHOOL Y,,D,,A,,,,A,C,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,492,54,2,68.75,1
20200086,F,0,Repeat Yr2,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,0
20200087,M,0,NA,IP (X),SCHOOL X,,D,,U,,U,S,,,,,,,,,,,,,,,,,,,,,,,,,E,,,B,B,Failed,1050,1,6.4,16.25,1
20200088,F,0,NA,IP (Y),SCHOOL Y,,C,,U,,,,B,E,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,841,21,3.8,55,2
20200089,M,0,NA,IP (X),SCHOOL X,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,57,94,1.3,77.5,1
20200090,F,0,NA,IP (Y),SCHOOL Y,,B,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,324,69,1.8,72.5,1
20200091,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,E,,S,,,,B,E,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,924,13,4.3,47.5,1
20200092,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,D,,B,B,,B,,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,629,41,2.5,65,1
20200093,F,0,NA,IP (Y),SCHOOL Y,,C,,S,,,,E,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,873,18,4,52.5,1
20200094,F,0,NA,IP (Y),SCHOOL Y,,A,,A,,,,B,B,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,271,74,1.8,73.75,2
20200095,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,C,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,324,69,1.8,72.5,1
20200096,F,0,NA,IP (Y),SCHOOL Y,,C,,D,,,,,,C,,,C,,,,C,,,,,,,,,,,,,,,,,,A,A,Passed,772,27,3.3,58.75,1
20200097,F,0,NA,IP (Y),SCHOOL Y,,A,,A,,,,,,,B,,,A,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,151,85,1.5,76.25,1
20200098,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,B,,D,,,,B,,,,,B,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,537,49,2.5,67.5,1
20200099,F,0,NA,IP (Y),SCHOOL Y,,A,,A,,,,A,A,,,,,,,,,,,,,A,,,,,,,,,,,,,A,A,Passed,1,100,1,80,1
20200100,M,0,NA,IP (X),SCHOOL X,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,2
20200101,M,0,NA,IP (X),SCHOOL X,,B,,D,,,C,A,,,,,,,,,,,,,,C,,,,,,,,,,,,,A,A,Passed,629,41,2.8,65,1
20200102,F,0,NA,IP (Y),SCHOOL Y,,D,,B,,A,C,,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,629,41,2.5,65,1
20200103,F,0,NA,IP (Y),SCHOOL Y,,C,,S,,,S,B,,,,,,,,,,,,,,,,,,,,,,,,E,,,A,D,Passed,970,9,4.7,40,1
20200104,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,D,,A,,,,A,A,,,,D,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,324,69,1.8,72.5,1
20200105,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,23,97,1,78.75,1
20200106,M,0,NA,IP (X),SCHOOL X,,D,,C,,,,B,C,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,716,33,2.8,61.25,1
20200107,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,C,,C,,,,,,B,,,C,,B,,,,,,,,,,,,,,,,,,,,A,B,Passed,629,41,2.5,65,1
20200108,M,0,NA,JAE Ordinary Admission,SERANGOON GARDEN SECONDARY SCHOOL,,D,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,389,63,1.8,71.25,1
20200109,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,1
20200110,F,0,NA,IP (Y),SCHOOL Y,,C,,U,,,,,,,B,,,,,,,D,,,,B,,,,,,,,,,,,,A,C,Passed,841,21,3.8,55,1
20200111,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,,A,B,,,,,,,,,,,,,,B,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200112,M,0,NA,IP (X),SCHOOL X,,C,,B,,,,A,A,,,,D,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,389,63,2,71.25,1
20200113,M,0,NA,IP (X),SCHOOL X,,C,,D,,,,E,S,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,951,11,5,42.5,1
