SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
63,20200063,F,0,NA,IP (Y),SCHOOL Y,,0.99,,0.68,,,,0.9,0.97,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
64,20200064,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.13,,0.31,,,0.08,0.1,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,1
65,20200065,M,0,NA,IP (X),SCHOOL X,,0.87,,0.65,,,,0.91,0.69,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1
66,20200066,M,0,NA,IP (X),SCHOOL X,,0.09,,0.05,,,0.09,0.18,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
67,20200067,M,0,NA,IP (X),SCHOOL X,,0.2,,0.59,,,,0.88,,,,,0.12,,,,,,,,,0.28,,,,,,,,,,,,,1
68,20200068,M,0,NA,IP (X),SCHOOL X,,0.89,,0.98,,,0.92,0.98,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,1
69,20200069,M,0,NA,IP (X),SCHOOL X,,0.47,,0.67,,,0.21,0.73,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
70,20200070,M,0,NA,IP (X),SCHOOL X,,0.35,,0.61,,,,0.1,0.21,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
71,20200071,F,0,NA,IP (Y),SCHOOL Y,,0.58,,0.7,,,,0.54,0.69,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
72,20200072,M,0,NA,IP (X),SCHOOL X,,0.89,,0.1,,,,0.19,0.25,,,,0.19,,,,,,,,,,,,,,,,,,,,,,1
73,20200073,M,0,NA,IP (X),SCHOOL X,,,1,0.88,,,,,,,0.84,,,,,0.92,,,,,,,,,,,,,,,,,,,2
74,20200074,F,0,NA,IP (Y),SCHOOL Y,,0.8,,0.53,,,0.52,0.42,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,1
75,20200075,M,0,NA,JAE Ordinary Admission,DAMAI SECONDARY SCHOOL,,0,,0.5,,,0.37,0.55,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,1
76,20200076,F,0,NA,IP (Y),SCHOOL Y,,0.38,,0.5,,,,0.12,0.57,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
77,20200077,F,0,NA,IP (Y),SCHOOL Y,,0.9,,0.37,,,0.4,0.36,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
78,20200078,F,0,NA,IP (Y),SCHOOL Y,,0.27,,0.08,,,,0.15,0.22,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
79,20200079,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.32,,0.49,,,0.4,0.65,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
80,20200080,F,0,NA,IP (Y),SCHOOL Y,,0.11,,0.19,,,,0.17,0.1,,,,,,,,,,,,0.22,,,,,,,,,,,,,,1
81,20200081,M,0,NA,IP (X),SCHOOL X,,0.85,,0.81,,,,0.91,0.69,,,,0.98,,,,,,,,,,,,,,,,,,,,,,1
82,20200082,M,0,NA,IP (X),SCHOOL X,,0.39,,0.23,,,0.16,0.26,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,1
83,20200083,F,0,NA,IP (Y),SCHOOL Y,,0.38,,0.04,,,,,,0.22,,,0.05,,0.24,,,,,,,,,,,,,,,,,,,,1
84,20200084,M,0,NA,IP (X),SCHOOL X,,0.83,,0.8,,,0.73,0.79,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
85,20200085,F,0,NA,IP (Y),SCHOOL Y,,0.26,,0.78,,,,0.63,0.28,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
86,20200086,F,0,Repeat Yr2,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87,20200087,M,0,NA,IP (X),SCHOOL X,,0.07,,0.03,,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,1
88,20200088,F,0,NA,IP (Y),SCHOOL Y,,0.34,,0.05,,,,0.26,0.09,,,,0.94,,,,,,,,,,,,,,,,,,,,,,2
89,20200089,M,0,NA,IP (X),SCHOOL X,,0.81,,0.92,,,0.93,0.95,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,1
90,20200090,F,0,NA,IP (Y),SCHOOL Y,,0.67,,0.5,,,,0.48,0.54,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
91,20200091,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.04,,0.11,,,,0.34,0.11,,,,0.36,,,,,,,,,,,,,,,,,,,,,,1
92,20200092,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.24,,0.61,0.35,,0.65,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
93,20200093,F,0,NA,IP (Y),SCHOOL Y,,0.62,,0.13,,,,0.04,0.47,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
94,20200094,F,0,NA,IP (Y),SCHOOL Y,,0.97,,0.69,,,,0.41,0.56,,,,,,,,,,,,,0.71,,,,,,,,,,,,,2
95,20200095,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.43,,0.7,,,,0.69,0.58,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
96,20200096,F,0,NA,IP (Y),SCHOOL Y,,0.54,,0.27,,,,,,0.18,,,0.4,,,,0.26,,,,,,,,,,,,,,,,,,1
97,20200097,F,0,NA,IP (Y),SCHOOL Y,,0.98,,0.92,,,,,,,0.6,,,0.88,,0.73,,,,,,,,,,,,,,,,,,,1
98,20200098,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.85,,0.23,,,,0.25,,,,,0.68,,0.81,,,,,,,,,,,,,,,,,,,,1
99,20200099,F,0,NA,IP (Y),SCHOOL Y,,0.98,,0.73,,,,0.91,0.95,,,,,,,,,,,,,0.84,,,,,,,,,,,,,1
