SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
318,20200318,F,0,NA,IP (Y),SCHOOL Y,,0.68,,0.74,,,0.67,0.57,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,1
319,20200319,F,0,NA,IP (Y),SCHOOL Y,,0.6,,0.79,,,0.42,0.33,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,2
320,20200320,M,0,NA,IP (X),SCHOOL X,,0.73,,0.68,,,0.82,0.83,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,1
321,20200321,M,0,NA,IP (X),SCHOOL X,,0.78,,0.77,,,,0.95,0.91,,,,0.55,,,,,,,,,,,,,,,,,,,,,,1
322,20200322,F,0,NA,IP (Y),SCHOOL Y,,0.11,,0.97,,,0.89,0.94,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,1
323,20200323,M,253,NA,DSA,CATHOLIC HIGH SCHOOL,,0.42,,0.27,,,,,,,0.18,,,0.3,,0.53,,,,,,,,,,,,,,,,,,,2
324,20200324,F,0,NA,IP (Y),SCHOOL Y,,0.55,,0.16,,,,0.49,0.48,,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
325,20200325,F,0,NA,IP (Y),SCHOOL Y,,0.54,,0.14,,,,0.21,0.14,,,,0.11,,,,,,,,,,,,,,,,,,,,,,1
326,20200326,F,0,NA,IP (Y),SCHOOL Y,,0.37,,0.65,,,,0.58,0.1,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
327,20200327,F,0,NA,IP (Y),SCHOOL Y,,0.97,,0.31,,,,,,0.27,,,0.51,,,,0.82,,,,,,,,,,,,,,,,,,1
328,20200328,F,0,NA,IP (Y),SCHOOL Y,,0,,0.77,,,0.68,0.93,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,1
329,20200329,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.17,,0.01,,,,,,,,,0.19,,,,0.21,,,,EX,,,,,,,,,,,,,,1
330,20200330,F,0,NA,IP (Y),SCHOOL Y,,0.04,,0.96,,,,0.75,0.37,,,,,,,,,,,,,1,,,,,,,,,,,,,1
331,20200331,F,0,NA,IP (Y),SCHOOL Y,,0.71,,0.54,,0.55,,0.39,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,1
332,20200332,M,0,NA,IP (X),SCHOOL X,,0.27,,0.17,,,,0.31,0.04,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1
333,20200333,M,0,NA,IP (X),SCHOOL X,,0.93,,0.96,,,,0.7,0.82,,,,0.99,,,,,,,,,,,,,,,,,,,,,,2
334,20200334,F,0,NA,IP (Y),SCHOOL Y,,0.2,,0.26,,,0.28,0.27,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
335,20200335,F,0,NA,IP (Y),SCHOOL Y,,0.88,,0.8,,,0.85,0.78,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,1
336,20200336,F,0,NA,IP (Y),SCHOOL Y,,0.92,,0.78,,,0.75,0.66,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,1
337,20200337,F,242,NA,DSA,SWISS COTTAGE SECONDARY SCHOOL,,0.92,,0.23,,,,,,,0.74,,,0.5,,0.65,,,,,,,,,,,,,,,,,,,2
338,20200338,F,0,NA,IP (Y),SCHOOL Y,,0.8,,0.86,,,,0.98,0.7,,,,0.16,,,,,,,,,,,,,,,,,,,,,,2
339,20200339,M,0,NA,IP (X),SCHOOL X,,0.74,,0.15,,,,,,,,,0.51,,0.64,,,,,,,,,,,,,,,,,,,0.66,1
340,20200340,F,0,NA,IP (Y),SCHOOL Y,,0.6,,0.86,,,0.75,0.41,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,1
341,20200341,F,0,NA,IP (Y),SCHOOL Y,,0.16,,0.34,,,0.05,0.08,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,2
342,20200342,M,0,NA,IP (X),SCHOOL X,,0.66,,0.05,,,0.3,0.09,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
343,20200343,F,0,NA,IP (Y),SCHOOL Y,,0.84,,0.78,,,,0.85,0.76,,,,0.19,,,,,,,,,,,,,,,,,,,,,,2
344,20200344,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,0.13,,0.67,,,,0.71,0.52,,,,0.51,,,,,,,,,,,,,,,,,,,,,,2
345,20200345,M,0,NA,IP (X),SCHOOL X,,0.3,,0.01,,,0.02,0.03,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
346,20200346,M,254,Repeat Yr2,IP (X),SCHOOL X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
347,20200347,F,0,NA,IP (Y),SCHOOL Y,,0.16,,0.34,,,,0.03,0.2,,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
348,20200348,M,0,NA,IP (X),SCHOOL X,,0.41,,0.17,,,,0.05,0.32,,,,0.14,,,,,,,,,,,,,,,,,,,,,,1
349,20200349,M,0,NA,IP (X),SCHOOL X,,0.76,,0.31,,,,0.6,0.43,,,,,,,,0.93,,,,,,,,,,,,,,,,,,1
350,20200350,M,0,NA,IP (X),SCHOOL X,,0.42,,0.29,,,,,,0.41,,,0.32,,,,,,,,,0.5,,,,,,,,,,,,,1
351,20200351,M,0,NA,IP (X),SCHOOL X,,0.89,,0.91,,,0.83,0.72,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,1
352,20200352,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,,0.08,,0.77,,,0.82,0.77,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,1
353,20200353,M,0,NA,IP (X),SCHOOL X,,0.99,,0.91,,,0.83,0.96,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,1
354,20200354,M,0,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,,0.2,,0.91,,,,0.94,0.67,,,,0.77,,,,,,,,,,,,,,,,,,,,,,1
355,20200355,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.25,,0.48,,,0.65,0.62,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,1
356,20200356,M,0,NA,IP (X),SCHOOL X,,0.96,,0.94,,,0.97,0.96,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,2
357,20200357,M,259,Repeat Yr1,IP (X),SCHOOL X,,0.71,,0.09,,,,,,0.26,,,,,,,0.1,,,,,,,,,,,,,,,0.6,,,1
358,20200358,F,0,NA,IP (Y),SCHOOL Y,,0.25,,0.96,,,0.92,0.82,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,1
359,20200359,F,0,NA,IP (Y),SCHOOL Y,,0.88,,0.69,,,,0.84,0.78,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
360,20200360,F,0,NA,IP (Y),SCHOOL Y,,0.72,,0.41,,,0.26,0.21,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,1
361,20200361,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,0.54,,0.76,,,,0.89,0.93,,,,0.97,,,,,,,,,,,,,,,,,,,,,,1
362,20200362,M,0,NA,IP (X),SCHOOL X,,0.11,,0.12,,,,0.44,0.06,,,,0.14,,,,,,,,,,,,,,,,,,,,,,1
363,20200363,M,0,NA,IP (X),SCHOOL X,,0.65,,0.35,,,,0.94,0.79,,,,0.67,,,,,,,,,,,,,,,,,,,,,,1
364,20200364,M,0,NA,IP (X),SCHOOL X,,0.97,,0.75,,,0.74,0.77,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,1
365,20200365,F,0,NA,IP (Y),SCHOOL Y,,0.44,,0.8,,,0.43,0.88,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,1
366,20200366,M,0,NA,IP (X),SCHOOL X,,0.54,,0.21,,,0.36,0.12,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,0
367,20200367,F,0,NA,IP (Y),SCHOOL Y,,0.84,,0.83,,,0.58,0.63,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,1
368,20200368,F,0,NA,IP (Y),SCHOOL Y,,0.89,,0.24,,,,0.07,,,,,0.74,,0.5,,,,,,,,,,,,,,,,,,,,1
369,20200369,F,0,NA,IP (Y),SCHOOL Y,,0.47,,,,,,,,0.25,,,0.2,,,,0.5,,,,,,,,,,,0.58,,,,,,,2
370,20200370,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,0.75,,0.28,,,,0.67,0.73,0.83,,,,,,,,,,,,,,,,,,,,,,,,,1
371,20200371,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.55,,0.66,,,0.87,0.85,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,1
372,20200372,M,0,NA,IP (X),SCHOOL X,,0.37,,0.46,,,,0.45,0.65,,,,0.23,,,,,,,,,,,,,,,,,,,,,,1
373,20200373,M,0,NA,IP (X),SCHOOL X,,0.49,,0.06,,,,0.08,0.15,,,,0.17,,,,,,,,,,,,,,,,,,,,,,1
374,20200374,M,233,NA,DSA,CLEMENTI TOWN SECONDARY SCHOOL,,0.63,,0.53,,,,0.76,0.96,,,,0.56,,,,,,,,,,,,,,,,,,,,,,1
375,20200375,M,0,NA,IP (X),SCHOOL X,0.57,,,0.91,,,,,,,,,0.61,,,,1,,,,,,,,,,,,,,,,,,1
376,20200376,M,0,NA,IP (X),SCHOOL X,,0.4,,0.87,,,0.81,0.71,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
377,20200377,M,244,NA,DSA (CCA),SCHOOL X,,0.21,,,,,,,,0.35,,,0.1,,,,0.41,,,,,,,,,,,0.11,,,,,,,1
378,20200378,M,0,NA,IP (X),SCHOOL X,,0.96,,0.94,,,,0.96,0.98,,,,1,,,,,,,,,,,,,,,,,,,,,,1
379,20200379,M,0,NA,IP (X),SCHOOL X,,0.82,,0.9,,,,0.91,0.79,,,,0.84,,,,,,,,,,,,,,,,,,,,,,1
380,20200380,F,0,NA,IP (Y),SCHOOL Y,,0.36,,0.78,,,,0.5,0.76,,,,,,,,,,,,,0.67,,,,,,,,,,,,,1
381,20200381,F,0,NA,IP (Y),SCHOOL Y,,0.97,,0.9,,,,0.82,0.71,,,,0.98,,,,,,,,,,,,,,,,,,,,,,1
382,20200382,F,0,NA,IP (Y),SCHOOL Y,,0.89,,0.68,,,,,,,0.74,,,0.69,,0.5,,,,,,,,,,,,,,,,,,,2
383,20200383,M,0,NA,IP (X),SCHOOL X,,0.38,,0.2,,,0.33,0.17,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,1
384,20200384,M,0,NA,IP (X),SCHOOL X,,0.97,,0.17,,,0.15,,,,,,,,0.77,,,,,,,,,,,,,,,,,0.57,,,1
385,20200385,M,0,NA,IP (X),SCHOOL X,0.34,,,0.75,,,0.72,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,2
386,20200386,M,0,NA,IP (X),SCHOOL X,,0.05,,0.52,,,,0.51,0.45,,,,0.49,,,,,,,,,,,,,,,,,,,,,,1
387,20200387,M,0,NA,IP (X),SCHOOL X,,0.6,,0.8,,,,0.93,0.92,,,,0.82,,,,,,,,,,,,,,,,,,,,,,1
388,20200388,M,0,NA,IP (X),SCHOOL X,,0.63,,0.89,,,0.9,0.95,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,1
389,20200389,F,0,NA,IP (Y),SCHOOL Y,,0.7,,0.6,,,0.38,0.33,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
390,20200390,M,0,NA,IP (X),SCHOOL X,,0.67,,0.58,,,0.61,0.37,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
391,20200391,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.41,,0.36,,,,0.32,0.49,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
392,20200392,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.42,,0.29,,,,0.51,0.74,,,,,,,,0.78,,,,,,,,,,,,,,,,,,1
393,20200393,M,0,NA,IP (X),SCHOOL X,,0.58,,0.56,,,,0.82,0.54,,,,0.46,,,,,,,,,,,,,,,,,,,,,,1
394,20200394,M,244,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,0.01,,0.04,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,1
395,20200395,F,0,NA,IP (Y),SCHOOL Y,,0.36,,0.45,,0.36,0.36,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,1
396,20200396,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,,0.32,,0.01,,,,0.06,0.2,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1
397,20200397,F,0,NA,IP (Y),SCHOOL Y,,,0.94,,,,,,,,0.62,,,0.45,,,,0.7,,,,,,,,,,,,,,,,,2
398,20200398,M,0,NA,IP (X),SCHOOL X,,0.81,,0.38,,,,0.16,0.2,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
399,20200399,M,0,NA,IP (X),SCHOOL X,,0.54,,0.67,,,0.72,0.58,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,1
400,20200400,M,0,NA,IP (X),SCHOOL X,,0.45,,0.72,,0.56,0.69,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
401,20200401,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.12,,0.25,,,0.24,0.09,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,1
402,20200402,M,0,NA,IP (X),SCHOOL X,,0.25,,MC,,,0.27,0.01,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,0
403,20200403,M,0,NA,IP (X),SCHOOL X,,0.18,,0.34,,,0.32,0.48,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
404,20200404,F,0,NA,IP (Y),SCHOOL Y,,0.74,,0.73,,,0.74,0.46,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
405,20200405,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.84,,0.42,,,,0.51,0.59,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
406,20200406,M,0,NA,IP (X),SCHOOL X,,0.54,,0.95,,0.8,,0.88,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,1
407,20200407,M,0,NA,IP (X),SCHOOL X,,0.64,,0.89,,0.88,0.83,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,1
408,20200408,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.27,,0.29,,,0.17,0.24,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,1
409,20200409,F,0,NA,IP (Y),SCHOOL Y,,0.56,,0.43,,,0.34,0.11,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,1
410,20200410,M,0,NA,IP (X),SCHOOL X,,0.67,,0.87,,,,,,,0.84,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,2
411,20200411,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.52,,0.24,,,,0.22,0.51,,,,0.31,,,,,,,,,,,,,,,,,,,,,,1
412,20200412,F,0,NA,IP (Y),SCHOOL Y,,0,,0.14,,,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0
413,20200413,F,0,NA,IP (Y),SCHOOL Y,,0.22,,0.11,,,0.06,0.07,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
414,20200414,M,0,NA,IP (X),SCHOOL X,,0.47,,0.91,,,0.58,0.73,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
415,20200415,M,0,NA,IP (X),SCHOOL X,,0.87,,0.99,,,1,0.99,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
416,20200416,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.54,,0.8,,,,0.72,0.8,,,,0.95,,,,,,,,,,,,,,,,,,,,,,1
417,20200417,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.3,,,,,,,,0.45,,,0.44,,0.09,,,,,,,,,,,,,0.35,,,,,,,1
418,20200418,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.15,,0.03,,,,0.21,0.11,,,,0.05,,,,,,,,,,,,,,,,,,,,,,1
419,20200419,M,0,NA,IP (X),SCHOOL X,,0.82,,0.24,,,0.29,0.11,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,1
420,20200420,M,0,NA,IP (X),SCHOOL X,,0.79,,0.9,,,,0.69,0.53,,,,0.58,,,,,,,,,,,,,,,,,,,,,,3
421,20200421,M,0,NA,IP (X),SCHOOL X,,0.99,,0.91,,,,,,,0.98,,,,,1,,,,,,0.9,,,,,,,,,,,,,2
422,20200422,F,0,NA,IP (Y),SCHOOL Y,,,0.11,0.42,,,,,,,0.24,,,0.4,,,,,,,,,,,,,,,,,,,,,2
423,20200423,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,,0.03,,0.05,,,,0.19,0.07,,,,,,,,,,,,0.17,,,,,,,,,,,,,,1
424,20200424,F,0,NA,IP (Y),SCHOOL Y,,,0.05,0.55,,,,,,,0.74,,,0.66,,,,,,,,,,,,,,,,,,,,,1
425,20200425,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.06,,0.45,,,0.61,0.57,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
426,20200426,M,0,NA,IP (X),SCHOOL X,,0.94,,0.99,,,0.98,1,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,2
427,20200427,F,0,NA,IP (Y),SCHOOL Y,,0.72,,0.01,,,,0.07,0.03,,,,0.18,,,,,,,,,,,,,,,,,,,,,,1
428,20200428,M,246,Repeat Yr1,DSA (CCA),RAFFLES INSTITUTION,,0.06,,0.54,,,0.06,0.26,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,1
429,20200429,F,0,NA,IP (Y),SCHOOL Y,,0.45,,0.27,,,,0.67,0.2,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
430,20200430,M,0,NA,IP (X),SCHOOL X,,0.36,,0.4,,,,,,,0.06,,,0.23,,0.07,,,,,,,,,,,,,,,,,,,1
431,20200431,F,0,NA,IP (Y),SCHOOL Y,,0.62,,0.31,,,,0.51,0.38,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
432,20200432,M,0,NA,IP (X),SCHOOL X,,,0.64,0.66,,,,,,,0.46,,,0.97,,,,,,,,,,,,,,,,,,,,,1
433,20200433,F,0,NA,IP (Y),SCHOOL Y,,0.9,,0.62,,0.48,0.84,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,1
434,20200434,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.07,,0.18,,,,0.14,0.15,,,,0.17,,,,,,,,,,,,,,,,,,,,,,1
435,20200435,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.15,,0.72,,,,0.27,0.66,,,,0.53,,,,,,,,,,,,,,,,,,,,,,1
436,20200436,F,0,NA,IP (Y),SCHOOL Y,,0.95,,0.97,,,,0.95,0.96,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
437,20200437,F,0,NA,IP (Y),SCHOOL Y,0.5,,,MC,,,,0.27,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,1
438,20200438,F,0,NA,IP (Y),SCHOOL Y,,0.93,,0.57,,,0.5,0.44,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
439,20200439,F,232,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,0.95,,0.88,,,,,,0.97,,,0.81,,0.94,,,,,,,,,,,,,,,,,,,,1
440,20200440,M,0,NA,IP (X),SCHOOL X,,0.34,,0.26,,,,0.32,0.37,0.39,,,,,,,,,,,,,,,,,,,,,,,,,1
441,20200441,M,0,NA,IP (X),SCHOOL X,,0.76,,0.53,,,0.24,0.46,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
442,20200442,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.41,,0.64,,,,0.43,0.39,,,0.82,,,,,,,,,,,,,,,,,,,,,,,1
443,20200443,F,0,NA,IP (Y),SCHOOL Y,,0.49,,0.39,,,,0.16,,,,,,,,,,,,,0.25,,0.9,,,,,,,,,,,,1
444,20200444,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.25,,0.38,,,,0.76,0.26,,,,,,,,,,,,0.2,,,,,,,,,,,,,,1
445,20200445,F,0,NA,IP (Y),SCHOOL Y,,0.33,,0.89,,,,0.73,0.6,,,,,,,,,,,0.33,,,,,,,,,,,,,,,1
446,20200446,F,0,NA,IP (Y),SCHOOL Y,,0.93,,0.55,,,,,,,0.84,,,0.64,,0.38,,,,,,,,,,,,,,,,,,,1
447,20200447,F,0,NA,JAE Ordinary Admission,PRESBYTERIAN HIGH SCHOOL,,0.11,,0.65,,,,0.37,0.93,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
448,20200448,M,0,NA,IP (X),SCHOOL X,,0.08,,0,,,,,,,,,0.15,,0.53,,,,,,,,,,,,,,,,0.5,,,,2
449,20200449,M,0,NA,IP (X),SCHOOL X,,0.52,,0.21,,0.26,,0.69,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1
450,20200450,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,0.27,,0.01,,,,0.12,0.11,,,,,,,,0.06,,,,,,,,,,,,,,,,,,1
451,20200451,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,,0.38,,0.42,,,,0.56,0.63,,,,0.34,,,,,,,,,,,,,,,,,,,,,,1
452,20200452,F,0,NA,IP (Y),SCHOOL Y,,0.99,,0.99,,,,0.94,0.89,,,,,,,,,,,,,0.88,,,,,,,,,,,,,1
453,20200453,F,0,NA,IP (Y),SCHOOL Y,,0.61,,0.24,,,0.24,0.12,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,1
454,20200454,M,0,NA,IP (X),SCHOOL X,,0.76,,0.46,,,0.48,,,,,,,,,,,,0.83,,,,0.54,,,,,,,,,,,,1
455,20200455,F,0,NA,IP (Y),SCHOOL Y,,0.61,,0.22,,0.15,0.05,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1
456,20200456,M,0,NA,IP (X),SCHOOL X,,0.94,,0.88,,,,,,,0.56,,,0.78,,0.65,,,,,,,,,,,,,,,,,,,2
457,20200457,F,0,NA,IP (Y),SCHOOL Y,,0.72,,0.33,,,,,,,0.18,0.05,,0.16,,,,,,,,,,,,,,,,,,,,,1
458,20200458,M,0,NA,IP (X),SCHOOL X,,0.43,,,,,,,,0.5,,,,,,,0.15,,,,0.12,,,,,,,0.88,,,,,,,1
459,20200459,F,0,NA,IP (Y),SCHOOL Y,,0.18,,0.48,,,0.26,0.43,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,1
460,20200460,F,0,NA,IP (Y),SCHOOL Y,,0.79,,0.71,,,0.59,0.51,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
461,20200461,M,0,NA,IP (X),SCHOOL X,,0.33,,0.79,,,0.94,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
462,20200462,M,0,NA,IP (X),SCHOOL X,,0.15,,0.71,,,0.14,0.3,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,1
463,20200463,M,0,NA,IP (X),SCHOOL X,,0.79,,0.98,,,0.99,0.88,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,1
464,20200464,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.23,,0.01,,,0.33,0.01,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,1
465,20200465,M,0,NA,IP (X),SCHOOL X,,0.43,,0.8,,,0.9,0.95,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,1
466,20200466,F,0,NA,IP (Y),SCHOOL Y,,0.44,,0.59,,,0.31,0.23,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,2
467,20200467,M,0,NA,IP (X),SCHOOL X,,0.03,,0.76,,,0.3,0.5,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
468,20200468,F,0,NA,IP (Y),SCHOOL Y,,0.95,,0.41,,,,0.29,0.23,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
469,20200469,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.11,,0.81,,,,0.82,0.9,,,,0.33,,,,,,,,,,,,,,,,,,,,,,2
470,20200470,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.84,,0.81,,,0.62,0.68,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,1
471,20200471,F,0,NA,IP (Y),SCHOOL Y,,0.25,,0.94,,,0.58,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1
472,20200472,F,0,NA,IP (Y),SCHOOL Y,,0.79,,,,,,,,0.22,,,0.56,,,,0.36,,,,,,,,,,,0.82,,,,,,,1
473,20200473,F,263,NA,DSA (CCA),CEDAR GIRLS' SECONDARY SCHOOL,,0.33,,0.14,,,,0.23,0.48,,,,0.38,,,,,,,,,,,,,,,,,,,,,,1
474,20200474,M,0,NA,JAE Ordinary Admission,VICTORIA SCHOOL,,0.3,,0.99,,,0.77,0.85,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
475,20200475,F,0,NA,IP (Y),SCHOOL Y,,0.78,,0.61,,,0.64,0.41,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,1
476,20200476,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.44,,0.31,,,,0.8,0.87,,,,0.64,,,,,,,,,,,,,,,,,,,,,,1
477,20200477,M,0,NA,IP (X),SCHOOL X,,0.65,,0.76,,,0.88,0.74,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,1
478,20200478,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.68,,0.42,,,,MC,,,,,0.78,,MC,,,,,,,,,,,,,,,,,,,,1
479,20200479,M,0,NA,IP (X),SCHOOL X,,0.12,,0.4,,,0.25,0.53,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
480,20200480,M,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,0.87,,0.94,,,0.91,0.91,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,1
481,20200481,F,0,NA,IP (Y),SCHOOL Y,,0.79,,0.09,,,,0.26,0.57,,,,0.31,,,,,,,,,,,,,,,,,,,,,,1
482,20200482,M,0,NA,IP (X),SCHOOL X,,0.28,,0.77,,,,0.9,0.87,,,,0.72,,,,,,,,,,,,,,,,,,,,,,1
483,20200483,F,0,NA,IP (Y),SCHOOL Y,,0.15,,0.88,,,,0.54,0.75,,,,0.55,,,,,,,,,,,,,,,,,,,,,,1
484,20200484,M,0,NA,IP (X),SCHOOL X,,0.3,,0.03,,,,0.28,0.36,,,,0.22,,,,,,,,,,,,,,,,,,,,,,2
