NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190096,F,261,NA,IP (Y),SCHOOL Y,B,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1.3,77.5,1
20190097,F,259,NA,IP (Y),SCHOOL Y,C,,,A,,,B,A,,,,,,,,,,,,B,,,,,,,,,,,,,,,A,B,Passed,183,83,1.5,73.75,2
20190098,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),D,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,104,90,1,76.25,2
20190099,F,0,NA,JAE Ordinary Admission,NAVAL BASE SECONDARY SCHOOL,E,,,B,,,,E,,,,,D,,,,,,,,,C,,,,,,,,,,,,,A,A,Passed,732,34,3.5,55,1
20190100,F,265,NA,IP (Y),SCHOOL Y,C,,,,,,,,,,,,D,,,,,,,,A,,B,,,,B,,,,,,,,A,A,Passed,410,63,2.3,66.25,1
20190101,F,0,NA,JAE Ordinary Admission,BOON LAY SECONDARY SCHOOL,D,,,C,,,D,,,,,,E,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,702,36,3.5,56.25,1
20190102,F,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,D,,,D,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,372,66,2.3,67.5,1
20190103,M,256,NA,IP (X),SCHOOL X,D,,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,260,76,1.8,71.25,1
20190104,F,254,NA,IP (Y),SCHOOL Y,C,,,U,,,,,,,,,D,,C,,,,,,,,,,,,,,,C,,,,,A,A,Passed,948,14,4.4,42.5,1
20190105,M,256,NA,IP (X),SCHOOL X,C,,,C,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,493,55,2.8,63.75,1
20190106,M,263,NA,IP (X),SCHOOL X,B,,,B,,,A,A,,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,1
20190107,M,255,Repeat Yr1,IP (X),SCHOOL X,D,,,E,,S,S,,,,,,,,,,,,,,,,,,,,,,,,E,,,,B,A,Passed,1053,5,5.6,31.25,1
20190108,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,D,,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,229,79,1.5,72.5,1
20190109,M,258,NA,IP (X),SCHOOL X,E,,,C,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,455,59,2.3,65,1
20190110,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,D,,,C,,,U,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,934,16,4.8,43.75,1
20190111,M,257,NA,IP (X),SCHOOL X,C,,,A,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,183,83,1.8,73.75,1
20190112,F,259,NA,IP (Y),SCHOOL Y,C,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,183,83,1.5,73.75,1
20190113,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,C,,,D,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,493,55,2.8,63.75,1
20190114,M,257,NA,IP (X),SCHOOL X,B,,,D,,,,D,B,,,,,,,,,,,,,,,,,,,,,,D,,,,A,C,Passed,674,39,3.4,57.5,1
20190115,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),C,,,D,,,D,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,644,42,3.3,58.75,1
