NEWID,GENDER_F,GENDER_M,INTAKE_DSA,INTAKE_DSA (CCA),INTAKE_IP (X),INTAKE_IP (Y),INTAKE_JAE Ordinary Admission,SEC SCHOOL_BUKIT PANJANG GOVT. HIGH SCHOOL,SEC SCHOOL_CATHOLIC HIGH SCHOOL,SEC SCHOOL_CHIJ ST. NICHOLAS GIRLS' SCHOOL,SEC SCHOOL_CHUNG CHENG HIGH SCHOOL (MAIN),SEC SCHOOL_METHODIST GIRLS' SCHOOL (SECONDARY),SEC SCHOOL_NAN HUA HIGH SCHOOL,SEC SCHOOL_SCHOOL X,SEC SCHOOL_SCHOOL Y,SEC SCHOOL__Minority_Sch,KI,FM2,CP2,PH2,CH2,BY2,EL2,ELL2,EC2,EH2,EG2,S1_2,S2_2,S3_2,S4_2,S5_2,EC1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,S1_3-MOE,Foreign_Lang,H1_Arts,H1_Sci,S2_3_EC3-MOE,MA2,PTS,NO OF CCA,GP/KI,H1,H3,GP/KI_C1,MA2_C1,H1_C1,PTS_C1,PTS_Sec4,AM,EM,CIP HOURS,CCA President,CCA Sec-Treas,CCA Role,CT Rep,CIP Leader,CIP Organiser
20190143,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39.5,40,1,4,2,5,4,36.6,2,35,1.634962909,4,2,8,0,0,1,0,0,0
20190144,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63.5,85,1,2,0,3,2,65.3,0,72.5,-0.722321678,1,1,38,0,0,0,0,0,0
20190145,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,77.5,1,2,0,5,3,47.1,0,55,0.879422977,1,1,112.5,0,1,0,1,0,0
20190146,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,75,1,2,0,5,3,52.7,0,65,-0.495659699,1,1,30.5,0,1,0,0,1,0
20190147,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,81.25,1,2,0,5,2,63.6,0,70,-0.525881296,1,1,78,0,0,0,0,0,1
20190148,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,81.25,2,2,0,5,3,54.9,0,67.5,-0.826725705,1,1,105.5,0,0,1,0,0,1
20190149,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36.25,1,2,0,5,4,38.9,0,36.25,0.199437039,3,2,3,0,0,0,1,0,0
20190150,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,68.75,1,2,0,5,2,51.8,0,62.5,-0.722321678,1,1,8,0,0,0,0,0,0
20190151,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,82.5,1,2,0,5,2,63.2,0,72.5,-0.344551712,1,1,37,0,1,0,0,0,1
20190152,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64.5,81.25,1,3,0,3,4,34.4,0,63.75,-0.826725705,1,2,16,0,0,0,0,0,0
20190153,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,23.75,0,2,7,5,4,33,3,23.75,2.118508465,5,3,34.5,0,0,0,0,0,0
20190154,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,44.5,67.5,1,3,3,5,5,38.9,2,51.25,1.121195755,3,2,90.2,0,0,0,0,0,1
20190155,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,53.75,2,2,0,5,4,37.4,0,46.25,-0.826725705,1,2,72.2,0,0,0,0,0,0
20190156,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,86.25,2,2,0,3,4,62.2,0,72.5,0.195460543,1,1,26.5,0,0,0,0,0,1
20190157,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69.5,78.75,0,2,1,5,3,45.6,2,61.25,-0.435216504,1,1,6.5,0,0,0,0,0,0
20190158,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,78.75,1,3,0,5,4,54.8,0,43.75,-0.315632581,2,1,17.5,0,0,0,0,1,0
